Exp,Hole,Core,Type,Section,Top Depth [m],Preservation,Group abundance,Bicolumnus ovatus,Blackites sp.,Braarudosphaera sp.,Calcidiscus leptoporus,Calcidiscus leptoporus (>10 μm),Calcidiscus macintyrei,Calcidiscus macintyrei (>11 μm),Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus (>10 µm),Catinaster coalitus,Ceratolithus acutus,Chiasmolithus altus,Chiasmolithus oamaruensis,Chiasmolithus sp.,Clausicoccus obrutus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pelagicus f. braarudii,Coccolithus streckeri,Coronocyclus nitescens,Crenalithus doronicoides,Cricolithus jonesii,Cryptococcolithus cf. mediaperforatus,Cryptococcolithus mediaperforatus,Cyclicargolithus abisectus (10-11 μm),Cyclicargolithus abisectus (>11 μm),Cyclicargolithus floridanus,Dictyococcites antarcticus,Dictyococcites bisectus,Dictyococcites productellus (<3 μm),Dictyococcites productellus (3-5 μm),"Dictyococcites productellus (3-5 μm, circular)",Dictyococcites scrippsae,Dictyococcites stavensis (10-14 μm),Dictyococcites stavensis (>14 μm),Discoaster deflandrei,Discoaster sp.,Emiliania huxleyi,Emiliania pujosae,Gephyrocapsa aperta,Gephyrocapsa caribbeania (3-4 μm),Gephyrocapsa caribbeanica (4-5.5 μm),Gephyrocapsa caribbeanica (5.5-6.5 μm),Gephyrocapsa caribbeanica (>6.5 μm),Gephyrocapsa crassipons,Gephryocapsa ericsonii,Gephyrocapsa oceanica (3-4 μm),Gephyrocapsa oceanica (4-5.5 μm),Gephyrocapsa oceanica (5.5-6.5 μm),Gephyrocapsa omega,Helicosphaera carteri,Helicosphaera cf. euphratis,Helicosphaera elongata,Helicosphaera euphratis,Helicosphaera cf. intermedia,Helicosphaera intermedia,Helicosphaera omanica,Helicosphaera cf. sellii,Helicosphaera sellii,Helicosphaera sp.,Hughesius tasmaniae,Isthmolithus recurvus,Lanternithus minutus,Markalius inversus,Minyalitha convalis,Neococcolithus sp.,Pontosphaera discopora,Pontosphaera japonIca,Pontosphaera multipora,Pontosphaera sp.,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Pseudoemiliania pacifica,Pseudoemiliania sp.,Pyrociclus orangensis,Pyrociclus sp.,Reticulofenestra amplus,Reticulofenestra asanoi (<6 um),Reticulofenestra asanoi (>6 um),Reticulofenestra daviesi,Reticulofenestra dictyoda,Reticulofenestra filewiczii,Reticulofenestra gelida (8-10 µm),Reticulofenestra gelida (>10 μm),Reticulofenestra haqii (<3 μm),Reticulofenestra haqii (3-5 μm),"Reticulofenestra haqii (3-5 μm, circular)",Reticulofenestra minuta (<3 μm),Reticulofenestra minutula,Reticulofenestra minutula (circular),Reticulofenestra pseudoumbilicus (8-10 μm),Reticulofenestra pseudoumbilicus (>10 μm),Reticulofenestra reticulata,Reticulofenestra rotaria (elliptical),Reticulofenestra umbilicus (10-14 µm),Reticulofenestra umbilicus (>14 µm),Rhabdosphaera procera,Scyphosphaera apsteinii,Scyphosphaera globulata,Scyphosphaera lagena,Scyphosphaera cf. pacifica,Scyphosphaera cf. queenslandensis,Scyphosphaera sp.,Schyphosphaera sp. 1,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus aubryae,Sphenolithus cf. abies,Sphenolithus cf. belemnos,Sphenolithus belemnos,Sphenolithus compactus,Sphenolithus conicus,Sphenolithus cf. delphix,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus hetermorphus,Sphenolithus moriformis,Sphenolithus cf. neoabies,Sphenolithus neoabies,Sphenolithus orphanknollensis,Sphenolithus predistentus,Sphenolithus radians,Sphenolithus villae,Sphenolithus sp.,Syracosphaera pulchra,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbellosphaera sp.,Umbilicosphaera cricota,Umbilicosphaera jafari,Umbilicosphaera cf. rotula,Umbilicosphaera rotula,Umbilicosphaera sp.,Umbilicosphaera sibogae,Zygrhablithus bijugatus,,Site
317,A,1,H,CC,4.21,M,F,,,,,,,,,,,,,,,,,,R,R,,,,,,,,P,R,P,,,R,,,P,,,,F,,F,R,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,P,,,,R,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,R,,,,,,,U1352
317,A,2,H,CC,13.67,M,R,,,,P,,,,,,,,,,,,,,R,R,,,,,,,,P,,,,,R,,,,,,,F,F,F,F,,,,F,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,R,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,U1352
317,A,3,H,CC,23.10,M,C,,,,P,,,,,,,,,,,,,,F,P,,,,,,,,P,F,,,P,F,,,,,P,,F,F,F,R,,,,F,,R,C,,,P,,,,,,,,,,,,,,,,P,P,,,,,,,,,P,,,,R,,R,,,C,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,U1352
317,A,4,H,CC,33.43,G,C,,,,F,,,,,R,,,,,,,,,C,F,,,,,,,,,P,,,P,R,,,,,,,C,F,C,C,,,,C,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,U1352
317,A,5,H,CC,43.06,G,F,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,R,,,,,,,,,P,,R,,F,R,,,,,,F,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,R,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,U1352
317,B,1,H,CC,7.93,G,C,,,,R,,,,,,,,,,,,,,C,F,,,,,,,,,R,,P,F,,,,,,,,F,,C,F,,,,C,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,U1352
317,B,2,H,CC,17.48,G,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,F,,,,,,,,,,,F,,F,,,,,F,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352
317,B,3,H,CC,27.12,G,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,,P,,,R,R,,,,,,,F,,,,,,,F,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352
317,B,4,H,CC,36.96,G,M,,,,R,,,,,F,,,,,,,,,,F,,,,,,,,,F,,P,,,,,,,,,F,F,,,,,,C,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352
317,B,5,H,CC,46.38,M,F,,,,P,,,,,,,,,,,,,,R,,,,,,,,,,R,P,,,,,,,,,,F,F,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352
317,B,6,H,CC,55.46,M,C,,,,,,,,,,,,,,,,,,C,,,,,,,,,,F,,,,,,,,,,,F,F,,F,,,,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,R,,F,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352
