"Expedition, site, hole, core, section, interval (cm):",Bottom depth CSF-B (m):,Top depth CSF-B (m):,Age:,Agglutinated indet.,Cyclammina,Eggerella bradyi,Haeuslerella,Karreriella bradyi,Karreriella cylindrica,Martinottiella,Sigmoilopsis,Sigmoilopsis gavini (cf.),Sigmoilopsis schlumbergeri,Siphonaperta,Siphonaperta macbeathi,Siphotextularia,Siphotextularia subcylindrica,Textularia,Alabamina tenuimarginata,Ammonia beccarii,Amphicoryna,Amphicoryna scalaris,Anomalina spherica,Anomalinoides parvumbilius,Anomalinoides subnonionoides,Astrononion kickinskii,Astrononion parki,Bolivina,Bolivina affiliata,Bolivina alata,Bolivina albatrossi,Bolivina lapsus,Bolivinita pliozea,Bolivinita pohana,Bolivinita pohana (cf.),Bolivinita quadrilatera,Bulimina,Bulimina aculeata,Bulimina aculeata (cf. smooth),Bulimina marginata,Bulimina pyrula spinescens,Bulimina striata,Bulimina striata (cf.),Bulimina truncanella,Cassidulina,Cassidulina neocarinata,Chilostomella ovoidea,Cibicides,Cibicides deliquatus,Cibicides molestus,Cibicides neoperforatus,Cibicides robertsonianus,Cornuspira,Dentalina,Discorbinella,Discorbinella bertheloti,Dyocibicides primitiva,Ehrenbergina,Elphidium,Elphidium charlottensis,Euuvigerina,Euuvigerina miozea,Euuvigerina miozea (cf.),Euuvigerina peregrina,Euuvigerina peregrina (cf.),Euuvigerina pliozea,Euuvigerina rodleyi (cf.),Evolvocassidulina orientalis,Fissurina,Fursenkoina,Gavelinopsis,Gavelinopsis hamatus,Globobulimina pacifica,Globocassidulina cuneata,Globocassidulina subglobosa,Gyroidina,Gyroidina danvillensis,Gyroidinoides,Gyroidinoides zelandicus,Haynesina depressula,Hoeglundina elegans,Hopkinsina mioindex,Lagena,Lagena distoma,Lagena striata,Laticarinina altocamerata,Laticarinina pauperata,Lenticulina,Lenticulina calcar,Lenticulina orbicularis,Lenticulina peregrina,Loxostomum karrerianum,Loxostomum truncatum,Marginulina,Marginulinopsis,Melonis barleeanum,Nodosaria,Nodosaria acuminata,Nodosaria longiscata,Nonionella flemingi,Nonionella magnalingua,Notorotalia,Notorotalia finlayi,Notorotalia finlayi (cf.),Notorotalia hurupiensis,Notorotalia pliozea,Notorotalia taranakia,Oolina,Oolina hexagona,Oolina squamosa,Oridorsalis tenera,Oridorsalis umbonatus,Osangularia bengalensis,Pandaglandulina,Patellinella inconspicua,Pileolina,Planulina wuellerstorfi,Planulina wuellerstorfi (cf.),Plectofrondicularia pohana,Proxifrons advena,Pseudonodosaria,Pseudonodosaria symmetrica,Pullenia,Pullenia bulloides,Pullenia quadriloba,Pullenia quinqueloba,Pyrgo,Quinqueloculina,Rosalina bradyi,Rectobolivina maoria,Rectobolivina striatula,Rosalina bradyi,Saracenaria italica,Siphouvigerina,Siphouvigerina canariensis,Sphaeroidina bulloides,Spiroloculina,Stilostomella,Trifarina,Trifarina bradyi,Triloculina,Vaginulina,Vaginulinopsis,Virgulopsis,Virgulopsis petiae,Virgulopsis turris,Zeaflorilus parri
"372-U1517C-1H-1, 20-25",0.25,0.2,Holocene,,,F,,,X,,,,X,X,,X,,,,,,?,,,,,,,,,,,,,,X,,C,,,,F,,,,X,X,,,,,,,XX,,,,,,,,,,C,,,,,XX,,,,F,,,X,,,,,X,,XX,,,,,,,,X,X,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,F,,,,,,,,,,,
"372-U1517C-1H-2, 106-111",2.61,2.56,,,,F,,,X,X,,,X,,,,,,,,X,,,,X,,,X,,X,,,,,,F,,F,,X,,F,,X,,,,F,,,,,,XX,,,,,,,,,,C,,,,X,X,,,,X,,,,,X,,,X,,XX,,,,,XX,,,,X,,,,,,,,X,F,,,,F,,,,,,F,,,,,,X,,,,,,X,,,,,,,,,,,,,X,,,,,,X,,,,,
"372-U1517C-1H-13, 29-34",3.34,3.29,,,,F,,,F,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,F,,C,,,,F,,,,,X,XX,,,,,,XX,,,,,,,,,,C,,,,X,,X,,,,,,,,,,,,,,,,,,XX,X,,X,X,,,,,,,,X,F,X,,,F,,,,,,F,,,,,,,,,,,,,,,X,,X,,,,,,,,F,,,,,,X,,,,,
"372-U1517C-1H-4, 42-47",4.97,4.92,Late Pleistocene,,X,,,,,,,,,,,,,,,X,?,,,,,X,X,,,,,,,X,,,,,,X,,,,,,,,X,,,,,,X,,,X,,,F,,,F,,,,F,C,,,,,,,X,,,X,,X,,,X,,,,X,X,X,,,,,,,X,,,,F,,,,A,,,,,,X,,,,,,,,,,,,,,X,,,XX,XX,X,,X,X,,,X,,X,X,,,,,,,,,F
"372-U1517C-1H-CC, 28-33",5.7,5.65,,,,,,,,,,,,,,,,,,X,,,X,F,,,F,,,,,X,F,X,,,,F,,,,,,,,X,,F,,(X),,CF,,X,,,,,,F,,F,,,,,,F,X,,,,,,X,,X,,X,,,X,X,,,X,,,,,,,(X),,,,,,,F,,,,F,,,,,,,X,,,,,,,,,,,,,X,,,X,X,,,,,,X,,X,,,,,,,,,X,,X
"372-U1517C-2H-CC, 33-38",15.2,15.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,F,,X,,X,,,,X,,,?,,,,,,,,,,,X,,,X,?,,,,F,,,,,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,A,,,F,,,,,,X,,,,,,,,,,,,,,,X,,,,X,,,X,,,,,,,,,,,,,,,,X
"372-U1517C-3F-CC, 25-30",19.9,19.85,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,X,,,,,X,,,,,,,,F,,,,,,,,,,,,,,X,,,,,X,,,F,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,C,,,F,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
"372-U1517C-4F-CC, 24-29",24.6,24.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,X,,,,,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,F,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,F,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
"372-U1517C-5F-CC, 24-29",29.3,29.25,,,,X,X,,,,,,,,,,,,,,XX,,,X,,,X,,X,,,,,X,,,,,X,,,,,,,X,,,X,,,,,X,,,,,,F,,F,,,,,,,XX,,,,,,X,,,,,,,,,,X,,,X,,,,,,,,,X,,,A,,X,,A,,,,X,,X,,,,,X,,,,,,,,,,,,X,XX,,,,X,X,,,,,X,,,,,,,,,F
"372-U1517C-6F-CC, 21-26",33.98,33.93,,,,,X,,,,,,,,,,,,X,,,,,X,,,X,,,X,X,,,,,,,X,,,,X,,,,X,,X,,(X),,,,,,,X,,,F,,F,,,X,,,,X,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,,,X,F,,,,A,,,,,,,,?,X,,,,,,,,,,,,,,,X,,,X,,,,X,,X,X,,,,X,,,,,
