Exp,Hole,Core,Type,Section,Top Depth [m],Bottom Depth [m],Preservation,Pollen (trees),Pollen (shrubs),Pollen (herbs),Spores of pteridophytes,Pediastrum + Botryococcus,Reworked palynomorphs,,Site,Top [cm],Bottom [cm],A/W,Sample
323,A,1,H,CC,3.8,3.9,M,F,,,R,,F,,U1340,,,,323-U1340A-1H-CC-nan
323,A,3,H,CC,23.39,23.49,M,C,,,F,,C,,U1340,,,,323-U1340A-3H-CC-nan
323,A,5,H,CC,42.35,42.45,M,C,F,,F,F,F,,U1340,,,,323-U1340A-5H-CC-nan
323,A,7,H,CC,61.41,61.51,G,C,,F,F,,F,,U1340,,,,323-U1340A-7H-CC-nan
323,A,9,H,CC,80.35,80.45,M,F,R,,R,F,F,,U1340,,,,323-U1340A-9H-CC-nan
323,A,11,H,CC,99.42,99.52,M,C,F,,F,R,C,,U1340,,,,323-U1340A-11H-CC-nan
323,A,13,H,CC,118.53,118.63,M,C,,,,F,C,,U1340,,,,323-U1340A-13H-CC-nan
323,A,15,H,CC,137.12,137.22,P,F,F,,R,R,C,,U1340,,,,323-U1340A-15H-CC-nan
323,A,17,H,CC,156.48,156.58,M,C,F,,C,,C,,U1340,,,,323-U1340A-17H-CC-nan
323,A,19,H,CC,175.45,175.55,P,F,,,,,C,,U1340,,,,323-U1340A-19H-CC-nan
323,A,21,H,CC,185.61,185.71,P,F,C,,C,F,C,,U1340,,,,323-U1340A-21H-CC-nan
323,A,23,H,CC,196.34,196.44,P,,F,,,,C,,U1340,,,,323-U1340A-23H-CC-nan
323,A,25,H,CC,215.6,215.7,G,F,,,F,,F,,U1340,,,,323-U1340A-25H-CC-nan
323,A,27,H,CC,234.62,234.72,M,F,F,C,C,,C,,U1340,,,,323-U1340A-27H-CC-nan
323,A,29,H,CC,243.98,244.08,G,F,F,,,,F,,U1340,,,,323-U1340A-29H-CC-nan
323,A,31,H,CC,272.57,272.67,M,,,,,,C,,U1340,,,,323-U1340A-31H-CC-nan
323,A,33,H,CC,291.66,291.76,M,,,F,,,C,,U1340,,,,323-U1340A-33H-CC-nan
323,A,35,H,CC,310.58,310.68,M,F,,,F,,C,,U1340,,,,323-U1340A-35H-CC-nan
323,A,37,H,CC,327.26,327.36,M,F,,,F,,F,,U1340,,,,323-U1340A-37H-CC-nan
323,A,39,H,CC,343.55,343.65,M,C,,,,,C,,U1340,,,,323-U1340A-39H-CC-nan
323,A,41,H,CC,354.63,354.73,G,,,,,,F,,U1340,,,,323-U1340A-41H-CC-nan
323,A,42,H,CC,358.58,358.7,G,,F,,,,C,,U1340,,,,323-U1340A-42H-CC-nan
323,A,43,H,CC,358.7,358.77,M,,,,,,F,,U1340,,,,323-U1340A-43H-CC-nan
323,A,44,X,CC,365.09,365.19,P,F,F,,F,,C,,U1340,,,,323-U1340A-44X-CC-nan
323,A,47,X,CC,399.41,399.51,P,C,,,C,,C,,U1340,,,,323-U1340A-47X-CC-nan
323,A,49,X,CC,417.96,418.06,M,,F,,F,,C,,U1340,,,,323-U1340A-49X-CC-nan
323,A,51,X,CC,435.51,435.61,P,C,,,F,,C,,U1340,,,,323-U1340A-51X-CC-nan
323,A,53,X,CC,457.62,457.72,M,,,,,,C,,U1340,,,,323-U1340A-53X-CC-nan
323,A,55,X,CC,476.23,476.33,G,C,,,F,,F,,U1340,,,,323-U1340A-55X-CC-nan
323,A,57,X,CC,492.82,492.92,P,,,,,,R,,U1340,,,,323-U1340A-57X-CC-nan
323,A,59,X,CC,515.11,515.21,M,F,F,,,,F,,U1340,,,,323-U1340A-59X-CC-nan
323,A,63,H,CC,546.74,546.77,M,F,R,,,,F,,U1340,,,,323-U1340A-63H-CC-nan
323,A,65,H,CC,557.37,557.43,P,,,,,,F,,U1340,,,,323-U1340A-65H-CC-nan
323,A,67,H,CC,565.8,565.9,G,,F,,,,F,,U1340,,,,323-U1340A-67H-CC-nan
323,A,69,H,CC,585.18,585.28,M,,,,F,,,,U1340,,,,323-U1340A-69H-CC-nan
323,A,71,X,CC,604.51,604.61,M,F,,,R,,,,U1340,,,,323-U1340A-71X-CC-nan
