Expedition,Site,Hole,Core,Core Type,Section,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],Preservation,Abundance,Globigerina bulloides,Globigerina umbilicata,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Turborotalia quinqueloba,comments,,,,,
323,U1345,A,1,H,CC,4,14,4.29,4.39,VG,D,D,,,D,R,abundant IRD,,,,,
323,U1345,A,2,H,CC,0,11,13.98,14.09,G,F,R,,,F,,"dominant IRD, pyrite",,,,,
323,U1345,A,3,H,CC,21,31,23.82,23.92,G,F,P,,,F,,"dominant IRD, pyrite",,,,,
323,U1345,A,4,H,CC,14,24,33.34,33.44,M,P,P,,,P,,"dominant IRD, pyrite, yellow foraminiferal tests",,,,,
323,U1345,A,5,H,CC,34,44,42.85,42.95,M,D,A,R,P,D,,"abundant IRD, pyrite, mica, yellow foraminiferal tests",,,,,
323,U1345,A,6,H,CC,41,51,51.51,51.61,M,R,R,,,R,,"dominant IRD, pyrite, mica",,,,,
323,U1345,A,7,H,CC,41,51,61.74,61.84,M,R,,,,R,,"dominant IRD, pyrite, mica",,,,,
323,U1345,A,8,H,CC,35,45,71.01,71.11,G,R,R,,,,,"dominant IRD, pyrite, mica",,,,,
323,U1345,A,9,H,CC,40,50,80.54,80.64,G,F,F,,,R,,"few IRD, pyrite, mica",,,,,
323,U1345,A,10,H,CC,28,38,88.26,88.36,G,A,F,,,A,,"abundant IRD, pyrite, mica, yellow foraminiferal tests",,,,,
323,U1345,A,11,H,CC,29,39,98.39,98.49,G,F,,,,F,,"dominant IRD, pyrite, mica",,,,,
323,U1345,A,12,H,CC,27,37,108.43,108.53,M,,F,,,F,,"abundant IRD, pyrite, mica, yellow foraminiferal tests",,,,,
323,U1345,A,13,H,CC,26,36,118.88,118.98,G,D,A,P,,D,,"abundant IRD, mica, sponge spicules",,,,,
323,U1345,A,14,H,CC,35,45,128.02,128.12,G,R,P,,,R,,"few IRD, pyrite, mica",,,,,
323,U1345,A,15,H,CC,23,33,137.99,138.09,M,F,R,,,F,,"abundant IRD, pyrite, mica, yellow foraminiferal tests",,,,,
323,U1345,A,16,H,CC,34,44,147.33,147.43,M,D,,,,D,,"abundant IRD, pyrite, mica, yellow foraminiferal tests",,,,,
323,U1345,B,1,H,CC,0,10,8.15,8.25,G,A,R,,,A,P,"dominant IRD, pyrite, mica",,,,,
323,U1345,B,2,H,CC,0,15,17.84,17.99,G,A,A,,,A,,"dominant IRD, pyrite, mica",,,,,
323,U1345,B,3,H,CC,0,20,27.57,27.77,G,R,R,,,R,,"dominant IRD, pyrite, mica, yellow foraminiferal tests",,,,,
323,U1345,B,4,H,CC,0,25,37.08,37.33,G,F,R,,,F,,"dominant IRD, pyrite, mica",,,,,
