Sample,Expedition,Site,Hole,Core,Core Type,Section,Section Half,Interval Top (cm) on SHLF,Interval Bot (cm) on SHLF,Top Depth (m),Bottom Depth (m),Abundance,Preservation,R. pseudoumblicus/R.gelida,R. minuta/D.productus,R. minutula/D.antarcticus
318-U1359D-25R-1-W 9/10-NANNO,318,U1359,D,25,R,1,W,9,10,372.49,372.5,A,G,A,A,A
318-U1359D-33R-2-W 90/92-NANNO,318,U1359,D,33,R,2,W,90,92,451.6,451.62,B,,,,
318-U1359D-33R-4-W 33/35-NANNO,318,U1359,D,33,R,4,W,33,35,454.03,454.05,B,,,,
318-U1359D-34R-2-W 70/71-NANNO,318,U1359,D,34,R,2,W,70,71,460.9,460.91,B,,,,
318-U1359D-34R-4-W 19/20-NANNO,318,U1359,D,34,R,4,W,19,20,463.39,463.4,R,M,R,R,R
318-U1359D-35R-1-W 82/83-NANNO,318,U1359,D,35,R,1,W,82,83,469.02,469.03,R,M,R,R,R
318-U1359D-35R-4-W 72/73-NANNO,318,U1359,D,35,R,4,W,72,73,473.42,473.43,B,,,,
318-U1359D-36R-1-W 59/60-NANNO,318,U1359,D,36,R,1,W,59,60,478.39,478.4,B,,,,
318-U1359D-37R-1-W 72/74-NANNO,318,U1359,D,37,R,1,W,72,74,488.12,488.14,C,M,F,C,C
318-U1359D-38R-2-W 62/63-NANNO,318,U1359,D,38,R,2,W,62,63,499.12,499.13,B,,,,
318-U1359D-39R-1-W 80/82-NANNO,318,U1359,D,39,R,1,W,80,82,507.4,507.42,B,,,,
318-U1359D-40R-3-W 63/64-NANNO,318,U1359,D,40,R,3,W,63,64,519.83,519.84,B,,,,
318-U1359D-41R-2-W 85/86-NANNO,318,U1359,D,41,R,2,W,85,86,528.15,528.16,B,,,,
318-U1359D-48R-1-W 74/74-NANNO,318,U1359,D,48,R,1,W,74,74,593.34,593.34,B,,,,
