Exp,Site,Hole,"Core, Section",Top Depth [m],Actinocyclus curvatulus,Actinocyclus ochotensis,Azpeitia nodulifera,Azpeitia cf. tabularis,Bacterosira fragilis,Chaetoceros resting spore,Cocconeis costata,Cocconeis placentula,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Delphineis surirella,Detonula confervacea,Diploneis interrupta,Diploneis spp.,Eunotia praerupta,Fragilaria cylindrus,Fragilaria oceanica,Grammatophora arcunata,Navicula distans,Navicula spp.,Neodenticula seminae,Nitzschia spp.,Odontella aurita,Paralia sol,Paralia sulcata,Pinnularia spp.,Pyxidicula turris,Porosira glacialis,Proboscia curvirostris,Rhabdonema spp.,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. hiemalis,Rhizosolenia hebetata f. semispina,Rhizosolenia styliformis,Stauroneis spp.,Stellarima microtrias,Tetracyclus lacustris,Thalassionema nitzschoides,Thalassiosira antarctica spore,Thalassiosira decipiens,Thalassiosira eccentrica,Thalassiosira hyalina,Thalassiosira jouseae,Thalassiosira latimarginata s.l.,Thalassiosira lineata,Thalassiosira nordenskioeldii,Thalassiosira oestrupii,Thalassiosira pacifica,Thalassiosira spp,Thalassiothrix longissima,Thalassiosira spp.,Diatom Zone (NPD) in Yanagisawa and Akiba (1998),Core,Section,Type,Top [cm],Bottom [cm],Bottom Depth [m],A/W,Sample
323,U1339,D,1H-CC,6.52,C,F,,,F,F,,,,T,,,,T,,,T,,,,C,T,C,,,,,,,,,,R,,T,,,R,C,T,,R,,C,,,F,,F,,F,Neodenticula seminae (NPD 12),1,CC,H,,,,,323-U1339D-1H-CC-nan
323,U1339,D,2H-CC,16.04,C,,,,T,C,,,,,,,,,,,R,,T,T,A,,T,,R,,T,,,,,,,,,,,T,C,,,T,,C,,F,F,,,T,,,2,CC,H,,,,,323-U1339D-2H-CC-nan
323,U1339,D,3H-CC,25.59,C,,,,F,C,F,,,T,T,,,,,,T,,,,C,,F,T,,,,,,C,T,,,,,,,T,A,,,T,,C,T,T,,,,T,,,3,CC,H,,,,,323-U1339D-3H-CC-nan
323,U1339,D,4H-CC,33.38,F,,F,,,C,T,,,,,,,,,R,T,,,,C,R,F,,C,,F,,,,T,,C,,,,,C,C,,,,T,C,,,F,,,F,,,4,CC,H,,,,,323-U1339D-4H-CC-nan
323,U1339,D,5H-CC,43.24,C,,,,F,C,R,,F,T,T,,T,,,,,,,T,C,T,T,,F,,,,,,C,,R,,,,,T,C,,,,,C,,,C,,,F,,,5,CC,H,,,,,323-U1339D-5H-CC-nan
323,U1339,D,6H-CC,52.97,F,,,,C,C,,,,,T,,,,,T,C,,,,C,,C,,F,,,T,,F,R,,F,,,,,R,A,,,,,C,,,C,,F,T,F,,6,CC,H,,,,,323-U1339D-6H-CC-nan
323,U1339,D,7H-CC,62.48,F,,,,T,C,,,F,R,,,,,,,T,,,,A,,F,,,,,,,,F,,C,,,,,F,C,,,,T,C,,T,C,,T,R,T,,7,CC,H,,,,,323-U1339D-7H-CC-nan
323,U1339,D,8H-CC,71.2,A,,,,R,C,T,T,,,T,,,,,R,F,,,,C,,,,,T,,,F,,T,,,,,,,F,F,,,,,C,,,C,,,R,,Proboscia curvirostris (NPD 11),8,CC,H,,,,,323-U1339D-8H-CC-nan
323,U1339,D,9H-CC,80.15,F,,,,T,A,T,,,,,,,,,,,,,,R,,C,,,,,,,T,,T,,,,,,R,C,,T,,C,F,,,,,,,,,9,CC,H,,,,,323-U1339D-9H-CC-nan
323,U1339,D,10H-CC,90.43,C,,,,T,A,,,C,R,T,,,,,,,,,,,,T,,F,,,,,,T,,,,,,,T,C,,,T,T,T,,,,,,F,,,10,CC,H,,,,,323-U1339D-10H-CC-nan
323,U1339,D,11H-CC,100.38,C,,,,,A,,,R,,,,,,,,,,,,C,,,,T,,,T,,,,T,,,,,,F,C,T,R,,F,T,,T,,,,R,,,11,CC,H,,,,,323-U1339D-11H-CC-nan
323,U1339,D,12H-CC,110.15,F,R,,T,,C,T,,,,T,,,,T,F,C,,,,A,,F,,,,,,,,R,,F,,,,,T,C,T,,,T,C,,,F,,,T,,,12,CC,H,,,,,323-U1339D-12H-CC-nan
323,U1339,D,13H-CC,119.89,F,,T,,R,C,C,T,,,T,F,,,,T,C,,,,C,,,,F,,T,,,,,,F,,,,,C,C,,,T,C,T,T,,R,,,F,,,13,CC,H,,,,,323-U1339D-13H-CC-nan
323,U1339,D,14H-CC,128.83,C,T,,,R,T,T,,,T,,,,,,T,F,,,,C,,F,,,,T,,F,T,,,,,,,,T,A,,,,F,C,,,R,,,T,,,14,CC,H,,,,,323-U1339D-14H-CC-nan
323,U1339,D,15H-CC,137.14,F,F,,,,R,,,T,T,,,,,,,,T,,,D,,,,F,,,,T,,,,F,,,,,,C,,,T,C,F,,,F,,,,,,15,CC,H,,,,,323-U1339D-15H-CC-nan
323,U1339,D,16H-CC,147.16,A,,T,,F,F,T,,,,,,,,,T,,,T,,F,,,,,,R,,F,,F,,,,,,T,F,C,,,,T,C,,,C,,,F,,,16,CC,H,,,,,323-U1339D-16H-CC-nan
323,U1339,D,17H-CC,157.88,C,,,,R,T,T,,,T,,,,,,,,,,,C,,,,T,,R,,C,,T,,T,,,,,T,A,,,T,C,C,,,R,,,F,,,17,CC,H,,,,,323-U1339D-17H-CC-nan
323,U1339,D,18H-CC,167.18,C,,,,,,,,R,T,,,,,,,,,,,C,,,,,,T,,C,,,,,,,,,,A,,R,,T,F,,,,,,,,,18,CC,H,,,,,323-U1339D-18H-CC-nan
323,U1339,D,19H-CC,176.77,C,F,,,T,C,T,,T,R,,,,,,,,,,,A,T,,,T,,F,,,T,T,,,,,,,,C,,T,T,C,C,,,C,,,R,,,19,CC,H,,,,,323-U1339D-19H-CC-nan
323,U1339,D,20H-CC,185.99,C,,,,,,,,,,T,,,,,,,,,,A,,,,,,C,T,T,,F,F,T,,,,,C,A,,,T,R,,,,,,,T,,,20,CC,H,,,,,323-U1339D-20H-CC-nan
323,U1339,D,21H-CC,194.11,C,,,,T,F,T,,,T,,,,,,,,,,,A,,,,F,,,,R,,F,,R,,,,,,C,,,T,F,F,R,,R,,,,,,21,CC,H,,,,,323-U1339D-21H-CC-nan
323,U1339,D,22H-CC,200.77,C,,,,F,C,,,F,,,R,,,,,,,,,A,,,,,,R,T,,,,,,T,,T,,,F,,,T,C,,,T,,R,,F,,,22,CC,H,,,,,323-U1339D-22H-CC-nan
