Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
363-U1483A-1H-1-A,0,3.5,0,0.035,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,7.5YR 6/4 (light brown),none [DB86],,,,,,sponge spicule and diatom by smear slide observation,,,,,,,,,,,,,363,U1483,A,1,H,1,A,,,,
363-U1483A-1H-1-A,3.5,4.5,0.035,0.045,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,7.5YR 3/1 (very dark gray),none [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,1,A,,,,
363-U1483A-1H-1-A,4.5,7,0.045,0.07,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,7.5YR 6/4 (light brown),none [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,1,A,,,,
363-U1483A-1H-1-A,7,17,0.07,0.17,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,7.5YR 6/4 (light brown),moderate [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,1,A,,,,
363-U1483A-1H-1-A,17,150,0.17,1.5,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,1,A,,,,
363-U1483A-1H-2-A,0,12,1.5,1.62,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,2,A,,,,
363-U1483A-1H-2-A,12,150,1.62,3,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,2,A,,,,
363-U1483A-1H-3-A,0,145,3,4.45,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,3,A,,,,
363-U1483A-1H-4-A,0,150,4.5,6,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,4,A,,,,
363-U1483A-1H-5-A,0,145,6,7.45,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,dark-color patch includes wood fragments and framboidal pyrite,,,,,,,,,,,,,363,U1483,A,1,H,5,A,,,,
