Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. color,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. abundance [%],MIN Lith. color,MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,"Layer, boundary, lamination, grading",Layer or bedding thickness,Clasts abundance,Diagenetic constituent,Diagenetic structure,Bioturbation intensity,Bioturbation intensity rank,Macrofossil abundance name,Deformational structures,General interval comment,MAJ Lith. Prefix abundance Plot [%],MAJ Lith. Principal name abundance Plot [%],File Data
339-U1389C-1H-1-A,339,U1389,C,1,1-1,H,1,A,0,11,0,0.11,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,5Y 4/2 (olive gray),silt ,2,fine sand ,4,,,,,,,,,,,,,100,sharp contact,,,,,,absent_339 ,1,,,Fall in,100,100,
339-U1389C-1H-1-A,339,U1389,C,1,1-1,H,1,A,11,40,0.11,0.4,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,5Y 4/2 (olive gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,rare ,,Shell fragments present,100,100,
339-U1389C-1H-1-A,339,U1389,C,1,1-1,H,1,A,40,51,0.4,0.51,,silty sand ,with biogenic carbonate ,silty sand ,silty sand  with biogenic carbonate ,silty sand   with biogenic carbonate ,100,5Y 4/2 (olive gray),very fine sand ,3,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,rare ,,Shell fragments present,100,100,
339-U1389C-1H-1-A,339,U1389,C,1,1-1,H,1,A,51,150,0.51,1.5,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,5Y 4/2 (olive gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,few ,,Shell fragments present,100,100,
339-U1389C-1H-2-A,339,U1389,C,1,1-2,H,2,A,0,67,1.5,2.17,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,5Y 4/2 (olive gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,few ,,"Shell fragments, forams and pyrite filled burrows present",100,100,
339-U1389C-1H-2-A,339,U1389,C,1,1-2,H,2,A,67,150,2.17,3,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,5Y 4/2 (olive gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,few ,,Shell fragments and forams present,100,100,
339-U1389C-1H-3-A,339,U1389,C,1,1-3,H,3,A,0,120,3,4.2,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,5Y 4/2 (olive gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,few ,,Shell fragments and forams present,100,100,
339-U1389C-1H-3-A,339,U1389,C,1,1-3,H,3,A,120,150,4.2,4.5,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/2 (olive gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,Forams present,100,100,
339-U1389C-1H-4-A,339,U1389,C,1,1-4,H,4,A,0,29,4.5,4.79,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/2 (olive gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,sharp contact,,,,,,slight_339 ,3,,,Forams present,100,100,
339-U1389C-1H-4-A,339,U1389,C,1,1-4,H,4,A,29,75,4.79,5.25,calcareous ,silty sand ,,calcareous   silty sand ,calcareous  silty sand ,silty sand ,100,5Y 4/1 (dark gray),very fine sand ,3,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,few ,,Shell fragments and forams present,100,100,
339-U1389C-1H-4-A,339,U1389,C,1,1-4,H,4,A,75,150,5.25,6,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/2 (olive gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,few ,,Shell fragments and forams present,100,100,
339-U1389C-1H-5-A,339,U1389,C,1,1-5,H,5,A,0,26,6,6.26,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/2 (olive gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,few ,,Shell fragments and forams present,100,100,
339-U1389C-1H-5-A,339,U1389,C,1,1-5,H,5,A,26,93,6.26,6.93,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,5Y 4/2 (olive gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,few ,,Shell fragments and forams present,100,100,
339-U1389C-1H-5-A,339,U1389,C,1,1-5,H,5,A,93,109,6.93,7.09,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/1 (dark gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,few ,,Shell fragments and forams present,100,100,
339-U1389C-1H-5-A,339,U1389,C,1,1-5,H,5,A,109,128,7.09,7.28,calcareous ,silty sand ,,calcareous   silty sand ,calcareous  silty sand ,silty sand ,100,5Y 4/2 (olive gray),very fine sand ,3,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,few ,,Shell fragments and forams present,100,100,
339-U1389C-1H-5-A,339,U1389,C,1,1-5,H,5,A,128,137,7.28,7.37,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/2 (olive gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,rare ,,Shell fragments and forams present,100,100,
339-U1389C-1H-5-A,339,U1389,C,1,1-5,H,5,A,137,150,7.37,7.5,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,5Y 4/2 (olive gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,Forams present,100,100,
339-U1389C-1H-6-A,339,U1389,C,1,1-6,H,6,A,0,129,7.5,8.79,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,5Y 4/2 (olive gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,few ,,"Shell fragments, whole Scaphopoda and forams present",100,100,
339-U1389C-1H-6-A,339,U1389,C,1,1-6,H,6,A,129,139,8.79,8.89,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/2 (olive gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,Forams present,100,100,
339-U1389C-1H-7-A,339,U1389,C,1,1-7,H,7,A,0,60,8.89,9.49,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/2 (olive gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,few ,,"Shell fragments, whole Scaphopoda and forams present",100,100,
339-U1389C-1H-CC-A,339,U1389,C,1,1-CC,H,CC,A,0,25,9.49,9.74,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/2 (olive gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,few ,,"Shell fragments, whole Scaphopoda and forams present",100,100,
339-U1389C-2H-1-A,339,U1389,C,2,2-1,H,1,A,0,150,9.5,11,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,2.5Y 4/1 (dark gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,,,,,,,sparse_339 ,2,few ,,"Shell fragments, whole Scaphopoda and forams present",100,100,
339-U1389C-2H-2-A,339,U1389,C,2,2-2,H,2,A,0,150,11,12.5,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,2.5Y 4/1 (dark gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,,,,,,,sparse_339 ,2,few ,,"Shell fragments, whole Scaphopoda and forams present. gastropod at 60 cm",100,100,
339-U1389C-2H-3-A,339,U1389,C,2,2-3,H,3,A,0,107,12.5,13.57,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,2.5Y 4/1 (dark gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,irregular contact,,,,,,sparse_339 ,2,few ,,"Shell fragments, whole Scaphopoda and forams present. ",100,100,
339-U1389C-2H-3-A,339,U1389,C,2,2-3,H,3,A,107,150,13.57,14,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,Forams present,100,100,
339-U1389C-2H-4-A,339,U1389,C,2,2-4,H,4,A,0,42,14,14.42,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,irregular contact,,,,,,slight_339 ,3,,,Forams present,100,100,
339-U1389C-2H-4-A,339,U1389,C,2,2-4,H,4,A,42,52,14.42,14.52,calcareous ,sandy silt ,,calcareous   sandy silt ,calcareous  sandy silt ,sandy silt ,100,10Y 4/1 (dark greenish gray),silt ,2,fine sand ,4,,,,,,,,,,,,,100,irregular contact,,,,,,slight_339 ,3,,,,100,100,
339-U1389C-2H-4-A,339,U1389,C,2,2-4,H,4,A,52,150,14.52,15.5,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,few ,,Mottled with 2.5Y 4/1. Shell fragments and forams present. ,100,100,
339-U1389C-2H-5-A,339,U1389,C,2,2-5,H,5,A,0,15,15.5,15.65,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,few ,,Mottled with 2.5Y 4/1. Shell fragments and forams present. ,100,100,
339-U1389C-2H-5-A,339,U1389,C,2,2-5,H,5,A,15,33,15.65,15.83,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,2.5Y 4/1 (dark gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,Forams present,100,100,
