Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Globigerina bulloides,Globigerina foliata,Globigerina umbilicata,Globigerinita glutinata,Globigerinita iota,Globigerinita uvula,Globorotalia hirsuta,Globorotalia scitula,Neogloboquadrina humerosa,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina incompta (dextral) ,Neogloboquadrina incompta (sinsitral) ,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),"Neogloboquadrina pachyderma A (dextral, inflated form)","Neogloboquadrina pachyderma B (sinistral, inflated form)","Neogloboquadrina pachyderma C (sinistral, compressed form)",Orbulina universa,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
341-U1418A-1H-CC-PAL,0,7,4.8,4.87,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G,A [A83],R,,D,,,,,,,,,,R,D,P,,R,,,"pebbles, sandy",,,,341,U1418,A,1,H,CC,PAL,
341-U1418A-3H-CC-PAL,0,5,23.92,23.97,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],D [A83],F,,D,,,,,,,,,,R,D,R,,F,,,"pebbles, sandy",,,,341,U1418,A,3,H,CC,PAL,
341-U1418A-5H-CC-PAL,0,5,42.91,42.96,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,VG [P15],A [A83],R,,A,R,,,,P,,,,,P,D,P,,R,,,pebble,,,,341,U1418,A,5,H,CC,PAL,
341-U1418A-7H-CC-PAL,0,5,62.14,62.19,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,VG [P15],D [A83],R,,A,,,,,,,,,,P,D,R,,R,,,"pebbles, dark brown foram, likely reworked",,,,341,U1418,A,7,H,CC,PAL,
341-U1418A-9H-CC-PAL,0,5,80.95,81,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],A [A83],P,,F,,,,,,,,,,,D,R,,,,,"orange/brown foram, wood fragment",,,,341,U1418,A,9,H,CC,PAL,
341-U1418A-11H-CC-PAL,0,5,100.07,100.12,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],A [A83],R,,D,P,,,,,,,,,R,D,P,,R,,,,,,,341,U1418,A,11,H,CC,PAL,
341-U1418A-13H-CC-PAL,0,6,118.34,118.4,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M [P15],F [A83],P,,A,,,,,,,,,,,D,P,,P,,,pebbles,,,,341,U1418,A,13,H,CC,PAL,
341-U1418A-15H-CC-PAL,0,5,128.12,128.17,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M [P15],F [A83],R,,F,R,,,,R,,,,,,D,F,,,,,,,,,341,U1418,A,15,H,CC,PAL,
341-U1418A-17H-CC-PAL,0,5,137.53,137.58,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],F [A83],,,R,,,,,,,,,,R,D,R,,F,,,"pebbles, sandy, fainted colored (light brown) forams",,,,341,U1418,A,17,H,CC,PAL,
341-U1418A-19H-CC-PAL,0,5,146.88,146.93,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],R [A83],R,,F,,,,,,,,,,,D,F,,,,,"pebbles, fainted colored planktic forams and brown colored benthics.",,,,341,U1418,A,19,H,CC,PAL,
341-U1418A-20H-CC-PAL,0,5,151.47,151.52,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M [P15],F [A83],,,A,R,,,,P,,,,,,D,R,,,,,light brown colored forams,,,,341,U1418,A,20,H,CC,PAL,
341-U1418A-21H-CC-PAL,0,5,156.31,156.36,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],D [A83],F,,A,R,,,,P,,,,,P,D,,,R,,,radiolarian rich,,,,341,U1418,A,21,H,CC,PAL,
341-U1418A-22H-CC-PAL,0,5,161.01,161.06,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M [P15],D [A83],R,,A,R,,,,,,,,,P,D,R,,R,,,orange forams,,,,341,U1418,A,22,H,CC,PAL,
341-U1418A-23H-CC-PAL,0,5,165.63,165.68,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],F [A83],R,,A,,,,,,,,,,P,D,R,,F,,,"pebbles, sandy",,,,341,U1418,A,23,H,CC,PAL,
341-U1418A-25H-CC-PAL,0,5,175.04,175.09,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,VG [P15],F [A83],R,,A,P,,,,,,,,,P,D,R,,F,,,,,,,341,U1418,A,25,H,CC,PAL,
341-U1418A-27H-CC-PAL,0,5,184.44,184.49,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],F [A83],P,,A,P,,,,,,,,,P,D,R,,P,,,"pyratilized foram (1), sandy, pebbles",,,,341,U1418,A,27,H,CC,PAL,
341-U1418A-29H-CC-PAL,0,5,193.72,193.77,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,VG [P15],A [A83],R,,A,P,,,,,,,,,P,D,R,,R,,,,,,,341,U1418,A,29,H,CC,PAL,
341-U1418A-31H-CC-PAL,0,5,203.19,203.24,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],A [A83],R,,F,P,,,,,,,,,P,D,R,,,,,sandy,,,,341,U1418,A,31,H,CC,PAL,
341-U1418A-33H-CC-PAL,0,5,209.88,209.93,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],F [A83],R,,A,,,,,,,,,,R,D,R,,R,,,"pebbles, sandy",,,,341,U1418,A,33,H,CC,PAL,
