Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance, Circodiscus (Porodiscus) circularis, Cycladophora nakasekoi , Cycladophora sakaii, Lithelius barbatus, Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum ,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana ,Cyrtocapsella cornuta ,Cyrtocapsella japonica ,Cyrtocapsella tetrapera ,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda ,Dictyophimus bullatus,Dictyophimus hirundo ,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai ,Giraffospyris angulata ,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis ,Lamprocyclas junonis ,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae ,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii ,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B ,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta ,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica ,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus ,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
341-U1418D-2H-CC-PAL-RADS,0,5,12.39,12.44,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],F [A81],,,,,,,,C [A82],C [A82],,,,,,,,,R [A82],,C [A82],,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,F [A82],,,,,,F [A82],,,,,,,,R [A82],,,,C [A82],,,,,F [A82],C [A82],R [A82],,,,,,,,,,,,,,,,,,,,,341,U1418,D,2,H,CC,PAL,RADS
341-U1418D-3H-CC-PAL-RADS,0,5,22.09,22.14,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],R [A81],,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,D,3,H,CC,PAL,RADS
341-U1418D-4H-CC-PAL-RADS,0,5,31.04,31.09,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,F [A82],F [A82],,,,,,,,,A [A82],,A [A82],,,,,,,,,,C [A82],,,,,,,,,,,,,,,,,,,,,,R [A82],,F [A82],,,,,,,A [A82],,R [A82],,,,,,R [A82],,,,,,,,F [A82],,,,F [A82],,,,,F [A82],R [A82],,R [A82],,,,,,,,,,,,,,,C [A82],,,,,341,U1418,D,4,H,CC,PAL,RADS
341-U1418D-5H-CC-PAL-RADS,0,5,41.25,41.3,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],R [A81],,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,341,U1418,D,5,H,CC,PAL,RADS
341-U1418D-6H-CC-PAL-RADS,0,5,50.65,50.7,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,C [A82],F [A82],,,,,,,,,A [A82],,A [A82],,,,,,,,,,C [A82],,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,F [A82],,,,,,,,,,,,,,F [A82],,C [A82],,,,F [A82],,,,,C [A82],F [A82],F [A82],R [A82],,,,,,,,,,,,,,,,,,,,341,U1418,D,6,H,CC,PAL,RADS
341-U1418D-7H-CC-PAL-RADS,0,5,60.23,60.28,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],R [A81],,,,,,,,R [A82],R [A82],,,,,,,,,R [A82],,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,341,U1418,D,7,H,CC,PAL,RADS
341-U1418D-8H-CC-PAL-RADS,0,5,67.94,67.99,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,341,U1418,D,8,H,CC,PAL,RADS
341-U1418D-9H-CC-PAL-RADS,0,5,77.08,77.13,B. aquilonaris [K07],Botyrostrobus aquilonaris,"LO Lychnocanoma nipponica sakaii (Morley et Nigrini, 1995)",G [P28],C [A81],,,,,,,,F [A82],C [A82],,,,,A [A82],,,,A [A82],,C [A82],,,,,,,,,,C [A82],,,,,,,,,,,,,,,,,,,,,,,,F [A82],,,,,,,R [A82],,,,,,,R [A82],,,,,,,R [A82],,F [A82],,,,F [A82],,,,,A [A82],F [A82],F [A82],,,,,,,,,,,,,,,,,,,,,341,U1418,D,9,H,CC,PAL,RADS
341-U1418D-10H-CC-PAL-RADS,0,5,85.64,85.69,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],C [A81],,,,,,,,,F [A82],,,,,F [A82],,,,C [A82],,A [A82],,,,,,,,,,C [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A82],R [A82],,,,,,,,,,,,R [A82],,,,,C [A82],R [A82],,,,,,,,,,,,,,,,,,,,,,341,U1418,D,10,H,CC,PAL,RADS
341-U1418D-11H-CC-PAL-RADS,0,5,96.66,96.71,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],R [A81],,,,,,,,R [A82],R [A82],,,,,,,,,F [A82],,F [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,R [A82],,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,341,U1418,D,11,H,CC,PAL,RADS
