Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Acervulinid taxa,Agglutinates (indeterminant fragments),Ammobaculites sp.,Ammonia beccarii,Ammonia sp.,Ammonia tepida,Amphicoryna spp.,Amphistegina gibbosa ,Amphistegina lessonii,Amphistegina radiata,Amphistegina sp.,Astacolus sp.,Asterigerina sp.,Bigenerina sp.,Biloculina sp.,Bolivina spp.,Bolivinita quadrilatera,Bulimina aculeata,Bulimina costata,Bulimina marginata,Bulimina pupoides,Bulimina sp.,Cassidulina sp.,Cassidulina teretis,Chilostomella sp.,Cibicides  bradyi,Cibicides pachyderma,Cibicides refulgens,Cibicides sp.,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides lobatulus,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cibicidoides wuellerstorfi,Cornuspira sp.,Cribrononion kerguelenense,Cribrononion sp.,Cyclorbiculina compressa,Cymbaloporetta sp.,Dentalina advena,Dentalina inornata,Dentalina sp.,Dentalina subemaciata,Dentalina subsoluta,Discorbina sp.,Dorothia exilis,Eggerella sp.,Ehrenbergina sp.,Elphidium excavatum,Eponides repandus,Fissurina marginata,Fissurina orbignyana,Fissurina semimarginata,Fissurina sp.,Fissurina wiesneri,Florilus spp.,Fursenkoina sp.,Gavelinopsis sp.,Globobulimina sp.,Globocassidulina sp.,Globocassidulina subglobosa,Gyroidinoides soldanii,Gyroidinoides spp,Hauerinella inconstans,Heterostegina sp.,Hoeglundina elegans,Karreriella bradyi,Lagena laevis,Lagena sp.,Lagena striata,Laticarinina pauperata,Lenticulina iota,Lenticulina orbicularis,Lenticulina peregrina,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marinittiella sp.,Melonis spp.,Myllostomella costai,Myllostomella huygaensis,Myllostomella spp.?,Nodosaria albatrossi,Nodosaria sp. ,Oolina melo,Oolina spp.,Oridorsalis umbonatus,Orthomorphina cf. jedlitschkai,Orthomorphina perversa,Orthomorphina sp.,Osangularia spp.,Parasorites orbitolitoides,Peneroplis sp.,Planctostoma luculenta,Planispirinoides bucculentus,Planulina ariminensis,Planulina sp.,Pleurostomella alternans,Pleurostomella sp.,Proxifrons inaequalis,Pullenia bulloides,Pyrgo comata,Pyrgo depressa,Pyrgo elongata,Pyrgo murrhina,Pyrgo serrata,Pyrgo sp.,Pyrgoella irregularis,Pyrgoella sp.,Pyrulina cylindroides,Quinqueloculina agglutinans,Quinqueloculina bicostata,Quinqueloculina bosciana,Quinqueloculina bradyana,Quinqueloculina candeiana,Quinqueloculina granulocostata,Quinqueloculina seminulum,Quinqueloculina sp.,Rectobolivina sp.,Rectoglandulina sp.,Reophax sp.,Robertina bradyi,Robertina sp. A,Robertinoides spp.,Rupertina stabilis,Sigmavirgulina tortuosa,Sigmoilopsis spp.,Siphonina bradyana,Siphonina sp.,Siphonodosaria cooperensis,Siphonodosaria insecta,Siphonodosaria pomuligera,Siphonodosaria sargrinensis,Siphonodosaria sp.,Siphouvigerina ampullacea,Sphaerogypsina globulus,Sphaeroidina bulloides,Spirillina sp.,Spiroloculina sp.,Stilostomella antillea,Stilostomella fistuca,Stilostomella sp.,Trifarina sp.,Triloculina insignis,Triloculina spp.,Uvigerina auberiana,Uvigerina cf. canariensis,Ship File Links,Shore File Links,Uvigerina peregrina,Uvigerina peregrina f. parvula,Uvigerina sp.,Vaginulina americana,Vertebralina sp.,Virgulina cf texturata,Vulvulina pennatula,Comment,File Data,Zone name,Zone name (short)
340-U1395B-1H-CC-PAL-FORAMB,340,U1395,B,1,1-CC,H,CC,PAL,FORAMB,0,0,5.83,5.83,G,D,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,P,,,,,,P,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,R,,,,P,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,R,,P,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1395B-2H-CC-PAL-FORAMB,340,U1395,B,2,2--CC,H,CC,PAL,FORAMB,0,0,15.48,15.48,M,A,,,,,,,,,,,P,,,,,,,P,,,,,R,,,P,,,,R,,,,,,,,,,P,,,,,,,,,R,P,,,P,,P,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,R,,,,,,,,,,R,,,,,,,,,P,,,,R,,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,
340-U1395B-3H-CC-PAL-FORAMB,340,U1395,B,3,3-CC,H,CC,PAL,FORAMB,0,0,25.21,25.21,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
340-U1395B-4H-CC-PAL-FORAMB,340,U1395,B,4,4-CC,H,CC,PAL,FORAMB,0,0,35.07,35.07,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1395B-5H-CC-PAL-FORAMB,340,U1395,B,5,5-CC,H,CC,PAL,FORAMB,0,0,44.21,44.21,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1395B-6H-CC-PAL-FORAMB,340,U1395,B,6,6-CC,H,CC,PAL,FORAMB,0,0,53.84,53.84,G,A,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,
340-U1395B-7H-CC-PAL-FORAMB,340,U1395,B,7,7-CC,H,CC,PAL,FORAMB,0,0,62.36,62.36,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,
340-U1395B-8H-CC-PAL-FORAMB,340,U1395,B,8,8-CC,H,CC,PAL,FORAMB,0,0,71.17,71.17,M,A,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,R,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1395B-9H-CC-PAL-FORAMB,340,U1395,B,9,9-CC,H,CC,PAL,FORAMB,0,0,79.44,79.44,M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1395B-10H-6-PAL-FORAMB,340,U1395,B,10,10-6,H,6,PAL,FORAMB,0,0,87.71,87.71,M,A,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
