Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Zone,Age,Preservation,Nannofossil abundance,Sphenolithus ciperoensis,Sphenolithus delphix,Sphenolithus disbelemnos,Helicosphaera ampliaperta,Sphenolithus belemnos,Triquetrorhabdulus carinatus,Sphenolithus heteromorphus,Discoaster deflandrei,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Coronocyclus nitescens,Discoaster kugleri,Coccolithus miopelagicus,Catinaster coalitus,Catinaster calyculus,Discoaster hamatus,Discoaster berggrenii,Nicklithus amplificus,Discoaster quinqueramus,Ceratolithus acutus,Ceratolithus larrymayeri,Triquetrorhabdulus rugosus,Ceratolithus rugosus,Reticulofenestra pseudoumbilicus,Sphenolithus spp.,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster triradiatus,Discoaster brouweri,Gephyrocapsa (>4 μm),Calcidiscus macintyrei,Gephyrocapsa (> 5.5 μm),Helicosphaera sellii,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Emiliania huxleyi,Algirosphaera robusta,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Calciosolenia murrayi,Catinaster mexicanus,Ceratolithus armatus,Ceratolithus atlanticus,Ceratolithus cristatus,Clausicoccus fenestratus,Coccolithus pelagicus,Cryptococcolithus mediaperforate,Cyclicargolithus abisectus,Dictyococcites antarcticus,Dictyococcites bisectus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster bergenii,Discoaster bollii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster loeblichii,Discoaster musicus,Discoaster neorectus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster variabilis,Discosphaera tubifera,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyroscapsa lumina,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera pavimentum,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Helicosphaera stalis,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Minylitha convallis,Oolithotus fragilis,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania ovata,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilicus (> 7 μm),Reticulofenestra pseudoumbilicus (5-7 µm),Reticulofenestra rotaria,Rhabdosphaera clavigera,Rhabdosphaera poculii,Scyphosphaera apsteinii,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera globulata,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera pulcherrima,Scyphosphaera tubifera,Scyphosphaera ventriosa,Small Gephyrocapsa (< 4 μm),Solidopons petrae,Sphenolithus abies,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus moriformis,Syracolithus schilleri,Syracosphaera lamina,Syracosphaera pulchra,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus extensus,Triquetrorhabdulus finifer,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus sp. (long needle-like),Triquetrorhabdulus striatus,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,eodp_id
320-U1334B-1H-CC-PAL-NANNO,320,U1334,B,1,1-CC,H,CC,PAL,NANNO,0,0,13.69,13.69,TDJ -,,,,B [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4107e2395b859677483ecceecc497319
320-U1334B-2H-CC-PAL-NANNO,320,U1334,B,2,2-CC,H,CC,PAL,NANNO,0,0,23.05,23.05,TDJ - heteromorphus present but rare;,NN4-5,middle Miocene,M [320_N],C [320_Ng],,,,,,,R,F,C,R,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,,,,C,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,3c03b557569d8d607c2371cc7f4c6698
320-U1334B-3H-CC-PAL-NANNO,320,U1334,B,3,3-CC,H,CC,PAL,NANNO,0,0,32.63,32.63,TDJ - heteromorphus present; no petaliformis,NN4-5,middle Miocene,M [320_N],C [320_Ng],,,,,,,F,C,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4c048211a863c730009f15ef5cce4ba0
320-U1334B-4H-CC-PAL-NANNO,320,U1334,B,4,4-CC,H,CC,PAL,NANNO,0,0,41.93,41.93,TDJ - no heteromorphus; carinatus present,NN2,early Miocene,M [320_N],C [320_Ng],,,,,,R,,C,C,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,4f075b9823aa22493a7ee8e01edf81f6
320-U1334B-5H-CC-PAL-NANNO,320,U1334,B,5,5-CC,H,CC,PAL,NANNO,0,0,50.93,50.93,TDJ - abundant small sphenoliths,NN1-2,early Miocene,M [320_N],C [320_Ng],,,,,,F,,C,C,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,F,,,,C,,,,,,,,,,,,,,,,,,,,,f048ca3ab2f81a69f08ced7872c7f3cc
320-U1334B-6H-CC-PAL-NANNO,320,U1334,B,6,6-CC,H,CC,PAL,NANNO,0,0,59.2,59.2,TDJ -,NN1-2,early Miocene,M [320_N],C [320_Ng],,,,,,F,,C,A,,R,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,F,C,,,,,,,,,,,,,,,,,,,,,3542de3c8a13e5924b74e239e11152ef
320-U1334B-7H-CC-PAL-NANNO,320,U1334,B,7,7-CC,H,CC,PAL,NANNO,0,0,68.88,68.88,TDJ - disbelemnos present,NN1-2,early Miocene,M [320_N],A [320_Ng],,,F,,,F,,C,A,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,099f6dac8eaa68e7462114919971ee3e
320-U1334B-8H-CC-PAL-NANNO,320,U1334,B,8,8-CC,H,CC,PAL,NANNO,0,0,78.04,78.04,TDJ - disbelemnos present,NN1-2,early Miocene,M [320_N],D [320_Ng],,,R,,,C,,A,D,,C,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,F,,C,,,,,,,,,,,,,,,,,,,,,7775fc5725581269da077d56d0e30596
320-U1334B-9H-CC-PAL-NANNO,320,U1334,B,9,9-CC,H,CC,PAL,NANNO,0,0,87.7,87.7,TDJ - no disbelemnos; Ilslethina common,NN1,early Miocene,M [320_N],A [320_Ng],,,,,,C,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,A,,,,,,,,,,,C,,,,,,,,,,dfa2ad66d89b7820eb05f0b6f56a6c8c
320-U1334B-10H-CC-PAL-NANNO,320,U1334,B,10,10-CC,H,CC,PAL,NANNO,0,0,97.22,97.22,TDJ -,NN1,Oligocene,M [320_N],A [320_Ng],,,,,,A,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,,,,,,,,,,,,,,,,,,,,,6133b593ae848bef6076b87c3d58c3c7
