Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],Terrestrial organic matter,Pyrite,"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina alticonica,Acarinina bullbrooki,Acarinina collactea,Acarinina primitiva,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Cribrohantkenina inflata,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Dentoglobigerina sp.,Dentoglobigerina tripartita,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigeriantella insueta,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina rubescens,Globigerina woodi,Globigerinatella sp.,Globigerinatheka barri,Globigerinatheka index,Globigerinella aequilateralis,Globigerinella calida,Globigerinella praesiphonifera,Globigerinella radians,Globigerinella siphonifera,Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiapertura,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber s.s.,"Globigerinoides ruber s.l. Wang, 2000",Globigerinoides sacculifer,Globigerinoides sacculifer (without sac),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia humerosa,Globorotalia incognita,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotalia zealandica,Globorotaloides hexagona,Globorotaloides quadrocameratus,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina nympha,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia sp.,Planorotalites palmerae,Planorotalites spp.,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina sicana,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina eocaena,Subbotina gortanii,Tenuitella gemma,Tenuitella munda,Tenuitellinata juvenilis,Turborotalita humilis,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
356-U1464B-1H-CC-PAL-FORAM-150-2000,0,5,2.21,2.26,,,,,,,,,,C,VG,L,70,1,,,,,"Pteropod, Ostracod, Scaphopod, Mollusk",,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,,F,P,,,,,,,,,,,,,,,P,P,P,P,P,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,B,1,H,CC,PAL,FORAM-150-2000
356-U1464B-2H-CC-PAL-FORAM-150-2000,0,5,11.46,11.51,"T Globorotalia tosaensis (Gradstein et al., 2012)",T Globorotalia tosaensis,,0.61,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,C,G,L,80,1,,,,,glauconite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,P,,P,P,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,P,P,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1464,B,2,H,CC,PAL,FORAM-150-2000
356-U1464B-4H-CC-PAL-FORAM-150-2000,0,5,30.77,30.82,,,,,,,,,,C,M,L,70,1,,,,,peloids; ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,P,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1464,B,4,H,CC,PAL,FORAM-150-2000
356-U1464B-6H-CC-PAL-FORAM-150-2000,0,5,49.75,49.8,"B Globorotalia truncatulinoides (Gradstein et al., 2012)",B Globorotalia truncatulinoides,also Top G. fistulosus,1.93,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",also Top G. fistulosus,0.61,1.88,C,G,L,80,1,,,,,glauconitized pteropods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,P,,,P,P,,,P,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,P,P,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1464,B,6,H,CC,PAL,FORAM-150-2000
356-U1464B-8H-CC-PAL-FORAM-150-2000,0,5,69.09,69.14,,,,,,,,,,C,G,L,80,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,P,,,,,,,P,P,,P,P,,,P,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,B,8,H,CC,PAL,FORAM-150-2000
356-U1464B-10H-CC-PAL-FORAM-150-2000,0,5,88.12,88.17,"T Globigerinoides extremus (Gradstein et al., 2012)",T Globigerinoides extremus,"also Top G. limbata, 2.39 Ma",1.98,PL6,"PL6 - Globigerinoides fistulosus Highest-occurrence Zone (Atlantic) (Gradstein et al., 2012)","also Top G. limbata, 2.39 Ma",1.88,2.39,C,G,L,70,1,,,,,Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,P,,,,,,,P,P,,P,P,,,P,,,,,,,,,,,P,,,,,P,,P,,,,,P,,,,,,,P,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1464,B,10,H,CC,PAL,FORAM-150-2000
356-U1464B-12H-CC-PAL-FORAM-150-2000,0,5,106.87,106.92,,,,,,,,,,C,G,L,70,1,,,,,Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,P,P,,P,P,,,P,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,P,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,356,U1464,B,12,H,CC,PAL,FORAM-150-2000
356-U1464B-14H-CC-PAL-FORAM-150-2000,0,5,126.25,126.3,"T Dentoglobigerina altispira (Gradstein et al., 2012)",T Dentoglobigerina altispira,also Base G. tosaensis and G. fistulosus,3.47,PL4 (Indo-Pacific),"PL4 (Indo-Pacific) - Dentoglobigerina altispira Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",also Base G. tosaensis and G. fistulosus,3.47,3.59,C,G,L,70,1,,,,,Ostracod (P),,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,P,,,P,P,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,356,U1464,B,14,H,CC,PAL,FORAM-150-2000
356-U1464B-16H-CC-PAL-FORAM-150-2000,0,5,145,145.05,,,,,,,,,,C,G,L,70,1,,,,,Ostracod,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,B,16,H,CC,PAL,FORAM-150-2000
356-U1464B-18H-6-PAL-FORAM-150-2000,0,5,162.95,163,"T Globorotalia margaritae (Gradstein et al., 2012)",T Globorotalia margaritae,also Top P. primalis,3.85,PL2,"PL2 - Globorotalia margaritae Highest Occurrence Zone (Gradstein et al., 2012)",also Top P. primalis,3.85,4.37,C,M,L,80,1,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,P,,,,,,,,P,P,,,P,,,,,,,,,,,,,,,,P,P,P,,,,P,,,,,P,,,,,P,,,,,P,,,,,,,,P,,,,P,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,356,U1464,B,18,H,6,PAL,FORAM-150-2000
