Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Zone name (short),Zone name,Group abundance,Beella digitata,Dentoglobigerina altispira,Globigerina bulloides,Globigerina falconensis,Globigerina glutinata,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globoquadrina venezuelana,Globorotalia conoidea,Globorotalia conomiozea,Globorotalia crassaformis,Globorotalia crassula,Globorotalia flexuosa,Globorotalia hirsuta (dex),Globorotalia inflata,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia multicamerata,Globorotalia plesiotumida,Globorotalia pliozea,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia sphericomiozea,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,"Globoturborotalita apertura (Cushman, 1918)",Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,"Globoturborotalita woodi (Jenkins, 1960)",Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Orbulina universa,Pulleniatina obliquiloculata,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Tenuitella anfracta,preservation,File Data,Ship File Links,Shore File Links,Sample
361,U1475,B,1,1-2,H,2,W,70/72-FORAM,0,2,2.2,2.22,,,,A [A103],P,,A,,R,,R,R,,,,,,R,,,,,,,,R,D,,,,,,,,,,R,,,F,,,,,,,,,R,,R,R,,,,,,,,,,,,361-U1475B-1H-2-W
361,U1475,B,1,1-4,H,4,W,70/72-FORAM,0,2,5.2,5.22,,,,A [A103],,,A,F,R,,R,R,,,,,,R,R,,,,,,,,D,,,R,,,,,,,R,,,F,,,,,,,,,F,,F,F,R,,,,,,,,,,,361-U1475B-1H-4-W
361,U1475,B,1,1-CC,H,CC,PAL,FORAM,0,5,6.37,6.42,,,,A [A103],,,D,P,,,P,R,,,,,,R,P,,,,,,,P,D,,,,,,,,,,,,,F,,,,,,,,,R,,A,F,,R,,,,,,,,,,361-U1475B-1H-CC-PAL
361,U1475,B,2,2-2,H,2,W,70/72-FORAM,0,2,8.6,8.62,,,,A [A103],,,F,R,R,,R,R,,,,,,R,R,,,,R,F,,,D,,,R,,,,,,,R,,,F,R,,,,,,,,F,,F,,R,,,,,,,,,,,361-U1475B-2H-2-W
361,U1475,B,2,2-4,H,4,W,70/72-FORAM,0,2,11.6,11.62,,,,A [A103],,,F,R,R,,R,R,,,,,,R,,,,,F,F,,,D,,,R,,,,,,,R,,,,,,,,,R,,,F,,F,R,R,,,,,,,,,,,361-U1475B-2H-4-W
361,U1475,B,2,2-6,H,6,W,70/72-FORAM,0,2,14.6,14.62,,,,A [A103],,,D,,R,,F,R,,,,,,,,,,,F,,,,A,,,R,,,,,,,R,,,F,R,,,,,R,,,F,,F,F,R,R,,,,,,,,,,361-U1475B-2H-6-W
361,U1475,B,2,2-CC,H,CC,PAL,FORAM,0,5,16.02,16.07,,,,A [A103],,,A,,R,R,R,R,,,,,,R,R,,,,F,F,,P,D,,,R,,,,,,R,R,,,F,R,,,,,,,,F,,F,R,R,R,,,,,,,,,,361-U1475B-2H-CC-PAL
361,U1475,B,3,3-2,H,2,W,80/82-FORAM,0,2,18.2,18.22,,,,A [A103],,,A,R,R,,R,R,,,,,,,R,,,,F,R,,,F,,,R,,,,,,,R,,R,R,R,,,,,,,,F,,F,F,P,,,,,,,,,,,361-U1475B-3H-2-W
361,U1475,B,3,3-4,H,4,W,70/72-FORAM,0,2,21.1,21.12,,,,A [A103],,,F,F,R,,R,,,,,,,,R,,,,R,R,,,F,,,,,,,,,,R,,R,R,,,,,,,,,F,,F,D,,,,R,,,,,,,,361-U1475B-3H-4-W
361,U1475,B,3,3-6,H,6,W,70/72-FORAM,0,2,24.1,24.12,,,,A [A103],P,,F,R,R,,R,,,,,,,R,,,,,F,F,,,F,,,R,,,,,,F,R,,R,R,,,,,,,,,F,,F,A,R,,,,,,,,,,,361-U1475B-3H-6-W
