Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],Terrestrial organic matter,Pyrite,"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina acarinata,Acarinina bullbrooki,Acarinina coalingensis,Acarinina collactea,Acarinina cuneicamerata,Acarinina mcgowrani,Acarinina mckannai,Acarinina pentacamerata,Acarinina primitiva,Acarinina sibaiyaensis,Acarinina soldadoensis,Acarinina strabocella,Acarinina subsphaerica,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Cribrohantkenina inflata,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Dentoglobigerina tripartita,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globanomalina australiformis,Globanomalina compressa,Globanomalina imitata,Globanomalina pseudomenardii,Globigeriantella insueta,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina woodi,Globigerinatella sp.,Globigerinatheka index,Globigerinatheka kugleri,Globigerinatheka semiinvoluta,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiapertura,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sacculifer (without sack),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia exilis,Globorotalia flexuosa,Globorotalia incognita,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia zealandica,Globorotaloides hexagona,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Guembelitrioides nuttali,Hantkenina alabamensis,Hantkenina singanoae,Igorina albeari,Igorina broedermanni,Igorina pusilla,Morozovella acuta,Morozovella aequa,Morozovella angulata,Morozovella aragonensis,Morozovella conicotruncata,Morozovella formosa,Morozovella gracilis,Morozovella lensiformis,Morozovella marginodentata,Morozovella praeangulata,Morozovella subbotinae,Morozovella velascoensis,Morozovelloides crassatus,Morozovelloides lehneri,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina nympha,Orbulina suturalis,Orbulina universa,Orbulinoides beckmanni,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia opima,Paragloborotalia pseudokugleri,Parasubbotina pseudobulloides,Parasubbotina varianta,Parasubbotina variospira,Parvularugoglobigerina eugubina,Parvularugoglobigerina extensa,Planorotalites palmerae,Planorotalites spp.,Praemurica inconstans,Praemurica uncinata,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina sicana,Pseudohastigerina micra,Pseudohastigerina naguewichiensis,Pseudohastigerina wilcoxensis,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina angiporoides,Subbotina linaperta,Subbotina triloculinoides,Subbotina velascoensis,Tenuitella gemma,Tenuitella munda,Tenuitellinata juvenilis,Turborotalia altispiroides,Turborotalia cerroazulensis cerroazulensis,Turborotalia cunialensis,Turborotalia frontosa,Turborotalia pomeroli,Turborotalia possagnoensis,Turborotalita humilis,Ship File Links,Shore File Links,File Data
354-U1450B-2R-CC-PAL-FORAM,0,8,611.08,611.16,,,,,,,,,,VR [101],G [P38],N [F02],47,0,present [A79],present [A79],1,,"G. bispherica, 1 present, reworked",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A102],,,,,,,,,,,R [A102],,,,,,,,,,,,,,,,,,,,,,,,,,R [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A102],,,,R [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A102],,,,,,,,,,,,,,,,,,,,,
354-U1450B-3R-CC-PAL-FORAM,0,6,618.03,618.09,,,,,,,,,,C [A101],M [P38],M [F02],79,2,absent [A79],present [A79],,,,,,,,,,,,,,,,,R [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A102],,R [A102],,,,,,,,,,,R [A102],,,,,,,,,,,,,,,,,,,F [A102],,,,,,,R [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A102],,,,,,,,,,,,,,,,,,
354-U1450B-4R-CC-PAL-FORAM,0,5,627.62,627.67,,,,,,,,,,A [A101],G [P38],S [F02],90,3,absent [A79],absent [A79],,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A102],,,,,,,,,,,,,,,,R [A102],,,,,,,,,,,,,,R [A102],,C [A102],,R [A102],R [A102],R [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A102],,F [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A102],,,,,* [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,A [A102],,,,,,,,,,,,,,,,,,
354-U1450B-5R-CC-PAL-FORAM,0,10,637.2,637.3,,,,,,,,,,A [A101],G [P38],S [F02],90,3,absent [A79],absent [A79],,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A102],,,,,,,,,,,,,,,,C [A102],,,,,,,,,,,,,,R [A102],,A [A102],,,,R [A102],,,,,,,,,,,,,,,,,R [A102],,,,,,,,,,,,A [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A102],,,F [A102],,,,,* [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,A [A102],,,,,,,,,,,,,,,,,,
354-U1450B-6R-CC-PAL-FORAM(>150),0,1,646.9,646.91,,,,,,,,,,C [A101],P [P38],VS [F02],90,4,absent [A79],absent [A79],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,* [A102],,,,,,,,,,,,,R [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A102],,,,,,,,,,,,,,,R [A102],,,,,,,,,,,,,,,,,,,,,,,,,R [A102],,,,R [A102],,,,,,,,,,,,,,,,,,,,,,,,R [A102],,,R [A102],,,,,,,,,,,,,,,,,,
354-U1450B-7R-CC-PAL-FORAM,0,5,660.4,660.45,,,,,,,,,,A [A101],G [P38],S [F02],95,3,absent [A79],absent [A79],,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A102],,,,,,,,,,,,,,,,R [A102],,,,,,,,,,,,,,,,R [A102],,,R [A102],R [A102],,,,,,,,,,,,,,,,,,,,,,R [A102],,,,,,,,,R [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A102],,,,,,,,,,,,,,,,,,
354-U1450B-8R-CC-PAL-FORAM,0,10,666.3,666.4,,,,,M14 [G12],"M14 - Globigerinoides extremus Partial-range Zone (Gradstein et al., 2012)",,5.72,6.14,R [A101],M [P38],L [F02],10,1,absent [A79],absent [A79],,,"Many benthics, few planktics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A102],,,,,,,,,R [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A102],,,,,,,,,,,,,,,,,,
354-U1450B-9R-CC-PAL,0,10,677.94,678.04,,,,,,,,,,VR [101],M [P38],M [F02],1,2,absent [A79],absent [A79],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354-U1450B-10R-CC-PAL,0,5,686.27,686.32,,,,,,,,,,R [A101],P [P38],M [F02],90,2,absent [A79],absent [A79],,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A102],,,,,,,,,,,,,,,,C [A102],,,,,,,,,,,,,,R [A102],,R [A102],,R [A102],R [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A102],,,,,,,,,,,,,,,,,,
354-U1450B-11R-2-W 20/25-FORAM,0,5,697.09,697.14,,,,,,,,,,A [A101],M [P38],S [F02],95,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A102],,C [A102],,,,,,,,,,,,,,,,F [A102],,,,,,,,,,,,,,R [A102],,A [A102],,,R [A102],,,,F [A102],,R [A102],,,,,,,,,,,,,,,,,F [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A102],,,,,,,,,,,,,,,,,,
