Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus macintyrei,Catinaster coalitus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Florisphaera profunda,Helicosphaera carteri,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera spp.,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera sibogae,Comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name
349-U1434A-2R-CC-PAL-NANNO,0,8,197.47,197.55,NN11,G,A,,,,,F,,,,,,C,,C,F,,,,,,,,,,,,,F,,F,,,,F,,,,F,,F,F,C,,,F,,,,,,F,,,,,349,U1434,A,2,R,CC,PAL,,
349-U1434A-3R-CC-PAL-NANNO,0,8,209.19,209.27,NN11,M,C,F,R,,,C,,,,,R,F,,C,,,,,,,,,,,,,,F,,F,,,F,C,R,,,,,,,C,,,,,,,F,,F,,samples are from lamination above the scoriaceous layers and claystone in contact with volcanic breccia; full of calcareous dinoflagellate spines (Scrippsiella?); overgrown discoasters,,,349,U1434,A,3,R,CC,PAL,,
349-U1434A-4R-CC-PAL-NANNO,0,5,216.23,216.28,NN11,M,C,,,,,F,,,,,,C,,F,,,,,,,,,,,,,,C,,C,,,,C,,,,,,R,C,C,,,A,,,,,,,,,,,349,U1434,A,4,R,CC,PAL,,
349-U1434A-5R-1-PAL-NANNO,0,4,225.56,225.6,NN11,M,A,F,R,,F,C,R,,R,,,C,,C,F,,R,,,,,F,,,F,,,C,,C,,,F,C,,,,,,R,C,A,,,A,R,R,R,F,,F,,"Medium to poor preservation, abundant nannofossil fragments",,,349,U1434,A,5,R,1,PAL,,
349-U1434A-6R-CC-PAL-NANNO,0,10,239.62,239.72,NN10,M,C,R,R,,,,,,R,,R,,,F,,,R,R,,,R,R,,R,F,F,F,,C,,,,F,R,,,R,,,F,F,F,,,F,,,,,,,,"Medium to poor preservation, common nannofossil fragments",,,349,U1434,A,6,R,CC,PAL,,
349-U1434A-7R-CC-PAL-NANNO,0,15,247.08,247.23,NN9,P,C,,,R,,,,,R,,F,,F,R,F,,F,F,,F,,,R,F,,,F,,C,R,,,F,R,,,F,,,,R,R,,,F,,,,R,,,,"Poor to medium preservation, common nannofossil fragments",,,349,U1434,A,7,R,CC,PAL,,
349-U1434A-8R-CC-PAL-NANNO,0,10,258.56,258.66,NN9,P,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only a few of nannofossil fragments,,,349,U1434,A,8,R,CC,PAL,,
349-U1434A-9R-CC-PAL-NANNO,0,10,266.61,266.71,NN9,M,C,R,C,,C,,R,,,,R,,,,,,R,R,,R,R,,R,,,,,,C,,,,F,F,,,,,,C,C,C,,,C,,,F,F,,,,"Brownish nannofossil ooze, few Discoaster cf. loeblichii ",,,349,U1434,A,9,R,CC,PAL,,
349-U1434A-10R-CC-PAL-NANNO,0,10,278.14,278.24,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Common calcite crystals,,,349,U1434,A,10,R,CC,PAL,,
349-U1434A-10R-CC-W 14/16-NANNO4    ,0,2,278.28,278.3,NN6,M,R,,,,R,,,R,,,,,,,,,R,,,,R,,,,,R,,,R,,,,R,,,,,,,,R,,,,,R,R,R,,,,,"Medium to poor preservation, common nannofossil fragments",,,349,U1434,A,10,R,CC,W,,
