Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Principal Name,MAJ Lith. abundance [%],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Name,MIN Lith. abundance [%],MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Lith. comment,Clast percentage [%],Clast 1 igneous - pumiceous [%],Clast 1 igneous - pumiceous grain size,Clast 2 igneous - scoriaceous [%],Clast 2 igneous - scoriaceous grain size,Clast 3 igneous - massive [%],Clast 3 igneous - massive grain size,Clast 4 igneous - vesicular [%],Clast 4 igneous - vesicular grain size,Clast 5 volcaniclastic [%],Clast 5 volcaniclastic grain size,Clast 6 sediment [%],Clast 6 sediment grain size,Clast 7 -other lithology [%],Clast 7 -other lithology grain size,Clast lith. abund. sum [%],Clast lithology comment,Clast roundness,Matrix 1 igneous - pumiceous [%],Matrix 2 igneous - scoriaceous [%],Matrix 3 igneous - massive [%],Matrix 4 igneous - vesicular [%],Matrix 5 volcaniclastic [%],Matrix 6 sediment [%],Matrix 7 -other lithology [%],Matrix biogenic carbonate [%],Matrix detritical carbonate [%],Matrix carbonate [%],Matrix abund. sum [%],Matrix sorting,Matrix alteration intensity,Matrix alteration rank,Matrix comment,Deformational structures,Deformational structure strike [deg],Deformational structure dip [deg],Deformational structure comment,Deformational structure strike [deg].1,Deformational structure dip [deg].1,Groundmass comments,File Data
340-U1397A-1H-1-A,340,U1397,A,1,1-1,H,1,A,0.0,13.0,0.0,0.13,severe [drilling disturbance],7.0,volcaniclastic-mud [BGS-S81],100.0,fine mud [T07],3.0,,,,,100.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,30.0,55.0,0.0,15.0,0.0,0.0,,poor [BP01],high [alteration],8.0,,,,,,,,,
340-U1397A-1H-CC-A,340,U1397,A,1,1-CC,H,CC,A,0.0,9.0,0.13,0.22,high [drilling disturbance],6.0,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2.0,,,,,100.0,calcareous ooze with trace amount of crystals,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,93.0,,well [BP01],absent [alteration],0.0,,,,,,,,,
340-U1397A-1H-CC-A,340,U1397,A,1,1-CC,H,CC,A,9.0,13.0,0.22,0.26,high [drilling disturbance],6.0,calcareous sand [Leg210],100.0,medium sand [T07],6.0,,,,,100.0,"calcareous sand with abundant crystals (pl,px) and minor amount of lithics.",0.0,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,0.0,25.0,0.0,0.0,10.0,0.0,60.0,,poor [BP01],absent [alteration],0.0,,,,,,,,,
340-U1397A-1H-CC-A,340,U1397,A,1,1-CC,H,CC,A,13.0,19.0,0.26,0.32,high [drilling disturbance],6.0,carbonate ooze [Leg178],100.0,fine mud [T07],3.0,,,,,100.0,calcareous ooze with trace amount of crystals,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,15.0,0.0,0.0,5.0,0.0,77.0,,well [BP01],absent [alteration],0.0,,,,,,,,,
340-U1397A-1H-CC-A,340,U1397,A,1,1-CC,H,CC,A,19.0,24.0,0.32,0.37,,,,,,,,,,,,PAL,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
340-U1397A-2H-1-A,340,U1397,A,2,2-1,H,1,A,0.0,11.0,0.3,0.41,moderate [drilling disturbance],4.0,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2.0,,,,,100.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,,well [BP01],absent [alteration],0.0,,,,,,,,,
340-U1397A-2H-1-A,340,U1397,A,2,2-1,H,1,A,11.0,12.0,0.41,0.42,slight [drilling disturbance],2.0,ash [F&S84],100.0,fine sand [T07],4.0,,,,,100.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,70.0,,moderate [BP01],absent [alteration],0.0,,,,,,,,,
340-U1397A-2H-1-A,340,U1397,A,2,2-1,H,1,A,12.0,20.0,0.42,0.5,slight [drilling disturbance],2.0,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2.0,,,,,100.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,,well [BP01],absent [alteration],0.0,,,,,,,,,
340-U1397A-2H-1-A,340,U1397,A,2,2-1,H,1,A,20.0,21.0,0.5,0.51,slight [drilling disturbance],2.0,ash [F&S84],100.0,fine sand [T07],4.0,,,,,100.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,70.0,,moderate [BP01],absent [alteration],0.0,,,,,,,,,
340-U1397A-2H-1-A,340,U1397,A,2,2-1,H,1,A,21.0,69.0,0.51,0.99,moderate [drilling disturbance],4.0,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2.0,,,,,100.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,78.0,,well [BP01],absent [alteration],0.0,,,,,,,,,
