Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
353-U1447B-1H-1-A,0.0,150.0,0.0,1.5,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,B,1,H,1,A
353-U1447B-1H-2-A,0.0,150.0,1.5,3.0,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Foram-rich sandy bleb at 80-81 cm. Wood fragment at 106-107 cm.,,,,353,U1447,B,1,H,2,A
353-U1447B-1H-3-A,0.0,134.0,3.0,4.34,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Foram-rich sandy bleb at 79-81 cm. Wood fragment at 44-45 cm and 89-91 cm.,,,,353,U1447,B,1,H,3,A
353-U1447B-1H-3-A,134.0,150.0,4.34,4.5,,bioclastic,sand,,bioclastic sand,bioclastic sand,sand,,light gray,5Y 6/3 (pale olive),,,,thick bed,normally graded,,,,mottling,Turbidite,,,"With coarse sand, many shell fragments and foraminifers.",,,,353,U1447,B,1,H,3,A
353-U1447B-1H-4-A,0.0,70.0,4.5,5.2,,bioclastic,sand,,bioclastic sand,bioclastic sand,sand,,light gray,5Y 6/3 (pale olive),erosive,sharp,horizontal,thick bed,normally graded,,,,mottling,Turbidite,,,"With coarse sand, many shell fragments and foraminifers.",,,,353,U1447,B,1,H,4,A
353-U1447B-1H-4-A,0.0,76.0,4.5,5.26,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,B,1,H,4,A
353-U1447B-1H-CC-A,0.0,21.0,5.26,5.47,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,B,1,H,CC,A
353-U1447B-2H-1-A,0.0,150.0,5.4,6.9,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,B,2,H,1,A
353-U1447B-2H-2-A,0.0,150.0,6.9,8.4,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,B,2,H,2,A
353-U1447B-2H-3-A,0.0,150.0,8.4,9.9,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,B,2,H,3,A
