Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. Abundance (%),MAJ lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data
342-U1409C-1H-1-A,342,U1409,C,1,1-1,H,1,A,0.0,26.0,0.0,0.26,,clay [Leg339],,clay ,10YR 5/3 (brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1409C-1H-1-A,342,U1409,C,1,1-1,H,1,A,26.0,150.0,0.26,1.5,silty [Leg339],clay [Leg339],with diatoms [Leg339],silty  clay  with diatoms ,2.5Y 4/1 (dark gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with diatoms ,,,,,,
342-U1409C-1H-1-A,342,U1409,C,1,1-1,H,1,A,142.0,142.5,1.42,1.425,,,,,,,,,,,,likely a dropstone,,,,,,,,,,,,,,,,,,,,,,,,pebble [W22_2],,,,,,,,,,,
342-U1409C-1H-2-A,342,U1409,C,1,1-2,H,2,A,0.0,25.0,1.5,1.75,silty [Leg339],clay [Leg339],,silty  clay ,2.5Y 4/1 (dark gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1409C-1H-2-A,342,U1409,C,1,1-2,H,2,A,25.0,47.0,1.75,1.97,silty [Leg339],clay [Leg339],,silty  clay ,2.5Y 4/1 (dark gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1409C-1H-2-A,342,U1409,C,1,1-2,H,2,A,47.0,70.0,1.97,2.2,silty [Leg339],clay [Leg339],,silty  clay ,2.5Y 4/1 (dark gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1409C-1H-2-A,342,U1409,C,1,1-2,H,2,A,70.0,98.0,2.2,2.48,foraminiferal [Leg339],sand [Leg339],with nannofossils [Leg339],foraminiferal  sand  with nannofossils ,2.5Y 5/1 (gray),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   sand ,sand   with nannofossils ,,,,,,
342-U1409C-1H-2-A,342,U1409,C,1,1-2,H,2,A,98.0,150.0,2.48,3.0,,clay [Leg339],,clay ,5YR 5/2 (reddish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1409C-1H-3-A,342,U1409,C,1,1-3,H,3,A,0.0,23.0,3.0,3.23,silty [Leg339],clay [Leg339],,silty  clay ,5YR 5/2 (reddish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1409C-1H-3-A,342,U1409,C,1,1-3,H,3,A,23.0,67.0,3.23,3.67,silty [Leg339],clay [Leg339],,silty  clay ,2.5Y 6/2 (light brownish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1409C-1H-3-A,342,U1409,C,1,1-3,H,3,A,67.0,99.0,3.67,3.99,foraminiferal [Leg339],sand [Leg339],with nannofossils [Leg339],foraminiferal  sand  with nannofossils ,2.5Y 6/1 (gray),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   sand ,sand   with nannofossils ,,,,,,
342-U1409C-1H-3-A,342,U1409,C,1,1-3,H,3,A,99.0,150.0,3.99,4.5,silty [Leg339],clay [Leg339],,silty  clay ,2.5Y 5/1 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1409C-1H-3-A,342,U1409,C,1,1-3,H,3,A,125.0,125.5,4.25,4.255,,,,,,,,,,,,likely a dropstone,,,,,,,,,,,,,,,,,,,,,,,,pebble [W22_2],,,,,,,,,,,
342-U1409C-1H-4-A,342,U1409,C,1,1-4,H,4,A,0.0,48.0,4.5,4.98,silty [Leg339],clay [Leg339],,silty  clay ,2.5Y 5/1 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1409C-1H-4-A,342,U1409,C,1,1-4,H,4,A,27.0,31.0,4.77,4.81,,,,,,,,,,,,likely a dropstone,,,,,,,,,,,,,,,,,,,,,,,,pebble [W22_2],,,,,,,,,,,
342-U1409C-1H-4-A,342,U1409,C,1,1-4,H,4,A,48.0,79.0,4.98,5.29,foraminiferal [Leg339],sand [Leg339],with nannofossils [Leg339],foraminiferal  sand  with nannofossils ,2.5Y 5/1 (gray),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   sand ,sand   with nannofossils ,,,,,,
342-U1409C-1H-4-A,342,U1409,C,1,1-4,H,4,A,79.0,111.0,5.29,5.61,,clay [Leg339],,clay ,5YR 5/2 (reddish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
