Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Principal Name,MAJ Lith. abundance [%],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Name,MIN Lith. abundance [%],MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Lith. comment,Clast percentage [%],Clast 1 igneous - pumiceous [%],Clast 1 igneous - pumiceous grain size,Clast 2 igneous - scoriaceous [%],Clast 2 igneous - scoriaceous grain size,Clast 3 igneous - massive [%],Clast 3 igneous - massive grain size,Clast 4 igneous - vesicular [%],Clast 4 igneous - vesicular grain size,Clast 5 volcaniclastic [%],Clast 5 volcaniclastic grain size,Clast 6 sediment [%],Clast 6 sediment grain size,Clast 7 -other lithology [%],Clast 7 -other lithology grain size,Clast lith. abund. sum [%],Clast lithology comment,Clast roundness,Matrix 1 igneous - pumiceous [%],Matrix 2 igneous - scoriaceous [%],Matrix 3 igneous - massive [%],Matrix 4 igneous - vesicular [%],Matrix 5 volcaniclastic [%],Matrix 6 sediment [%],Matrix 7 -other lithology [%],Matrix biogenic carbonate [%],Matrix detritical carbonate [%],Matrix carbonate [%],Matrix abund. sum [%],Matrix sorting,Matrix alteration intensity,Matrix alteration rank,Matrix comment,Deformational structures,Deformational structure strike [deg],Deformational structure dip [deg],Deformational structure comment,Groundmass modal percentage [%],Groundmass modal grain size [mm],Groundmass comments,File Data
340-U1399A-1H-1-A,340,U1399,A,1,1-1,H,1,A,0.0,27.5,0.0,0.275,minimal [drilling disturbance],1.0,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2.0,,,,,100.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,poor [BP01],moderate [alteration],4.0,,,,,,,,,
340-U1399A-1H-1-A,340,U1399,A,1,1-1,H,1,A,27.5,44.5,0.275,0.445,minimal [drilling disturbance],1.0,volcaniclastic-sand [BGS-S81],100.0,fine sand [T07],4.0,,,,,100.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,30.0,0.0,2.0,0.0,58.0,0.0,0.0,5.0,5.0,0.0,,well [BP01],absent [alteration],0.0,,,,,,,,,
340-U1399A-1H-1-A,340,U1399,A,1,1-1,H,1,A,44.5,85.0,0.445,0.85,minimal [drilling disturbance],1.0,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2.0,,,,,100.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,98.0,,poor [BP01],moderate [alteration],4.0,,,,,,,,,
340-U1399A-1H-1-A,340,U1399,A,1,1-1,H,1,A,85.0,95.0,0.85,0.95,minimal [drilling disturbance],1.0,volcaniclastic-sand [BGS-S81],100.0,medium sand [T07],6.0,,,,,100.0,,3.0,100.0,pebble [W22_2],0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,rounded,35.0,0.0,2.0,0.0,53.0,0.0,0.0,5.0,5.0,0.0,,well [BP01],absent [alteration],0.0,,,,,,,,,
340-U1399A-1H-1-A,340,U1399,A,1,1-1,H,1,A,95.0,103.0,0.95,1.03,minimal [drilling disturbance],1.0,volcaniclastic-sand [BGS-S81],100.0,medium sand [T07],6.0,,,,,100.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,38.0,0.0,5.0,0.0,55.0,0.0,0.0,0.0,2.0,0.0,,well [BP01],absent [alteration],0.0,,,,,,,,,
340-U1399A-1H-1-A,340,U1399,A,1,1-1,H,1,A,103.0,150.0,1.03,1.5,minimal [drilling disturbance],1.0,volcaniclastic-sand [BGS-S81],100.0,coarse sand [T07],7.0,,,,,100.0,,50.0,100.0,pebble [W22_2],0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,rounded,38.0,0.0,5.0,0.0,55.0,0.0,0.0,0.0,2.0,0.0,,well [BP01],absent [alteration],0.0,,,,,,,,,
340-U1399A-1H-2-A,340,U1399,A,1,1-2,H,2,A,0.0,57.0,1.5,2.07,minimal [drilling disturbance],1.0,volcaniclastic-sand [BGS-S81],100.0,coarse sand [T07],7.0,,,,,100.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,38.0,0.0,5.0,0.0,55.0,0.0,0.0,0.0,2.0,0.0,,well [BP01],absent [alteration],0.0,,,,,,,,,
340-U1399A-1H-2-A,340,U1399,A,1,1-2,H,2,A,57.0,86.0,2.07,2.36,high [drilling disturbance],6.0,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2.0,,,,,100.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,98.0,,poor [BP01],moderate [alteration],4.0,,,,,,,,,
340-U1399A-1H-2-A,340,U1399,A,1,1-2,H,2,A,86.0,87.5,2.36,2.375,slight [drilling disturbance],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1399A-1H-2-A,340,U1399,A,1,1-2,H,2,A,86.0,87.5,2.36,2.375,,2.0,volcaniclastic-sand [BGS-S81],100.0,fine sand [T07],4.0,,,,,100.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,30.0,0.0,2.0,0.0,63.0,0.0,0.0,0.0,0.0,5.0,,well [BP01],absent [alteration],0.0,,,,,,,,,
340-U1399A-1H-2-A,340,U1399,A,1,1-2,H,2,A,87.5,90.5,2.375,2.405,slight [drilling disturbance],2.0,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2.0,,,,,100.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,98.0,,poor [BP01],moderate [alteration],4.0,,,,,,,,,
