Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Diagenetic constituent,Diagenetic constituent composition,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,File Data,Ship File Links,Shore File Links,Sample,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
361,U1477,B,1,1-1,H,1,A,0,6.5,0,0.065,1,silty,clay [2014],,silty clay,silty clay,clay,dark gray,5Y 3/1 (very dark gray),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,361-U1477B-1H-1-A,,,,
361,U1477,B,1,1-1,H,1,A,6.5,150,0.065,1.5,1,sandy,clay [2014],,sandy clay,sandy clay,clay,dark gray,5Y 3/1 (very dark gray),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,,shell fragment,abundant [A79],,,,,361-U1477B-1H-1-A,,,,
361,U1477,B,1,1-2,H,2,A,0,150,1.5,3,1,sandy,clay [2014],,sandy clay,sandy clay,clay,dark gray,5Y 3/1 (very dark gray),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,,shell fragment,abundant [A79],,,,,361-U1477B-1H-2-A,,,,
361,U1477,B,1,1-3,H,3,A,0,87,3,3.87,1,sandy,clay [2014],,sandy clay,sandy clay,clay,dark gray,5Y 3/1 (very dark gray),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,,shell fragment,abundant [A79],,,,,361-U1477B-1H-3-A,,,,
361,U1477,B,1,1-CC,H,CC,A,0,26,3.87,4.13,1,silty,clay [2014],,silty clay,silty clay,clay,dark gray,7.5YR 4/1 (dark gray),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,,shell fragment,present [A79],,,,,361-U1477B-1H-CC-A,,,,
361,U1477,B,2,2-1,H,1,A,0,150,4.1,5.6,2a,silty,clay [2014],,silty clay,silty clay,clay,dark gray,10YR 3/1 (very dark gray),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,,shell fragment,present [A79],,,,,361-U1477B-2H-1-A,,,,
361,U1477,B,2,2-2,H,2,A,0,150,5.6,7.1,2a,silty,clay [2014],,silty clay,silty clay,clay,dark gray,10YR 3/1 (very dark gray),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,,shell fragment,present [A79],,,,,361-U1477B-2H-2-A,,,,
361,U1477,B,2,2-3,H,3,A,0,150,7.1,8.6,2a,silty,clay [2014],,silty clay,silty clay,clay,dark gray,10YR 3/1 (very dark gray),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,,shell fragment,present [A79],,,,,361-U1477B-2H-3-A,,,,
361,U1477,B,2,2-4,H,4,A,0,150,8.6,10.1,2a,silty,clay [2014],,silty clay,silty clay,clay,dark gray,10YR 3/1 (very dark gray),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,,shell fragment,present [A79],,,,,361-U1477B-2H-4-A,,,,
361,U1477,B,2,2-5,H,5,A,0,150,10.1,11.6,2a,silty,clay [2014],,silty clay,silty clay,clay,dark gray,10YR 3/1 (very dark gray),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,,shell fragment,present [A79],,,,,361-U1477B-2H-5-A,,,,
