Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Layer or bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
371-U1506A-1R-1-A,0.0,56.0,0.0,0.56,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal nannofossil ooze,,,10YR 7/3 (very pale brown),,,,,,,,,,,,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1506,A,1,R,1,A
371-U1506A-1R-1-A,56.0,141.0,0.56,1.41,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal nannofossil ooze,,,10YR 8/2 (very pale brown),,,,,,,,,,,,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1506,A,1,R,1,A
371-U1506A-1R-2-A,0.0,34.0,1.41,1.75,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal nannofossil ooze,,,10YR 8/2 (very pale brown),,,,,,,,,,,,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1506,A,1,R,2,A
371-U1506A-1R-2-A,34.0,71.0,1.75,2.12,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal nannofossil ooze,,,10YR 7/3 (very pale brown),,,,,,,,,,,,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1506,A,1,R,2,A
371-U1506A-1R-CC-A,0.0,8.0,2.12,2.2,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal nannofossil ooze,,,10YR 7/3 (very pale brown),,,,,,,,,,,,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1506,A,1,R,CC,A
371-U1506A-3R-1-A,0.0,60.0,13.6,14.2,,,,,,nannofossil ooze [Leg339],with foraminifers [2014],nannofossil ooze with foraminifers,,,5Y 8/1 (yellowish gray),,,,,,,,,,sparse [B06],1.0,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1506,A,3,R,1,A
371-U1506A-3R-1-A,60.0,69.0,14.2,14.29,,,,,,nannofossil ooze [Leg339],with foraminifers [2014],nannofossil ooze with foraminifers,,,N9 (white),,,,,,,,,,absent,0.0,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1506,A,3,R,1,A
371-U1506A-3R-1-A,69.0,107.0,14.29,14.67,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal nannofossil ooze,,,5Y 8/1 (yellowish gray),,,,,,,,,,sparse [B06],1.0,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1506,A,3,R,1,A
371-U1506A-4R-1-A,0.0,150.0,23.2,24.7,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal nannofossil ooze,,,GLEY 1 7/N (light gray),,,,,,,,,,,,color alternate with N 8.5 (White). Contains rare centimeter-scale concentrations of black manganese (?) oxides.,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1506,A,4,R,1,A
371-U1506A-4R-2-A,0.0,144.0,24.7,26.14,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal nannofossil ooze,,,GLEY 1 7/N (light gray),,,,,,,,,,,,color alternate with N 8.5 (White). Contains rare centimeter-scale concentrations of black manganese (?) oxides.,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1506,A,4,R,2,A
