Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Layer or bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
371-U1510A-1H-1-A,0.0,16.0,0.0,0.16,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,2.5Y 7/2 (light gray),,,,,,silt [W22_1],2,,,,,patchy brown coloration,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,1,H,1,A
371-U1510A-1H-1-A,16.0,74.0,0.16,0.74,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,2.5Y 8/1 (white),,,,,,silt [W22_1],2,,,,,patchy brown coloration,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,1,H,1,A
371-U1510A-1H-1-A,74.0,145.0,0.74,1.45,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,2.5Y 6/2 (light brownish gray),,,,,,silt [W22_1],2,,,,,patchy brown coloration,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,1,H,1,A
371-U1510A-1H-2-A,0.0,50.0,1.5,2.0,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,,,patchy brown coloration,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,1,H,2,A
371-U1510A-1H-2-A,50.0,150.0,2.0,3.0,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,2.5Y 8/1 (white),,,,,,silt [W22_1],2,,,,,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,1,H,2,A
371-U1510A-1H-3-A,0.0,107.0,3.0,4.07,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,2.5Y 8/1 (white),,,,,,silt [W22_1],2,,,,,patchy brown coloration,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,1,H,3,A
371-U1510A-1H-4-A,0.0,80.0,4.12,4.92,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,,,patchy brown coloration,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,1,H,4,A
371-U1510A-1H-CC-A,0.0,6.0,4.92,4.98,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,,,patchy brown coloration,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,1,H,CC,A
371-U1510A-2H-1-A,0.0,86.0,5.0,5.86,,,,,foraminiferal,nannofossil ooze,with volcanic ash [2014],foraminiferal nannofossil ooze with volcanic ash,,,2.5Y 7/1 (light gray),bed,,,,,silt [W22_1],2,,,slight [B06],2,Flow in,bioturbated boundary or contact,,diffuse,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze with volcanic ash,,,,371,U1510,A,2,H,1,A
371-U1510A-2H-1-A,86.0,145.0,5.86,6.45,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 8.5/1 (white),,,,,,silt [W22_1],2,,,slight [B06],2,grayish blebs,bioturbated boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,2,H,1,A
