Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Sediment structures,MAJ lith color (simple),MAJ Lith. color,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],MAJ lithology comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN lith color (simple),MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,MIN lithology comment,Lith. abundance sum [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure comment,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
355-U1456E-3R-1-A,0,33.0,970.0,970.33,,,claystone,,claystone,,,dark gray,GLEY 1 3/5GY (very dark greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,irregular,sharp,sub-horizontal,thickly bedded,normally graded,,,,,,,,,,,,355,U1456,E,3,R,1,A
355-U1456E-3R-1-A,33,145.0,970.33,971.45,,,calcilutite,,calcilutite,,lens or pod,light green,GLEY 1 7/10Y (light greenish grey),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,,,,very thickly bedded,normally graded,,,,,,,,,,,,355,U1456,E,3,R,1,A
355-U1456E-3R-2-A,0,6.0,971.45,971.51,,,calcilutite,,calcilutite,,lens or pod,light green,GLEY 1 7/10Y (light greenish grey),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,gradational,gradational,inclined,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,E,3,R,2,A
355-U1456E-3R-2-A,6,148.0,971.51,972.93,,,calcarenite,,calcarenite,,lens or pod,light green,GLEY 1 7/10Y (light greenish grey),,silt,2.0,very fine sand,3.0,,,,,,,,,,,,,,,,,,,,very thickly bedded,normally graded,,,,,,,,,,,,355,U1456,E,3,R,2,A
355-U1456E-3R-3-A,0,146.0,972.93,974.39,,,calcarenite,,calcarenite,,lens or pod,light green,GLEY 1 7/10Y (light greenish grey),,silt,2.0,very fine sand,3.0,,,,,,,,,,,,,,,,,,,,very thickly bedded,normally graded,,,,,,,,,,,,355,U1456,E,3,R,3,A
355-U1456E-3R-4-A,0,147.0,974.39,975.86,,,calcarenite,,calcarenite,,lens or pod,light green,GLEY 1 7/10Y (light greenish grey),,silt,2.0,very fine sand,3.0,,,,,,,,,,,,,,,,,,,,very thickly bedded,normally graded,,,,,,,,,,,,355,U1456,E,3,R,4,A
355-U1456E-3R-5-A,0,131.0,975.86,977.17,,,calcarenite,,calcarenite,,lens or pod,light green,GLEY 1 7/10Y (light greenish grey),,silt,2.0,very fine sand,3.0,,,,,,,,,,,,,,,,,,,,very thickly bedded,normally graded,,,,,,,,,,,,355,U1456,E,3,R,5,A
355-U1456E-3R-CC-A,0,24.0,977.17,977.41,,,calcarenite,,calcarenite,,lens or pod,light green,GLEY 1 7/10Y (light greenish grey),,silt,2.0,very fine sand,3.0,,,,,,,,,,,,,,,,,,,,medium bedded,normally graded,,,,,,,,,,,,355,U1456,E,3,R,CC,A
355-U1456E-4R-1-A,0,58.0,976.6,977.18,,,claystone,,claystone,,parallel lamination,dark gray,GLEY 1 3/5GY (very dark greenish gray),,clay,1.0,clay,1.0,,,,,,,,,,,,,,,,,irregular,sharp,sub-horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,E,4,R,1,A
355-U1456E-4R-1-A,58,150.0,977.18,978.1,,,calcarenite,,calcarenite,,lens or pod,light gray,GLEY 1 7/10Y (light greenish grey),,silt,2.0,very fine sand,3.0,,,,,,,,,,,,,,,,,,,,thickly bedded,,,,,,,,,,,,,355,U1456,E,4,R,1,A
355-U1456E-4R-2-A,0,94.0,978.1,979.04,,,calcarenite,,calcarenite,,lens or pod,light gray,GLEY 1 7/10Y (light greenish grey),,silt,2.0,fine sand,4.0,,,,,,,,,,,,,,,,,,,,thickly bedded,,,,,,,,,,,,,355,U1456,E,4,R,2,A
355-U1456E-4R-3-A,0,77.0,979.04,979.81,,,calcarenite,,calcarenite,,lens or pod,light gray,GLEY 1 7/10Y (light greenish grey),,very fine sand,3.0,fine sand,4.0,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,E,4,R,3,A
355-U1456E-4R-3-A,77,101.0,979.81,980.05,,,breccia,,breccia,,lens or pod,light gray,GLEY 1 7/10Y (light greenish grey),,granule,8.0,pebble,9.0,,,,,,,,,,,,,,,,,,,,thickly bedded,,,,,,,,,,,,,355,U1456,E,4,R,3,A
355-U1456E-4R-4-A,0,68.0,980.05,980.73,,nannofossil rich,claystone,,nannofossil rich claystone,,Zoophycos,grayish green,GLEY 1 4/5GY (dark greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,,,,thickly bedded,,,,,common,4.0,,,,,,,355,U1456,E,4,R,4,A
355-U1456E-4R-CC-A,0,14.7,980.73,980.877,,nannofossil rich,claystone,,nannofossil rich claystone,,Zoophycos,light green,GLEY 1 5/5GY (greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,,,,medium bedded,,,,,common,4.0,,,,,,,355,U1456,E,4,R,CC,A
