Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance intensity,Drilling disturbance intensity rank,MAJ Lith. Principal name,MAJ Lith. abundance [%],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,MIN Lith. Principal name,MIN Lith. abundance [%],MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Lith. comment,Clast percentage [%],Clast 1 igneous - pumiceous [%],Clast 1 igneous - pumiceous grain size,Clast 2 igneous - scoriaceous [%],Clast 2 igneous - scoriaceous grain size,Clast 3 igneous - massive [%],Clast 3 igneous - massive grain size,Clast 4 igneous - vesicular [%],Clast 4 igneous - vesicular grain size,Clast 5 volcaniclastic [%],Clast 5 volcaniclastic grain size,Clast 6 sediment [%],Clast 6 sediment grain size,Clast 7 -other lithology [%],Clast 7 -other lithology grain size,Clast lith. abund. sum [%],Clast lithology comment,Clast roundness,Matrix 1 igneous - pumiceous [%],Matrix 2 igneous - scoriaceous [%],Matrix 3 igneous - massive [%],Matrix 4 igneous - vesicular [%],Matrix 5 volcaniclastic [%],Matrix 6 sediment [%],Matrix 7 -other lithology [%],Matrix biogenic carbonate [%],Matrix detritical carbonate [%],Matrix carbonate [%],Matrix abund. sum [%],Matrix sorting,Matrix alteration intensity,Matrix alteration rank,Ship File Links,Shore File Links,Deformational structure strike [deg],Deformational structure dip [deg],Deformational structure comment,Groundmass modal percentage [%],Groundmass modal grain size [mm],Groundmass comments,File Data
340-U1401D-1H-1-A,340,U1401,D,1,1-1,H,1,A,0.0,10.0,0.0,0.1,slight [drilling disturbance],2.0,volcaniclastic-sand [BGS-S81],100.0,medium sand [T07],6.0,,,,,100.0,,2,100,pebble [W22_2],0,,0,,0,,0,,0,,0,,,,,34,10,5,0,50,0,0,1,0,0,,well [BP01],absent [alteration],0.0,,,,,,,,,
340-U1401D-1H-1-A,340,U1401,D,1,1-1,H,1,A,10.0,21.0,0.1,0.21,slight [drilling disturbance],2.0,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2.0,,,,,100.0,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,20,0,0,80,,poor [BP01],absent [alteration],0.0,,,,,,,,,
340-U1401D-1H-1-A,340,U1401,D,1,1-1,H,1,A,21.0,22.0,0.21,0.22,slight [drilling disturbance],2.0,volcaniclastic-sand [BGS-S81],100.0,medium sand [T07],6.0,,,,,100.0,,0,0,,0,,0,,0,,0,,0,,0,,,,,34,10,5,0,50,0,0,1,0,0,,well [BP01],absent [alteration],0.0,,,,,,,,,
340-U1401D-1H-1-A,340,U1401,D,1,1-1,H,1,A,22.0,24.0,0.22,0.24,slight [drilling disturbance],2.0,volcaniclastic-sand [BGS-S81],100.0,fine sand [T07],4.0,,,,,100.0,,0,0,,0,,0,,0,,0,,0,,0,,,,,34,10,5,0,50,0,0,1,0,0,,well [BP01],absent [alteration],0.0,,,,,,,,,
340-U1401D-1H-1-A,340,U1401,D,1,1-1,H,1,A,24.0,33.0,0.24,0.33,slight [drilling disturbance],2.0,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2.0,,,,,100.0,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,20,0,0,80,,poor [BP01],absent [alteration],0.0,,,,,,,,,
340-U1401D-1H-1-A,340,U1401,D,1,1-1,H,1,A,33.0,35.0,0.33,0.35,slight [drilling disturbance],2.0,volcaniclastic-sand [BGS-S81],100.0,medium sand [T07],6.0,,,,,100.0,,0,0,,0,,0,,0,,0,,0,,0,,,,,54,10,5,0,30,0,0,1,0,0,,well [BP01],absent [alteration],0.0,,,,,,,,,
340-U1401D-1H-1-A,340,U1401,D,1,1-1,H,1,A,35.0,41.0,0.35,0.41,slight [drilling disturbance],2.0,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2.0,,,,,100.0,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,20,0,0,80,,poor [BP01],absent [alteration],0.0,,,,,,,,,
340-U1401D-1H-1-A,340,U1401,D,1,1-1,H,1,A,41.0,42.0,0.41,0.42,slight [drilling disturbance],2.0,volcaniclastic-sand [BGS-S81],100.0,fine sand [T07],4.0,,,,,100.0,,0,0,,0,,0,,0,,0,,0,,0,,,,,44,5,10,0,40,0,0,1,0,0,,well [BP01],absent [alteration],0.0,,,,,,,,,
340-U1401D-1H-1-A,340,U1401,D,1,1-1,H,1,A,42.0,44.0,0.42,0.44,slight [drilling disturbance],2.0,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2.0,,,,,100.0,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,20,0,0,80,,poor [BP01],absent [alteration],0.0,,,,,,,,,
340-U1401D-1H-1-A,340,U1401,D,1,1-1,H,1,A,44.0,46.0,0.44,0.46,slight [drilling disturbance],2.0,volcaniclastic-sand [BGS-S81],100.0,fine sand [T07],4.0,,,,,100.0,,0,0,,0,,0,,0,,0,,0,,0,,,,,44,5,10,0,40,0,0,1,0,0,,well [BP01],absent [alteration],0.0,,,,,,,,,
340-U1401D-1H-1-A,340,U1401,D,1,1-1,H,1,A,46.0,52.0,0.46,0.52,slight [drilling disturbance],2.0,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2.0,,,,,100.0,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,20,0,0,80,,poor [BP01],absent [alteration],0.0,,,,,,,,,
