Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lithology prefix A,MAJ Principal lithology B,MAJ Lithology suffix C,MAJ Lithology ABC,MAJ Lithology abundance (%),MAJ Lithology color,Bottom contact definition,Clasts,Bioturbation intensity rank,Macrofossil abundance name,Diagenetic structure,Deformational structures,Bioturbation intensity,General interval comment,File Data
336-U1384A-1H-1-A,336,U1384,A,1,1-1,H,1,A,0,66.5,0,0.665,foraminifer bearing nannofossil rich,ooze [MMK88],,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/4 (brown),,,,,,,,Very homogenous,
336-U1384A-1H-2-A,336,U1384,A,1,1-2,H,2,A,0,19,1.37,1.56,foraminifer bearing nannofossil rich,ooze [MMK88],,foraminifer bearing nannofossil rich ooze ,,7.5YR 4/6 (strong brown),gradational,,,,,,,,
336-U1384A-1H-2-A,336,U1384,A,1,1-2,H,2,A,19,21,1.56,1.58,nannofossil bearing foraminifer rich,ooze [MMK88],,nannofossil bearing foraminifer rich ooze ,,7.5YR 4/6 (strong brown),gradational,,,,,,,,
336-U1384A-1H-2-A,336,U1384,A,1,1-2,H,2,A,21,23,1.58,1.6,foraminifer rich,ooze [MMK88],,foraminifer rich ooze ,,7.5YR 6/4 (light brown),sharp,,,,,,,"Erosional base, upward fining from 23 cm to 0 cm",
336-U1384A-1H-2-A,336,U1384,A,1,1-2,H,2,A,23,61,1.6,1.98,foraminifer bearing nannofossil rich,ooze [MMK88],,foraminifer bearing nannofossil rich ooze ,,7.5YR 4/6 (strong brown),diffuse,,,,,,,,
336-U1384A-1H-3-A,336,U1384,A,1,1-3,H,3,A,0,32,2.87,3.19,foraminifer bearing nannofossil rich,ooze [MMK88],,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),diffuse,,,,,,,,
336-U1384A-1H-3-A,336,U1384,A,1,1-3,H,3,A,32,56,3.19,3.43,foraminifer bearing nannofossil rich,ooze [MMK88],,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/4 (brown),diffuse,,,,,,,,
336-U1384A-1H-3-A,336,U1384,A,1,1-3,H,3,A,56,72,3.43,3.59,foraminifer bearing nannofossil rich,ooze [MMK88],,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),diffuse,,,,,,,,
336-U1384A-1H-3-A,336,U1384,A,1,1-3,H,3,A,72,96,3.59,3.83,foraminifer bearing nannofossil rich,ooze [MMK88],,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/4 (brown),diffuse,,,,,,,,
336-U1384A-1H-3-A,336,U1384,A,1,1-3,H,3,A,96,112,3.83,3.99,foraminifer bearing nannofossil rich,ooze [MMK88],,foraminifer bearing nannofossil rich ooze ,,7.5YR 4/4 (brown),diffuse,,,,,,,,
336-U1384A-1H-3-A,336,U1384,A,1,1-3,H,3,A,112,140.5,3.99,4.275,foraminifer bearing nannofossil rich,ooze [MMK88],,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,Different proportions of foraminifers in these different parts,
336-U1384A-1H-CC-A,336,U1384,A,1,1-CC,H,CC,A,0,22,4.37,4.59,foraminifer bearing nannofossil rich,ooze [MMK88],,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),diffuse,,,,,,,,
336-U1384A-1H-CC-A,336,U1384,A,1,1-CC,H,CC,A,22,27,4.59,4.64,foraminifer bearing nannofossil rich,ooze [MMK88],,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/6 (strong brown),,,,,,,,,
336-U1384A-2H-1-A,336,U1384,A,2,2-1,H,1,A,0,28.5,4.6,4.885,foraminifer bearing nannofossil rich,ooze [MMK88],,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/4 (brown),diffuse,,,,,,,Black points from 0 cm to 36 cm,
336-U1384A-2H-1-A,336,U1384,A,2,2-1,H,1,A,28.5,36,4.885,4.96,foraminifer bearing nannofossil rich,ooze [MMK88],,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/6 (strong brown),diffuse,,,,,,,,
336-U1384A-2H-1-A,336,U1384,A,2,2-1,H,1,A,36,57,4.96,5.17,foraminifer bearing nannofossil rich,ooze [MMK88],,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/6 (reddish yellow),diffuse,,,,,,,,
336-U1384A-2H-1-A,336,U1384,A,2,2-1,H,1,A,57,63.5,5.17,5.235,nannofossil rich,ooze [MMK88],,nannofossil rich ooze ,,7.5YR 5/6 (strong brown),,,,,,,,,
336-U1384A-2H-2-A,336,U1384,A,2,2-2,H,2,A,0,37.5,5.24,5.615,foraminifer bearing nannofossil rich,ooze [MMK88],,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),gradational,,,,,,,,
336-U1384A-2H-2-A,336,U1384,A,2,2-2,H,2,A,37.5,38.5,5.615,5.625,nannofossil bearing foraminifer rich,ooze [MMK88],,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),sharp,,,,,,,"Erosional base, upward fining from 38.5 cm",
336-U1384A-2H-2-A,336,U1384,A,2,2-2,H,2,A,38.5,59,5.625,5.83,foraminifer bearing nannofossil rich,ooze [MMK88],,foraminifer bearing nannofossil rich ooze ,,7.5YR 4/6 (strong brown),diffuse,,,,,,,,
336-U1384A-2H-2-A,336,U1384,A,2,2-2,H,2,A,59,87.5,5.83,6.115,foraminifer bearing nannofossil rich,ooze [MMK88],,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/6 (strong brown),gradational,,,,,,,,
336-U1384A-2H-2-A,336,U1384,A,2,2-2,H,2,A,87.5,88.5,6.115,6.125,nannofossil bearing foraminifer rich,ooze [MMK88],,nannofossil bearing foraminifer rich ooze ,,7.5YR 5/6 (strong brown),gradational,,,,,,,,
336-U1384A-2H-2-A,336,U1384,A,2,2-2,H,2,A,88.5,100,6.125,6.24,foraminifer rich,ooze [MMK88],,foraminifer rich ooze ,,7.5YR 6/4 (light brown),sharp,,,,,,,Upward fining from 100 cm to 87.5 cm,
336-U1384A-2H-3-A,336,U1384,A,2,2-3,H,3,A,0,18,6.74,6.92,nannofossil rich,ooze [MMK88],,nannofossil rich ooze ,,7.5YR 5/6 (strong brown),gradational,,,,,,,,
336-U1384A-2H-3-A,336,U1384,A,2,2-3,H,3,A,18,22,6.92,6.96,foraminifer rich,ooze [MMK88],,foraminifer rich ooze ,,7.5YR 6/4 (light brown),sharp,,,,,,,"Erosional base, fining upward from 22 cm",
