Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Diagenetic constituent,Diagenetic constituent composition,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,File Data,Ship File Links,Shore File Links,Sample,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Extra Sample ID Data
361,U1479,C,2,2-1,H,1,A,0.0,150.0,1.0,2.49,1,,nannofossil ooze [2014],with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479C-2H-1-A,,,,
361,U1479,C,2,2-2,H,2,A,0.0,150.0,2.5,4.0,1,,nannofossil ooze [2014],with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479C-2H-2-A,,,,
361,U1479,C,2,2-3,H,3,A,0.0,150.0,4.0,5.5,1,,nannofossil ooze [2014],with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479C-2H-3-A,,,,
361,U1479,C,2,2-4,H,4,A,0.0,150.0,5.5,7.0,1,,nannofossil ooze [2014],with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479C-2H-4-A,,,,
361,U1479,C,2,2-5,H,5,A,0.0,150.0,7.0,8.5,1,,nannofossil ooze [2014],with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479C-2H-5-A,,,,
361,U1479,C,2,2-6,H,6,A,0.0,100.0,8.5,9.5,1,,nannofossil ooze [2014],with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479C-2H-6-A,,,,
361,U1479,C,2,2-7,H,7,A,0.0,89.0,9.5,10.39,1,,nannofossil ooze [2014],with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479C-2H-7-A,,,,
361,U1479,C,2,2-CC,H,CC,A,0.0,18.0,10.39,10.57,1,,nannofossil ooze [2014],with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479C-2H-CC-A,,,,
361,U1479,C,3,3-1,H,1,A,0.0,150.0,10.5,12.0,1,,nannofossil ooze [2014],with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479C-3H-1-A,,,,
361,U1479,C,3,3-2,H,2,A,0.0,150.0,12.0,13.5,1,,nannofossil ooze [2014],with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479C-3H-2-A,,,,
