Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Principal Name,MAJ Lith. abundance [%],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Name,MIN Lith. abundance [%],MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Lith. comment,Clast percentage [%],Clast 1 igneous - pumiceous [%],Clast 1 igneous - pumiceous grain size,Clast 2 igneous - scoriaceous [%],Clast 2 igneous - scoriaceous grain size,Clast 3 igneous - massive [%],Clast 3 igneous - massive grain size,Clast 4 igneous - vesicular [%],Clast 4 igneous - vesicular grain size,Clast 5 volcaniclastic [%],Clast 5 volcaniclastic grain size,Clast 6 sediment [%],Clast 6 sediment grain size,Clast 7 -other lithology [%],Clast 7 -other lithology grain size,Clast lith. abund. sum [%],Clast lithology comment,Clast roundness,Matrix 1 igneous - pumiceous [%],Matrix 2 igneous - scoriaceous [%],Matrix 3 igneous - massive [%],Matrix 4 igneous - vesicular [%],Matrix 5 volcaniclastic [%],Matrix 6 sediment [%],Matrix 7 -other lithology [%],Matrix biogenic carbonate [%],Matrix detritical carbonate [%],Matrix carbonate [%],Matrix abund. sum [%],Matrix sorting,Matrix alteration intensity,Matrix alteration rank,Matrix comment,Deformational structures,Deformational structure strike [deg],Deformational structure dip [deg],Deformational structure comment,Ship File Links,Shore File Links,Groundmass comments,File Data,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Lithology Prefix
340-U1400C-2H-1-A,340,U1400,C,2,2-1,H,1,A,0.0,57.0,15.0,15.57,high [drilling disturbance],6,muddy sand [Leg183],100,very coarse sand [T07],8,,,,,100,Mixture of hemipelagic sediment with volcaniclastic turbidite with pumice during drilling,30,80,pebble [W22_2],0,,0,,0,,0,,0,,20,pebble [W22_2],,,angular,10,0,10,0,30,0,0,5,5,40,,very poor [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1400C-2H-1-A,340,U1400,C,2,2-1,H,1,A,57.0,150.0,15.57,16.5,moderate [drilling disturbance],4,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,Massive volcaniclastic turbidite,0,0,,0,,0,,0,,0,,0,,0,,,,,5,0,10,5,65,0,10,0,5,0,,moderate [BP01],absent [alteration],0,other; oxidized lava,,,,,,,,,,,,
340-U1400C-2H-2-A,340,U1400,C,2,2-2,H,2,A,0.0,150.0,16.5,18.0,slight to moderate [drilling disturbance],3,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,Massive volcaniclastic tuurbidite,0,0,,0,,0,,0,,0,,0,,0,,,,,10,0,15,5,55,0,10,0,5,0,,moderate [BP01],absent [alteration],0,other; oxidized lava,,,,,,,,,,,,
340-U1400C-2H-3-A,340,U1400,C,2,2-3,H,3,A,0.0,14.0,18.0,18.14,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,30,0,20,0,40,0,0,0,0,10,,moderate [BP01],absent [alteration],0,contains a large chunk of wood,,,,,,,,,,,,
340-U1400C-2H-3-A,340,U1400,C,2,2-3,H,3,A,14.0,63.0,18.14,18.63,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,30,0,20,0,40,0,0,0,0,10,,moderate [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1400C-2H-3-A,340,U1400,C,2,2-3,H,3,A,63.0,93.0,18.63,18.93,moderate to high [drilling disturbance],5,carbonate ooze [Leg178],80,fine mud [T07],3,volcaniclastic-sand [BGS-S81],20,medium sand [T07],6,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,5,0,5,0,20,0,0,0,0,70,,moderate [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1400C-2H-4-A,340,U1400,C,2,2-4,H,4,A,0.0,15.0,18.93,19.08,moderate [drilling disturbance],4,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,15,0,0,0,0,0,0,85,,well [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1400C-2H-4-A,340,U1400,C,2,2-4,H,4,A,15.0,119.0,19.08,20.12,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,,1,0,,0,,0,,0,,0,,0,,100,pebble [W22_2],,,,5,5,10,0,75,0,0,0,0,5,,moderately well [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1400C-2H-5-A,340,U1400,C,2,2-5,H,5,A,0.0,150.0,20.12,21.62,high [drilling disturbance],6,volcaniclastic-sand [BGS-S81],100,very coarse sand [T07],8,,,,,100,"Volcaniclastic turbidite with pumice, could be partly disturbed by squeezing water from the core.",5,40,pebble [W22_2],0,,0,,0,,0,,0,,60,pebble [W22_2],,Others: mud clast,rounded,30,0,20,0,40,0,0,0,10,0,,well [BP01],absent [alteration],0,sampled at 111 cm depth,,,,,,,,,,,,
340-U1400C-2H-CC-A,340,U1400,C,2,2-CC,H,CC,A,0.0,3.0,21.62,21.65,,,muddy sand [Leg183],100,medium sand [T07],6,,,,,100,Mixture of hemipelagite and volcaniclastic sand in core catcher,0,0,,0,,0,,0,,0,,0,,0,,,,,10,0,10,0,30,0,0,5,5,40,,very poor [BP01],absent [alteration],0,,,,,,,,,,,,,
