Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Principal lithology,Lithology classification,Lithology prefix,Lithology suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,
320-U1336B-2H-1-A,320,U1336,B,2,2-1,H,1,A,0,150,1.8,3.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,,,
320-U1336B-2H-2-A,320,U1336,B,2,2-2,H,2,A,0,150,3.3,4.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,,,
320-U1336B-2H-3-A,320,U1336,B,2,2-3,H,3,A,0,150,4.8,6.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,,,
320-U1336B-2H-4-A,320,U1336,B,2,2-4,H,4,A,0,150,6.3,7.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,,,
320-U1336B-2H-5-A,320,U1336,B,2,2-5,H,5,A,0,150,7.8,9.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,,,
320-U1336B-2H-6-A,320,U1336,B,2,2-6,H,6,A,0,150,9.3,10.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,,,
320-U1336B-2H-7-A,320,U1336,B,2,2-7,H,7,A,0,83,10.8,11.63,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,,,
320-U1336B-2H-7-A,320,U1336,B,2,2-7,H,7,A,73.92,74.76,11.539,11.548,,,,,,,,,small (5mm) pumice fragment,,
320-U1336B-2H-CC-A,320,U1336,B,2,2-CC,H,CC,A,0,25,11.63,11.88,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,,,
320-U1336B-3H,320,U1336,B,3,,H,,,0,986,11.3,21.16,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifera,nannofossil ooze with foraminifera,100,soft,,,,
320-U1336B-3H-2-A,320,U1336,B,3,3-2,H,2,A,3.81,4.5,12.838,12.845,,,,,,,,,small (0.5cm) fragment of pumice,,
320-U1336B-3H-3-A,320,U1336,B,3,3-3,H,3,A,68.85,70.76,14.989,15.008,,,,,,,,,1.5cm fragment pumice,,
320-U1336B-3H-6-A,320,U1336,B,3,3-6,H,6,A,125.71,126.4,20.057,20.064,,,,,,,,,small (0.5cm) fragment pumice,,
320-U1336B-4H-1-A,320,U1336,B,4,4-1,H,1,A,0,150,20.8,22.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,,,
320-U1336B-4H-2-A,320,U1336,B,4,4-2,H,2,A,0,150,22.3,23.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,,,
320-U1336B-4H-3-A,320,U1336,B,4,4-3,H,3,A,0,150,23.8,25.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,,,
320-U1336B-4H-3-A,320,U1336,B,4,4-3,H,3,A,147.56,148.53,25.276,25.285,,,,,,,,,small (0.3cm) pumice,,
320-U1336B-4H-4-A,320,U1336,B,4,4-4,H,4,A,0,150,25.3,26.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,,,
320-U1336B-4H-5-A,320,U1336,B,4,4-5,H,5,A,0,150,26.8,28.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,,,
320-U1336B-4H-6-A,320,U1336,B,4,4-6,H,6,A,0,150,28.3,29.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,,,
320-U1336B-4H-7-A,320,U1336,B,4,4-7,H,7,A,0,55,29.8,30.35,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,,,
320-U1336B-4H-CC-A,320,U1336,B,4,4-CC,H,CC,A,0,22,30.35,30.57,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,,,
320-U1336B-5H,320,U1336,B,5,,H,,,0,1000,30.3,40.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with radiolaria,nannofossil ooze with radiolaria,25,soft,,major,,
320-U1336B-5H,320,U1336,B,5,,H,,,0,1000,30.3,40.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,75,soft,,major,,
320-U1336B-5H-5-A,320,U1336,B,5,5-5,H,5,A,41.96,42.09,36.72,36.721,,,,,,,,,small (0.3cm) pumice,,
320-U1336B-5H-7-A,320,U1336,B,5,5-7,H,7,A,55.48,56.03,39.855,39.86,,,,,,,,,two small (0.2cm) pumice in same layer,,
