Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Layer or bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data
371-U1507A-1H-1-A,0,19,0,0.19,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],with clay [2014],foraminiferal nannofossil ooze with clay,,,10YR 7/4 (very pale brown),massive [BJ84],,,,,,,,,,,,color boundary or contact,gradational,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze with clay,,,
371-U1507A-1H-1-A,19,39,0.19,0.39,,,,,nannofossil-rich [2014b],foraminiferal ooze [Leg339],with bioclasts,nannofossil-rich foraminiferal ooze with bioclasts,,,10YR 8/2 (very pale brown),grain size layering,,normal grading,,thin lamina [B01],fine sand [W22_2],4,,,sparse [B06],1,foraminiferal sand with with sharp bottom contact. very thin lamination and fining upward,sharp boundary or contact,linear,,,,fine sand [W22_2],,,,nannofossil-rich foraminiferal ooze,foraminiferal ooze with bioclasts,,,
371-U1507A-1H-1-A,39,116,0.39,1.16,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],with clay [2014],foraminiferal nannofossil ooze with clay,,,7.5YR 6/4 (light brown),massive [BJ84],,,,,,,,,sparse [B06],1,bioturbation marked by 10YR 8/2 burrow color,color boundary or contact,gradational,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze with clay,,,
371-U1507A-1H-1-A,116,129,1.16,1.29,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],with clay [2014],foraminiferal nannofossil ooze with clay,,,10YR 8/2 (very pale brown),massive [BJ84],,,,,,,,,sparse [B06],1,bioturbation marked by light brown (7.5YR 6/4) burrows,color boundary or contact,gradational,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze with clay,,,
371-U1507A-1H-1-A,129,150,1.29,1.5,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],with clay [2014],foraminiferal nannofossil ooze with clay,,,10YR 8.5/2 (very pale brown),massive [BJ84],,,,,,,,,sparse [B06],1,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze with clay,,,
371-U1507A-1H-2-A,0,15,1.5,1.65,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],with clay [2014],foraminiferal nannofossil ooze with clay,,,10YR 8.5/2 (very pale brown),massive [BJ84],,,,,,,,,sparse [B06],1,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze with clay,,,
371-U1507A-1H-2-A,15,29,1.65,1.79,,,,,nannofossil-rich [2014b],foraminiferal ooze [Leg339],with bioclasts,nannofossil-rich foraminiferal ooze with bioclasts,,,7.5YR 6/4 (light brown),grain size layering,,normal grading,,thin lamina [B01],medium sand [W22_2],5,,,,,,sharp inclined boundary or contact,linear,,,,medium sand [W22_2],,,,nannofossil-rich foraminiferal ooze,foraminiferal ooze with bioclasts,,,
371-U1507A-1H-2-A,29,145,1.79,2.95,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],with clay [2014],foraminiferal nannofossil ooze with clay,,,10YR 8.5/2 (very pale brown),massive [BJ84],,,,,,,,,sparse [B06],1,Sparse blebs of pyrite framboids,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze with clay,,,
371-U1507A-1H-3-A,0,9,3,3.09,,,,,nannofossil-rich [2014b],foraminiferal ooze [Leg339],with bioclasts,nannofossil-rich foraminiferal ooze with bioclasts,,,10YR 8.5/2 (very pale brown),grain size layering,,normal grading,,thin lamina [B01],medium sand [W22_2],5,,,,,,sharp inclined boundary or contact,linear,,,,,,,,nannofossil-rich foraminiferal ooze,foraminiferal ooze with bioclasts,,,
371-U1507A-1H-3-A,9,15,3.09,3.15,,,,,nannofossil-rich [2014b],foraminiferal ooze [Leg339],with bioclasts,nannofossil-rich foraminiferal ooze with bioclasts,,,10YR 8.5/2 (very pale brown),grain size layering,,normal grading,,thin lamina [B01],medium sand [W22_2],5,,,,,,sharp inclined boundary or contact,linear,,,,,,,,nannofossil-rich foraminiferal ooze,foraminiferal ooze with bioclasts,,,
