Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
366-U1492C-1H-1-A,0.0,64.0,0.0,0.64,I,,,,,,,clayey,mud,with lithic clasts,clayey mud with lithic clasts,10YR 7/4 (very pale brown),massive,unconsolidated,clay,1.0,pebble,9.0,rare harz clasts in brown mud,poor,,,,ultramafic rock,4.0,pebble,10.0,pebble,9.0,subangular,,,,,,,,,clay,,,,,,,366,U1492,C,1,H,1,A
366-U1492C-1H-1-A,64.0,68.0,0.64,0.68,I,,,,,,,,,,,,,,,,,,void,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,C,1,H,1,A
366-U1492C-1H-1-A,68.0,75.0,0.68,0.75,I,,,,irregular,gradational,inclined,clayey,mud,with lithic clasts,clayey mud with lithic clasts,10YR 7/4 (very pale brown),massive,unconsolidated,clay,1.0,pebble,9.0,rare harzburgite clasts in brown mud,poor,,,,ultramafic rock,4.0,pebble,10.0,pebble,9.0,subangular,,,,,,,,,clay,,,,,,,366,U1492,C,1,H,1,A
366-U1492C-1H-1-A,75.0,94.5,0.75,0.945,IIA,,,,,,,serpentinite,mud,,serpentinite mud,5BG 2.5/1 (grayish black),massive,unconsolidated,clay,1.0,granule,8.0,,,,,,,,,,,,,,,,,,,,,serpentine clay matrix,,,,,,,366,U1492,C,1,H,1,A
366-U1492C-1H-1-A,94.5,150.0,0.945,1.5,IIA,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,C,1,H,1,A
366-U1492C-1H-2-A,0.0,105.0,1.5,2.55,IIA,,,,curviplanar,sharp,sub-vertical,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10BG 2.5/1 (grayish black),massive,unconsolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,3.0,pebble,10.0,pebble,9.0,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1492,C,1,H,2,A
366-U1492C-1H-2-A,105.0,134.0,2.55,2.84,IIA,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,5BG 5/1 (greenish gray),massive,unconsolidated,clay,1.0,pebble,9.0,,poor,,,,,,,,,,,,,,,,,,,serpentine clay matrix,,,,,,,366,U1492,C,1,H,2,A
366-U1492C-1H-2-A,134.0,149.0,2.84,2.99,IIA,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,C,1,H,2,A
366-U1492C-1H-3-A,0.0,74.0,2.99,3.73,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10BG 3/1 (dark greenish gray),massive,consolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,2.0,granule,8.0,pebble,9.0,angular,serpentine,1.0,coarse sand,6.0,granule,8.0,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,1,H,3,A
366-U1492C-1H-3-A,74.0,129.0,3.73,4.28,IIA,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,C,1,H,3,A
366-U1492C-1H-4-A,0.0,130.0,4.48,5.78,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 2.5/1 (bluish black),massive,consolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,10.0,granule,8.0,cobble,10.0,subangular,serpentine,1.0,coarse sand,6.0,granule,8.0,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,1,H,4,A
366-U1492C-1H-4-A,130.0,145.0,5.78,5.93,IIA,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,C,1,H,4,A
366-U1492C-1H-CC-A,0.0,3.0,5.93,5.96,IIA,,,,curviplanar,sharp,horizontal,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 2.5/1 (bluish black),massive,consolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,3.0,granule,8.0,granule,8.0,subangular,serpentine,1.0,coarse sand,6.0,granule,8.0,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,1,H,CC,A
366-U1492C-1H-CC-A,3.0,38.0,5.96,6.31,IIA,,,,curviplanar,sharp,horizontal,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10YR 7/3 (very pale brown),massive,consolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,5.0,granule,8.0,pebble,9.0,subangular,serpentine,1.0,coarse sand,6.0,granule,8.0,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,1,H,CC,A
366-U1492C-1H-CC-A,38.0,44.0,6.31,6.37,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 2.5/1 (bluish black),massive,consolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,3.0,granule,8.0,granule,8.0,subangular,serpentine,1.0,coarse sand,6.0,granule,8.0,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,1,H,CC,A
366-U1492C-2F-1-A,0.0,54.0,6.5,7.04,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 3/1 (dark bluish gray),massive,consolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,5.0,granule,8.0,pebble,9.0,subangular,serpentine,3.0,coarse sand,6.0,granule,8.0,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,2,F,1,A
366-U1492C-3F-1-A,0.0,84.0,7.0,7.84,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 3/1 (dark bluish gray),massive,consolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,5.0,granule,8.0,pebble,9.0,subangular,serpentine,3.0,coarse sand,6.0,granule,8.0,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,3,F,1,A
366-U1492C-3F-1-A,84.0,149.0,7.84,8.49,IIA,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,C,3,F,1,A
366-U1492C-3F-2-A,0.0,55.0,8.49,9.04,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 3/1 (dark bluish gray),massive,consolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,5.0,granule,8.0,pebble,9.0,subangular,serpentine,3.0,coarse sand,6.0,granule,8.0,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,3,F,2,A
366-U1492C-3F-2-A,55.0,65.0,9.04,9.14,IIA,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,C,3,F,2,A
366-U1492C-3F-CC-A,0.0,40.0,9.14,9.54,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 3/1 (dark bluish gray),massive,unconsolidated,silt,2.0,pebble,9.0,,poor,,,,ultramafic rock,8.0,granule,8.0,pebble,9.0,subangular,serpentine,3.0,coarse sand,6.0,granule,8.0,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,3,F,CC,A
