Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Extra Sample ID Data
353-U1445A-1H-1-A,0.0,60.0,0.0,0.6,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,green,5Y 4/3 (olive),gradational,gradational,,,,,,,,,,,Oxidized part of the sediment.,,,,353,U1445,A,1,H,1,A,,,,
353-U1445A-1H-1-A,60.0,150.0,0.6,1.5,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,353,U1445,A,1,H,1,A,,,,
353-U1445A-1H-2-A,0.0,54.0,1.5,2.04,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,Gradational color change (lighter) from 122 cm. One light gray (ash ?) dot at 123 cm.,,,,353,U1445,A,1,H,2,A,,,,
353-U1445A-1H-2-A,54.0,56.0,2.04,2.06,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,A,1,H,2,A,,,,
353-U1445A-1H-2-A,56.0,113.0,2.06,2.63,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,353,U1445,A,1,H,2,A,,,,
353-U1445A-1H-2-A,113.0,114.0,2.63,2.64,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,A,1,H,2,A,,,,
353-U1445A-1H-2-A,114.0,150.0,2.64,3.0,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,353,U1445,A,1,H,2,A,,,,
353-U1445A-1H-3-A,0.0,116.0,3.0,4.16,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),irregular,sharp,horizontal,,,,,,,,,,,,,,353,U1445,A,1,H,3,A,,,,
353-U1445A-1H-3-A,116.0,147.0,4.16,4.47,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 5/1 (gray),gradational,gradational,,,,,,,,,,,,,,,353,U1445,A,1,H,3,A,,,,
353-U1445A-1H-3-A,147.0,150.0,4.47,4.5,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,353,U1445,A,1,H,3,A,,,,
353-U1445A-1H-4-A,0.0,8.0,4.5,4.58,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,353,U1445,A,1,H,4,A,,,,
353-U1445A-1H-4-A,8.0,9.0,4.58,4.59,,silty,clay,,silty clay,silty clay,clay,,green,5Y 5/2 (olive gray),irregular,,,very thin bed,normally graded,,,,,Turbidite,,,Possibly silt to clay turb,,,,353,U1445,A,1,H,4,A,,,,
353-U1445A-1H-4-A,9.0,38.0,4.59,4.88,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,353,U1445,A,1,H,4,A,,,,
353-U1445A-1H-4-A,38.0,40.0,4.88,4.9,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,A,1,H,4,A,,,,
353-U1445A-1H-4-A,40.0,55.0,4.9,5.05,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,353,U1445,A,1,H,4,A,,,,
353-U1445A-1H-4-A,55.0,58.0,5.05,5.08,,silty,sand,,silty sand,silty sand,sand,,light gray,5y 7/2 (light gray),erosive,,,thin bed,normally graded,,,,,Turbidite,,,Glauconite-rich.,,,,353,U1445,A,1,H,4,A,,,,
353-U1445A-1H-4-A,58.0,75.0,5.08,5.25,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),bioturbated,,,,,,,,,,,,Some sandy patches.,,,,353,U1445,A,1,H,4,A,,,,
353-U1445A-1H-4-A,75.0,80.0,5.25,5.3,,silty,sand,,silty sand,silty sand,sand,,light gray,5y 7/2 (light gray),planar,,,thin bed,normally graded,,,,,Turbidite,,,Glauconite-rich.,,,,353,U1445,A,1,H,4,A,,,,
353-U1445A-1H-4-A,80.0,102.0,5.3,5.52,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),bioturbated,,,,,,,,,,,,Some color variations (olive gray to light gray).,,,,353,U1445,A,1,H,4,A,,,,
353-U1445A-1H-4-A,102.0,105.0,5.52,5.55,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),irregular,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,A,1,H,4,A,,,,
353-U1445A-1H-4-A,105.0,150.0,5.55,6.0,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,Some color variations (olive gray to light gray). One shell fragment at 112 cm.,,,,353,U1445,A,1,H,4,A,,,,
353-U1445A-1H-5-A,0.0,19.0,6.0,6.19,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,One light gray patch at 14-16 cm.,,,,353,U1445,A,1,H,5,A,,,,
353-U1445A-1H-5-A,19.0,20.0,6.19,6.2,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,A,1,H,5,A,,,,
353-U1445A-1H-5-A,20.0,27.0,6.2,6.27,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,353,U1445,A,1,H,5,A,,,,
353-U1445A-1H-5-A,27.0,30.5,6.27,6.305,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,A,1,H,5,A,,,,
