Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
363-U1484B-1H-1-A,0,150,0,1.5,diatom-bearing nannofossil-bearing [X363],silty clay [S54],diatom-bearing nannofossil-bearing silty clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,
363-U1484B-1H-2-A,0,150,1.5,3,nannofossil-rich [X363],silty clay [S54],nannofossil-rich silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,
363-U1484B-1H-3-A,0,150,3,4.5,nannofossil-rich [X363],silty clay [S54],nannofossil-rich silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,
363-U1484B-1H-4-A,0,141,4.5,5.91,nannofossil-rich [X363],silty clay [S54],nannofossil-rich silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,
363-U1484B-1H-5-A,0,15,5.91,6.06,nannofossil-rich [X363],silty clay [S54],nannofossil-rich silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,
363-U1484B-1H-5-A,15,16,6.06,6.07,,ash(tuff) [MMK88m],ash(tuff),,10YR 2/1 (black),slight [DB86],,,,,,,,,,,,,,,,,,
363-U1484B-1H-5-A,16,101,6.07,6.92,nannofossil-rich [X363],silty clay [S54],nannofossil-rich silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,
363-U1484B-1H-6-A,0,82,6.92,7.74,nannofossil-rich [X363],silty clay [S54],nannofossil-rich silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,
363-U1484B-1H-CC-A,0,9,7.74,7.83,nannofossil-rich [X363],silty clay [S54],nannofossil-rich silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,
363-U1484B-2H-1-A,0,21,7.8,8.01,nannofossil-rich [X363],silty clay [S54],nannofossil-rich silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,
363-U1484B-2H-1-A,35,143,8.15,9.23,nannofossil-rich [X363],silty clay [S54],nannofossil-rich silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,
363-U1484B-2H-1-A,143,146,9.23,9.26,nannofossil-rich [X363],clayey silt [S54],nannofossil-rich clayey silt,,n 4 (dark gray),slight [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,
363-U1484B-2H-2-A,0,2,9.26,9.28,nannofossil-rich [X363],clayey silt [S54],nannofossil-rich clayey silt,,n 4 (dark gray),slight [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,
363-U1484B-2H-2-A,2,28,9.28,9.54,nannofossil-rich [X363],silty clay [S54],nannofossil-rich silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,
363-U1484B-2H-2-A,28,34,9.54,9.6,nannofossil-rich [X363],clayey silt [S54],nannofossil-rich clayey silt,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,
363-U1484B-2H-2-A,34,43,9.6,9.69,nannofossil-rich [X363],silty clay [S54],nannofossil-rich silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,
363-U1484B-2H-2-A,43,48,9.69,9.74,nannofossil-rich [X363],clayey silt [S54],nannofossil-rich clayey silt,,n 4 (dark gray),slight [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,
