Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
353-U1448A-1H-1-A,0.0,30.0,0.0,0.3,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,5Y 6/3 (pale olive),gradational,,,,,,,,,,,,Oxidized sediments.,,,,353,U1448,A,1,H,1,A
353-U1448A-1H-1-A,30.0,150.0,0.3,1.5,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,353,U1448,A,1,H,1,A
353-U1448A-1H-2-A,0.0,42.0,1.5,1.92,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,,,,,Bioturbated with just below turbidite bed between 20 cm and 42 cm. Light gray bioclastic sandy blebs along the section.,,,,353,U1448,A,1,H,2,A
353-U1448A-1H-2-A,42.0,45.0,1.92,1.95,,bioclastic,sand,,bioclastic sand,bioclastic sand,sand,,light gray,5Y 6/3 (pale olive),erosive,,,thin bed,normally graded,,,,,Turbidite,,,Bioturbated with just above sediments 20 cm and 42 cm.,,,,353,U1448,A,1,H,2,A
353-U1448A-1H-2-A,45.0,71.0,1.95,2.21,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,Light gray bioclastic sandy blebs along the section.,,,,353,U1448,A,1,H,2,A
353-U1448A-1H-CC-A,0.0,26.0,2.21,2.47,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,Light gray bioclastic sandy blebs along the section.,,,,353,U1448,A,1,H,CC,A
353-U1448A-2H-1-A,0.0,150.0,2.4,3.9,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Light gray bioclastic sandy blebs and shell fragments along the section.,,,,353,U1448,A,2,H,1,A
353-U1448A-2H-2-A,0.0,150.0,3.9,5.4,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,Wood fragments between 115 and 117 cm. Light gray bioclastic sandy blebs and shell fragments along the section.,,,,353,U1448,A,2,H,2,A
353-U1448A-2H-3-A,0.0,13.0,5.4,5.53,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,Light gray bioclastic sandy blebs and shell fragments along the section.,,,,353,U1448,A,2,H,3,A
353-U1448A-2H-3-A,13.0,47.0,5.53,5.87,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,light gray,2.5Y 7/1 (light gray),erosive,,,,,vitric,abundant,5.0,,,,,,,,,353,U1448,A,2,H,3,A
353-U1448A-2H-3-A,47.0,150.0,5.87,6.9,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,Light gray (foram-rich) or dark gray (sulphide-rich) sandy blebs and shell fragments along the section.,,,,353,U1448,A,2,H,3,A
353-U1448A-2H-4-A,0.0,150.0,6.9,8.4,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,Light gray (foram-rich) or dark gray (sulphide-rich) sandy blebs and shell fragments along the section.,,,,353,U1448,A,2,H,4,A
353-U1448A-2H-5-A,0.0,9.0,8.4,8.49,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,Light gray (foram-rich) or dark gray (sulphide-rich) sandy blebs and shell fragments along the section.,,,,353,U1448,A,2,H,5,A
353-U1448A-2H-5-A,9.0,13.0,8.49,8.53,,bioclastic,sand,,bioclastic sand,bioclastic sand,sand,,light gray,5Y 6/3 (pale olive),erosive,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1448,A,2,H,5,A
