Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
341-U1420A-2R-1-A,0.0,95.0,9.7,10.65,muddy [Leg339],clast-rich diamict [M89m],,muddy  clast-rich diamict ,,,,N 3 (very dark gray),,,,,,,,,,,,,,"clast: sandstone 10, siltstone 3,",,,,,,341,U1420,A,2,R,1,A
341-U1420A-2R-1-A,95.0,100.0,10.65,10.7,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1420,A,2,R,1,A
341-U1420A-2R-2-A,0.0,57.0,10.7,11.27,muddy [Leg339],clast-rich diamict [M89m],,muddy  clast-rich diamict ,,,,N 3 (very dark gray),,,,,,,,,,,,,,"clasts: granite 1, basalt 1, sdst 3, siltst 2",,,,,,341,U1420,A,2,R,2,A
341-U1420A-2R-CC-A,0.0,12.0,11.27,11.39,muddy [Leg339],clast-rich diamict [M89m],,muddy  clast-rich diamict ,,,,N 3 (very dark gray),,,,,,,,,,,,,,,,,,,,341,U1420,A,2,R,CC,A
341-U1420A-4R-1-A,0.0,38.0,29.1,29.48,muddy [Leg339],clast-rich diamict [M89m],with foraminifers [Leg339],muddy  clast-rich diamict  with foraminifers ,,,,N 3 (very dark gray),,,,,,,,,,,,,,"clasts: siltst 8, basalt 3, sdst 2, vein qtz 1, granite 1",,,,,,341,U1420,A,4,R,1,A
341-U1420A-4R-CC-A,0.0,27.0,29.48,29.75,muddy [Leg339],clast-rich diamict [M89m],,muddy  clast-rich diamict ,,,,N 3 (very dark gray),,,,,,,,,,,,,,"clasts: siltst 2, granite 1, sdst 1, basalt 1",,,,,,341,U1420,A,4,R,CC,A
341-U1420A-5R-1-A,0.0,55.0,38.8,39.35,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),none [DB86],0,present [A79],,,,,,,,,,,"clasts include: siltstone, sandstone, granitoid, basalt;
up to 2.5cm",,,,,,341,U1420,A,5,R,1,A
341-U1420A-5R-1-A,55.0,60.0,39.35,39.4,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1420,A,5,R,1,A
341-U1420A-5R-CC-A,0.0,30.0,39.4,39.7,silty,clast-rich diamict [M89m],,silty clast-rich diamict ,,,,N 3 (very dark gray),none [DB86],0,present [A79],,,,,,,,,,,"clasts include: sandstone, siltstone;
up to 3cm",,,,,,341,U1420,A,5,R,CC,A
341-U1420A-5R-CC-A,30.0,35.0,39.7,39.75,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1420,A,5,R,CC,A
341-U1420A-6R-CC-A,0.0,13.0,48.5,48.63,muddy [Leg339],clast-rich diamict [M89m],,muddy  clast-rich diamict ,,,,N 3 (very dark gray),none [DB86],0,present [A79],,,,,,,,,,,"clasts include: siltstone, sandstone, metasiltstone",,,,,,341,U1420,A,6,R,CC,A
341-U1420A-6R-CC-A,13.0,17.0,48.63,48.67,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1420,A,6,R,CC,A
341-U1420A-7R-CC-A,0.0,7.0,58.2,58.27,,,,,,,,,,,present [A79],1,,,pebble [W22_2],subrounded,,,,,,"all matrix (major lithology) washed away/not recovered;
6cm siltstone",,,,,,341,U1420,A,7,R,CC,A
