Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Principal Name,MAJ Lith. abundance [%],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Name,MIN Lith. abundance [%],MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Lith. comment,Clast percentage [%],Clast 1 igneous - pumiceous [%],Clast 1 igneous - pumiceous grain size,Clast 2 igneous - scoriaceous [%],Clast 2 igneous - scoriaceous grain size,Clast 3 igneous - massive [%],Clast 3 igneous - massive grain size,Clast 4 igneous - vesicular [%],Clast 4 igneous - vesicular grain size,Clast 5 volcaniclastic [%],Clast 5 volcaniclastic grain size,Clast 6 sediment [%],Clast 6 sediment grain size,Clast 7 -other lithology [%],Clast 7 -other lithology grain size,Clast lith. abund. sum [%],Clast lithology comment,Clast roundness,Matrix 1 igneous - pumiceous [%],Matrix 2 igneous - scoriaceous [%],Matrix 3 igneous - massive [%],Matrix 4 igneous - vesicular [%],Matrix 5 volcaniclastic [%],Matrix 6 sediment [%],Matrix 7 -other lithology [%],Matrix biogenic carbonate [%],Matrix detritical carbonate [%],Matrix carbonate [%],Matrix abund. sum [%],Matrix sorting,Matrix alteration intensity,Matrix alteration rank,Matrix comment,Deformational structures,Deformational structure strike [deg],Deformational structure dip [deg],Deformational structure comment,Groundmass modal percentage [%],Groundmass modal grain size [mm],Groundmass comments,File Data,Minor Lithology Prefix,Lithology Suffix,Lithology Prefix,Minor Lithology Suffix
340-U1400B-1H-1-A,340,1400,B,1,1-1,H,1,A,0.0,7.0,0.0,0.07,slight [drilling disturbance],2.0,ash [F&S84],100.0,fine medium sand [T07],5.0,,,,,100.0,1902-1929 ashfall?,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,10.0,0.0,86.0,0.0,0.0,2.0,2.0,0.0,,well [BP01],absent [alteration],0.0,,,,,,,,,,,,,
340-U1400B-1H-1-A,340,1400,B,1,1-1,H,1,A,7.0,28.0,0.07,0.28,slight [drilling disturbance],2.0,carbonate ooze [Leg178],100.0,fine mud [T07],3.0,,,,,100.0,Hemipelagite,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,60.0,,very well [BP01],absent [alteration],0.0,,,,,,,,,,,,,
340-U1400B-1H-1-A,340,1400,B,1,1-1,H,1,A,28.0,38.0,0.28,0.38,slight [drilling disturbance],2.0,carbonate ooze [Leg178],100.0,fine mud [T07],3.0,,,,,100.0,Hemipelagite with forams,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,60.0,,very well [BP01],absent [alteration],0.0,,,,,,,,,,,,,
340-U1400B-1H-1-A,340,1400,B,1,1-1,H,1,A,38.0,44.0,0.38,0.44,slight [drilling disturbance],2.0,volcaniclastic-sand [BGS-S81],100.0,fine medium sand [T07],5.0,,,,,100.0,Volcaniclatic sand or ashfall?,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,10.0,0.0,89.0,0.0,0.0,1.0,0.0,0.0,,well [BP01],absent [alteration],0.0,,,,,,,,,,,,,
340-U1400B-1H-1-A,340,1400,B,1,1-1,H,1,A,44.0,55.0,0.44,0.55,slight [drilling disturbance],2.0,carbonate ooze [Leg178],100.0,fine mud [T07],3.0,,,,,100.0,Hemipelagite,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,60.0,,well [BP01],absent [alteration],0.0,,,,,,,,,,,,,
340-U1400B-1H-1-A,340,1400,B,1,1-1,H,1,A,55.0,61.0,0.55,0.61,slight [drilling disturbance],2.0,volcaniclastic-sand [BGS-S81],100.0,fine sand [T07],4.0,,,,,100.0,Volcaniclatic sand or ashfall?,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,5.0,0.0,91.0,0.0,0.0,2.0,2.0,0.0,,moderately well [BP01],absent [alteration],0.0,,,,,,,,,,,,,
340-U1400B-1H-1-A,340,1400,B,1,1-1,H,1,A,61.0,84.0,0.61,0.84,slight [drilling disturbance],2.0,carbonate ooze [Leg178],90.0,fine mud [T07],3.0,volcaniclastic-sand [BGS-S81],10.0,fine sand [T07],4.0,100.0,Hemipelagite,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,60.0,,moderate [BP01],absent [alteration],0.0,,,,,,,,,,,,,
340-U1400B-1H-1-A,340,1400,B,1,1-1,H,1,A,84.0,104.0,0.84,1.04,slight [drilling disturbance],2.0,muddy sand [Leg183],100.0,fine mud [T07],3.0,,,,,100.0,Volcaniclastic turbidite? with fragments of wood,50.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,pebble [W22_2],,,angular,10.0,0.0,5.0,0.0,83.0,0.0,0.0,2.0,0.0,0.0,,poor [BP01],absent [alteration],0.0,,,,,,,,,,,,,
340-U1400B-1H-1-A,340,1400,B,1,1-1,H,1,A,104.0,126.0,1.04,1.26,slight [drilling disturbance],2.0,volcaniclastic-sand [BGS-S81],100.0,medium sand [T07],6.0,,,,,100.0,Volcaniclastic turbidite,10.0,0.0,,100.0,pebble [W22_2],0.0,,0.0,,0.0,,0.0,,0.0,,,,rounded,15.0,10.0,20.0,0.0,50.0,0.0,0.0,0.0,5.0,0.0,,moderate [BP01],absent [alteration],0.0,,,,,,,,,,,,,
340-U1400B-1H-1-A,340,1400,B,1,1-1,H,1,A,126.0,150.0,1.26,1.5,slight [drilling disturbance],2.0,volcaniclastic-sand [BGS-S81],100.0,fine sand [T07],4.0,,,,,100.0,Volcaniclastic turbidite,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,2.0,0.0,10.0,0.0,81.0,0.0,0.0,2.0,5.0,0.0,,moderate [BP01],absent [alteration],0.0,,,,,,,,,,,,,
