Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
346-U1426B-1H-1-A,0,150,0,1.5,diatom rich,clay ,,diatom rich clay ,,,,,10Y 4/1 (dark greenish gray),slight ,1,,,,,,,,,,,,,,,diatom rich  clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426B-1H-2-A,0,150,1.5,3,,clay ,,clay ,,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426B-1H-3-A,0,61,3,3.61,,clay ,,clay ,,,,color banding,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426B-1H-3-A,61,67,3.61,3.67,,tephra ,,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426B-1H-3-A,67,150,3.67,4.5,foraminifer rich,silty clay ,,foraminifer rich silty clay ,,,,,5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,foraminifer rich  silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426B-1H-4-A,0,22,4.5,4.72,,clay ,,clay ,,,,color banding,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426B-1H-4-A,22,24,4.72,4.74,,tephra ,,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426B-1H-4-A,24,150,4.74,6,,clay ,,clay ,,,,color banding,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426B-1H-CC-A,0,21,6,6.21,foraminifer rich,silty clay ,,foraminifer rich silty clay ,,,,,5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,foraminifer rich  silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1426B-3H-1-A,0,93,15.7,16.63,,clay ,,clay ,,,,color banding,10Y 5/1 (greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
