Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data,
339-U1389E-2R-CC-PAL-NANNO,339,U1389,E,2,2-CC,R,CC,PAL,NANNO,0,6,337.33,337.39,G,VA,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,C,VA,,,F,,,,,,,,,,,R,F,,F,C,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,
339-U1389E-3R-CC-PAL-NANNO,339,U1389,E,3,3-CC,R,CC,PAL,NANNO,0,5,344.32,344.37,G,VA,,,,,,,R,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,R,,,,,,,,,,,,C,,R,C,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,
339-U1389E-4R-CC-PAL-NANNO,339,U1389,E,4,4-CC,R,CC,PAL,NANNO,0,5,352.64,352.69,G,VA,,,,,,,R,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,,,,,,,,,,,,R,C,,,C,,,,,,,,,R,,,,,,,,,,,,R,,,,,,R,,,
339-U1389E-5R-CC-PAL-NANNO,339,U1389,E,5,5-CC,R,CC,PAL,NANNO,0,5,362.54,362.59,G,VA,,,,,,,,R,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,R,,,,,,,,,,,R,C,,,C,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,
339-U1389E-6R-CC-PAL-NANNO,339,U1389,E,6,6-CC,R,CC,PAL,NANNO,0,5,369.49,369.54,G,VA,,,,,R,R,,R,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,F,,,,,,,,,,,F,C,,,C,,,C,,,,,,,,,,,,,,,,,,R,,,,,,F,,,
339-U1389E-7R-1-PAL-NANNO,339,U1389,E,7,7-1,R,1,PAL,NANNO,0,5,377.61,377.66,G,VA,,,,,R,F,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,F,,,,,,,,,,,F,C,,,C,,,C,,,,,,R,,,,,,,,,,,,F,,,,,,R,,,
339-U1389E-8R-CC-PAL-NANNO,339,U1389,E,8,8-CC,R,CC,PAL,NANNO,0,6,391.54,391.6,G,VA,,,,,,R,,R,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,VA,,,F,,,,,,F,,,,,F,C,,,F,,,C,,,,,,,,,,,,,,,,,,F,,,,,,,large Geph. 5.5  C,,
339-U1389E-9R-CC-PAL-NANNO,339,U1389,E,9,9-CC,R,CC,PAL,NANNO,0,5,402.65,402.7,G,A,,,,,R,,,R,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,A,,,R,,,,,,F,,,,,R,F,,,F,,,C,,,,,,,,,,,,,,,,,,R,,,,,,,large Geph. 5.5 C,,
339-U1389E-10R-CC-PAL,339,U1389,E,10,10-CC,R,CC,PAL,,0,7,408.1,408.17,G,A,,,,,,,R,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,A,,,R,,,,,,F,,,,,R,F,,,,,,C,,,,,,,,,,,,,,,,,,R,,,,,,,large Geph. 5.5 C,,
339-U1389E-11R-4-PAL-NANNO,339,U1389,E,11,11-4,R,4,PAL,NANNO,0,5,421.75,421.8,M-P,A,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,R,,A,,,F,,,,,,F,,,,,R,F,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,large Geph. 5.5 C,,
