Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Fissurina alveolata,Fissurina cf. radiata,Fissurina cf. staphyllearia,Fissurina spp.,Frondicularia sagittula,Frondicularia spp.,Fursenkoina bradyi,Fursenkoina complanata,Fursenkoina rotundata,Fursenkoina schreibersiana,Fursenkoina spp.,Gaudryina spp.,Gavelinella spp.,Gavelinopsis praegeri,Gavelinopsis? Sp.,Gavelinopsis translucens,Glabratella patelliformis,Glandulina ovula,Glandulina spp.,Globobulimina affinis,Globobulimina auriculata,Globobulimina cf. pacifica,Globobulimina pacifica,Globobulimina spinescens,Globobulimina spp.,Globobulimina turgida,Globocassidulina globosa,Globocassidulina oblonga,Globocassidulina spp.,Globocassidulina? sp. 1,Globulina gibba,Glomospira charoides,Glomospira gordialis,Glomospira spp.,Grigelis spp.,Guttulina spp.,Gyroidina orbicularis,Gyroidina cf. broeckhiana,Gyroidina spp.,Gyroidinoides octocameratus,Gyroidinoides soldanii,Gyroidinoides spp.,Hanzawaia concentrica,Hanzawaia rhodiensis,Hanzawaia? sp.,Hanzawaia spp.,Haplophragmoides spp.,Haynesina sp.,Heterolepa sp.,Hoeglundina elegans,Hopkinsina spp.,Hormosina globulifera,Hormosina spp.,Hyalina balthica,Hyaline indet.,Hyalinonetrion gracillimum,Hyperammina elongata,Hyperammina laevigata,Hyperammina spp.,Islandiella islandica,Jaculella obtusa,Karreriella bradyi,Karreriella spp.,Karrerulina spp.,Labrospira jeffreysi,Labrospira sp.,Laevidentalina spp.,Lagena costata,Lagena gracilis,Lagena hispidula,Lagena semistriata,Lagena spp.,Lagenammina spp.,Laticarinina pauperata,Lenticulina gibba,Lenticulina rotulata,Lenticulina spp.,Lingulina seminuda,Lingulina spp.,Loxostomina cf. major,Loxostomina major,Loxostomum spp.,Comment,File Data,eodp_id
339-U1387C-2R-CC-PAL-FORAM,339,U1387,C,2,2-CC,R,CC,PAL,FORAM,0,5,299.54,299.59,,,,R,,,,,,,,,,,,,,,,P,,,,,,,F,,P,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,b2107bc8e2e7c801f942d2c104ecf758
339-U1387C-3R-CC-PAL-FORAM,339,U1387,C,3,3-CC,R,CC,PAL,FORAM,0,5,308.31,308.36,,,,P,,,,R,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,P,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,7231e3e201bd040029e487e20e3a245b
339-U1387C-5R-CC-PAL-FORAM,339,U1387,C,5,5-CC,R,CC,PAL,FORAM,0,5,327.64,327.69,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,P,,,,,,,,,P,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,6dbc87f59c154081df2b60987d72c39d
339-U1387C-7R-CC-PAL-FORAM,339,U1387,C,7,7-CC,R,CC,PAL,FORAM,0,5,346,346.05,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,R,,,,,,,,,P,,,,R,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,0f4d1eecf89a1df86459d668570d4ac1
339-U1387C-9R-CC-PAL-FORAM,339,U1387,C,9,9-CC,R,CC,PAL,FORAM,0,5,365.2,365.25,,,,,,,,,,,,,,,,,,,,F,,,,,,,R,R,,,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,6541433f114536861de6ec0b3b131b24
339-U1387C-11R-CC-PAL-FORAM,339,U1387,C,11,11-CC,R,CC,PAL,FORAM,0,5,386.08,386.13,,,,,,,,,,,,,,,,,,,,F,,,,,P,,P,,,,,,,,,,,,,,R,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,497b07604dedd9208aca49f5498e29ac
339-U1387C-13R-CC-PAL-FORAM,339,U1387,C,13,13-CC,R,CC,PAL,FORAM,0,5,404.86,404.91,,,,,,,,,,,,,,,,,,,,F,,,,P,R,F,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,1efdf73cdd2451ed78d0e485e4513601
339-U1387C-15R-CC-PAL-FORAM,339,U1387,C,15,15-CC,R,CC,PAL,FORAM,0,6,422.92,422.98,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,7f16efea497b12d608a45777523467b7
339-U1387C-17R-CC-PAL-FORAM,339,U1387,C,17,17-CC,R,CC,PAL,FORAM,0,5,436.81,436.86,,,,R,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d36fb3a242959ab585a0e409a05ed01
339-U1387C-18R-CC-PAL-FORAM,339,U1387,C,18,18-CC,R,CC,PAL,FORAM,0,5,452.57,452.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,decf864bb2c09c7f1aa755953a846ebd
339-U1387C-19R-CC-PAL-FORAM,339,U1387,C,19,19-CC,R,CC,PAL,FORAM,0,5,458.54,458.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bc7df7c7df9ae14b2ce95b29f5ea05b5
339-U1387C-21R-CC-PAL-FORAM,339,U1387,C,21,21-CC,R,CC,PAL,FORAM,0,5,479.37,479.42,,,,P,,,,,,,P,,,,,,,,,P,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,4151b7efe55f10d8ea4fc9b24ddd56a1
