Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Acervulinid taxa,Agglutinates (indeterminant fragments),Ammobaculites sp.,Ammonia beccarii,Ammonia sp.,Ammonia tepida,Amphicoryna spp.,Amphistegina gibbosa,Amphistegina lessonii,Amphistegina radiata,Amphistegina sp.,Astacolus sp.,Asterigerina sp.,Bigenerina sp.,Biloculina sp.,Bolivina spp.,Bolivinita quadrilatera,Bulimina aculeata,Bulimina costata,Bulimina marginata,Bulimina pupoides,Bulimina sp.,Cassidulina sp.,Cassidulina teretis,Chilostomella sp.,Cibicides  bradyi,Cibicides pachyderma,Cibicides refulgens,Cibicides sp.,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides lobatulus,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cibicidoides wuellerstorfi,Cornuspira sp.,Cribrononion kerguelenense,Cribrononion sp.,Cyclorbiculina compressa,Cymbaloporetta sp.,Dentalina advena,Dentalina inornata,Dentalina sp.,Dentalina subemaciata,Dentalina subsoluta,Discorbina sp.,Dorothia exilis,Eggerella sp.,Ehrenbergina sp.,Elphidium excavatum,Eponides repandus,Fissurina marginata,Fissurina orbignyana,Fissurina semimarginata,Fissurina sp.,Fissurina wiesneri,Florilus spp.,Fursenkoina sp.,Gavelinopsis sp.,Globobulimina sp.,Globocassidulina sp.,Globocassidulina subglobosa,Gyroidinoides soldanii,Gyroidinoides spp,Hauerinella inconstans,Heterostegina sp.,Hoeglundina elegans,Karreriella bradyi,Lagena laevis,Lagena sp.,Lagena striata,Laticarinina pauperata,Lenticulina iota,Lenticulina orbicularis,Lenticulina peregrina,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marinittiella sp.,Melonis spp.,Myllostomella costai,Myllostomella huygaensis,Myllostomella spp.?,Nodosaria albatrossi,Nodosaria sp.,Oolina melo,Oolina spp.,Oridorsalis umbonatus,Orthomorphina cf. jedlitschkai,Orthomorphina perversa,Orthomorphina sp.,Osangularia spp.,Parasorites orbitolitoides,Peneroplis sp.,Planctostoma luculenta,Planispirinoides bucculentus,Planulina ariminensis,Planulina sp.,Pleurostomella alternans,Pleurostomella sp.,Proxifrons inaequalis,Pullenia bulloides,Pyrgo comata,Pyrgo depressa,Pyrgo elongata,Pyrgo murrhina,Pyrgo serrata,Pyrgo sp.,Pyrgoella irregularis,Pyrgoella sp.,Pyrulina cylindroides,Quinqueloculina agglutinans,Quinqueloculina bicostata,Quinqueloculina bosciana,Quinqueloculina bradyana,Quinqueloculina candeiana,Quinqueloculina granulocostata,Quinqueloculina seminulum,Quinqueloculina sp.,Rectobolivina sp.,Rectoglandulina sp.,Reophax sp.,Robertina bradyi,Robertina sp. A,Robertinoides spp.,Rupertina stabilis,Sigmavirgulina tortuosa,Sigmoilopsis spp.,Siphonina bradyana,Siphonina sp.,Siphonodosaria cooperensis,Siphonodosaria insecta,Siphonodosaria pomuligera,Siphonodosaria sargrinensis,Siphonodosaria sp.,Siphouvigerina ampullacea,Sphaerogypsina globulus,Sphaeroidina bulloides,Spirillina sp.,Spiroloculina sp.,Stilostomella antillea,Stilostomella fistuca,Stilostomella sp.,Trifarina sp.,Triloculina insignis,Triloculina spp.,Uvigerina auberiana,Uvigerina cf. canariensis,Uvigerina hispida,Uvigerina hollicki,Uvigerina peregrina,Uvigerina peregrina f. parvula,Uvigerina sp.,Vaginulina americana,Vertebralina sp.,Virgulina cf texturata,Vulvulina pennatula,Comment,File Data
340-U1397B-1H-CC-PAL-FORAMB,340,U1397,B,1,1-CC,H,CC,PAL,FORAMB,0,0,6.55,6.55,M [P27],P [A29],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1397B-2H-CC-PAL-FORAMB,340,U1397,B,2,2-CC,H,CC,PAL,FORAMB,0,0,16.27,16.27,M [P27],F [A29],,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1397B-3H-CC-PAL-FORAMB,340,U1397,B,3,3-CC,H,CC,PAL,FORAMB,0,0,26.04,26.04,M [P27],F [A29],,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1397B-4H-CC-PAL-FORAMB,340,U1397,B,4,4-CC,H,CC,PAL,FORAMB,0,0,34.04,34.04,,B [A29],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1397B-5H-CC-PAL-FORAMB,340,U1397,B,5,5-CC,H,CC,PAL,FORAMB,0,0,43.3,43.3,VG [P27],R [A29],,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1397B-6H-CC-PAL-FORAMB,340,U1397,B,6,6-CC,H,CC,PAL,FORAMB,0,0,53.05,53.05,M [P27],F [A29],,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1397B-7H-CC-PAL-FORAMB,340,U1397,B,7,7-CC,H,CC,PAL,FORAMB,0,0,61.33,61.33,M [P27],A [A29],,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1397B-8H-CC-PAL-FORAMB,340,U1397,B,8,8-CC,H,CC,PAL,FORAMB,0,0,69.62,69.62,P [P27],A [A29],,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1397B-9H-CC-PAL-FORAMB,340,U1397,B,9,9-CC,H,CC,PAL,FORAMB,0,0,78.84,78.84,G [P27],A [A29],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,P,,,,,,,,,,,,P,P,,,P,,R,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1397B-10H-CC-PAL-FORAMB,340,U1397,B,10,10-CC,H,CC,PAL,FORAMB,0,0,87.89,87.89,G [P27],P [A29],,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1397B-11H-CC-PAL-FORAMB,340,U1397,B,11,11-CC,H,CC,PAL,FORAMB,0,0,91.71,91.71,,B [A29],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1397B-12H-CC-PAL-FORAMB,340,U1397,B,12,12-CC,H,CC,PAL,FORAMB,0,0,98.15,98.15,P [P27],R [A29],,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1397B-13H-CC-PAL-FORAMB,340,U1397,B,13,13-CC,H,CC,PAL,FORAMB,0,0,103.2,103.2,M [P27],P [A29],,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
