Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data,
339-U1386B-1H-CC-PAL-NANNO,339,U1386,B,1,1-CC,H,CC,PAL,NANNO,0,5,7.27,7.32,G ,A ,,,,,,F ,,R ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,F ,F ,,,F ,,R ,,VA ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,F ,,,
339-U1386B-2H-CC-PAL-NANNO,339,U1386,B,2,2-CC,H,CC,PAL,NANNO,0,5,17.23,17.28,M-P ,A ,,,,,,R ,R ,R ,,,,,,,,,,F ,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,C ,F ,,,C ,,,,A ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,
339-U1386B-3H-CC-PAL-NANNO,339,U1386,B,3,3-CC,H,CC,PAL,NANNO,0,5,26.73,26.78,M-P ,VA ,,,,,,,P ,R ,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,R ,,,A ,,,,VA ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,
339-U1386B-4H-CC-PAL-NANNO,339,U1386,B,4,4-CC,H,CC,PAL,NANNO,0,1,36.02,36.03,G ,A ,,,,,,,,R ,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,R ,R ,,,A ,,,,A ,,,R ,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,,
339-U1386B-5H-CC-PAL-NANNO,339,U1386,B,5,5-CC,H,CC,PAL,NANNO,0,5,45.84,45.89,M-P ,A ,,,,,,,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,F ,,,F ,F ,F ,,,VA ,,,F ,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1386B-6H-CC-PAL-NANNO,339,U1386,B,6,6-CC,H,CC,PAL,NANNO,0,5,54.2,54.25,M-P ,A ,,,,,,,,,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,VA ,,,F ,,,,,,,,,,,F ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1386B-7H-CC-PAL-NANNO,339,U1386,B,7,7-CC,H,CC,PAL,NANNO,0,5,65.05,65.1,M-P ,A ,,,,,,,,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,C ,,,R ,,,,,,,,,,,,,,,,,,F ,,,,,,R ,,,,,,,,,,,,,,,,,,F ,,,
339-U1386B-8H-CC-PAL-NANNO,339,U1386,B,8,8-CC,H,CC,PAL,NANNO,0,5,74.17,74.22,G ,VA ,,,,,,,F ,F ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,F ,F ,,F ,,,,VA ,,,R ,,,,,,,,,,,R ,,,,,,,VA ,,,,,,,,,,,,,,,,,,R ,,,,,,,,,
339-U1386B-9H-CC-PAL-NANNO,339,U1386,B,9,9-CC,H,CC,PAL,NANNO,0,5,84.0,84.05,M-P ,A ,,,,,,,,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,F ,,,,A ,,,F ,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,R ,,,,,,,,,
339-U1386B-10H-CC-PAL-NANNO,339,U1386,B,10,10-CC,H,CC,PAL,NANNO,0,5,93.31,93.36,M-P ,A ,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,R ,,C ,,,R ,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,R ,,,,,,,,,
