Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Globigerina bulloides,Globigerina foliata,Globigerina umbilicata,Globigerinita glutinata,Globigerinita iota,Globigerinita uvula,Globorotalia hirsuta,Globorotalia scitula,Neogloboquadrina humerosa,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina incompta (dextral) ,Neogloboquadrina incompta (sinsitral) ,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),"Neogloboquadrina pachyderma A (dextral, inflated form)","Neogloboquadrina pachyderma B (sinistral, inflated form)","Neogloboquadrina pachyderma C (sinistral, compressed form)",Orbulina universa,Comments,Ship File Links,Shore File Links,File Data
341-U1417C-2H-CC-PAL,341,U1417,C,2,2-CC,H,CC,PAL,0,5,10.56,10.61,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,P,P,,,D,A,,,,,,,,,,D,,,,,,,,,
341-U1417C-3H-CC-PAL,341,U1417,C,3,3-CC,H,CC,PAL,0,5,20.27,20.32,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,P,P,,,,A,,,,,,,,,,D,,,,,,Rich in sandy terrigenous grains,,,
341-U1417C-4H-CC-PAL,341,U1417,C,4,4-CC,H,CC,PAL,0,5,27.12,27.17,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,,B,,,,,,,,,,,,,,,,,,,,diatom and radiolarian rich,,,
341-U1417C-6H-CC-PAL,341,U1417,C,6,6-CC,H,CC,PAL,0,5,45.68,45.73,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M,R,,,A,R,,,,,,,,,,D,R,R,,,,Rich in sandy terrigenous grains,,,
341-U1417C-8H-CC-PAL,341,U1417,C,8,8-CC,H,CC,PAL,0,5,65.38,65.43,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G,A,,,D,,,,,P,,,,,,D,R,R,,,,,,,
341-U1417C-10H-CC-PAL,341,U1417,C,10,10-CC,H,CC,PAL,0,5,84.85,84.9,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G,F,,,A,R,,,,,,,,,,D,R,P,,,,Rich in sandy terrigenous grains,,,
341-U1417C-12H-CC-PAL,341,U1417,C,12,12-CC,H,CC,PAL,0,3,103.24,103.27,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,P,P,,,,,,,,,,,,,,D,,,,,,,,,
341-U1417C-13H-CC-PAL,341,U1417,C,13,13-CC,H,CC,PAL,0,5,103.5,103.55,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,P,P,,,,,,,,,,,,,,D,,,,,,Rich in sandy terrigenous grains. foram shells are white,,,
341-U1417C-14H-CC-PAL,341,U1417,C,14,14-CC,H,CC,PAL,0,5,122.61,122.66,CM2,"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",LO Neogloboquadrina inglei Kucera and Kennet (2000),P,C,,,A,,,,,,,R,,,,D,R,R,,,,"""Foram rich sediments (Most of them are brown-colored).
""",,,
341-U1417C-15H-CC-PAL,341,U1417,C,15,15-CC,H,CC,PAL,0,5,132.27,132.32,CM2,"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",,P,F,,,D,,,,,,,R,,,,D,R,R,,,,rich in brown colored foram.  Some of them were also compressed.,,,
341-U1417C-16H-7-PAL,341,U1417,C,16,16-CC,H,CC,PAL,0,10,141.49,141.59,CM2,"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",,P,P,,,D,,,,,,,,,,,,,,,,,"""Brown colored forams. 

Not sure on the datum interval (no datum taxa found)""",,,
341-U1417C-18H-CC-PAL,341,U1417,C,18,18-CC,H,CC,PAL,0,5,160.96,161.01,,,,,B,,,,,,,,,,,,,,,,,,,,Rich in sandy terrigenous grains,,,
341-U1417C-20H-CC-PAL,341,U1417,C,20,20-CC,H,CC,PAL,0,5,173.88,173.93,,,,,B,,,,,,,,,,,,,,,,,,,,,,,
341-U1417C-22H-CC-PAL,341,U1417,C,22,22-CC,H,CC,PAL,0,5,192.55,192.6,,,,,B,,,,,,,,,,,,,,,,,,,,Rich in sandy terrigenous grains with presence of IRD (>710 micro meters).,,,
341-U1417C-24H-CC-PAL,341,U1417,C,24,24-CC,H,CC,PAL,0,5,206.18,206.23,,,,,B,,,,,,,,,,,,,,,,,,,,Rich in sandy terrigenous grains,,,
341-U1417C-26H-CC-PAL,341,U1417,C,26,26-CC,H,CC,PAL,0,5,218.38,218.43,,,,,B,,,,,,,,,,,,,,,,,,,,Only trace amount of sand sized fraction (>63 micrometers) out of more than 60CC of sediment washed.,,,
341-U1417C-28H-CC-PAL,341,U1417,C,28,28-CC,H,CC,PAL,0,5,223.9,223.95,,,,P,P,,,D,,,,,A,,,,,,A,A,,,,,"""LO Globorotalia margaritae (3.37-3.85Ma) ??
Only one specimen w/ dark brown colored shells

Need to be tested on the Hole D""",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
