Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Amaurolithus amplificus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus sp.,Amaurolithus spp.,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calciosolenia murrayi,Catinaster calyculus,Catinaster coalitus,Ceratolithoides aculeus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Ceratolithus separatus,Ceratolithus simplex,Ceratolithus telesmus,Coccolithus pelagicus,Crenalithus doronicoides,Cyclicargolithus abisectus,Cyclicargolithus cf. floridanus,Dictyococcites bisectus,"Discoaster ""six-rayed""",Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster deflandrei (5-ray),Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster neohamatus,Discoaster neorectus,Discoaster nodifer,Discoaster perplexus,Discoaster prepentaradiatus,Discoaster quadramus,Discoaster quinqueramus,Discoaster saipanensis,Discoaster sp. (3-rayed),Discoaster sp. (5-rayed),Discoaster sp. (6-rayed),Discoaster sp. (9-rayed),Discoaster surculus,Discoaster tamalis,Discoaster tanii nodifer,Discoaster triradiatus,Discoaster variabilis (5-rays asymmetric),Discoaster variabilis,Discolithina japonica,Discosphaera tubifera,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa caribbeanica (>5.5 microns),Gephyrocapsa caribbeanica (>6 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa large,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gephyrocapsa oceanica (>5 microns),Gephyrocapsa oceanica (<5 microns),Gephyrocapsa oceanica (>5.5 microns),Gephyrocapsa oceanica (>6 microns),Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyrocapsa parallela,Gephyrocapsa sinuosa,Hayaster perplexus,Helicosphaera carteri,Helicosphaera carteri var. walichii,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera kamptneri,Helicosphaera sellii,Helicosphaera wallichii,Pontosphaera discopora,Pontosphaera indooceanica,Pontosphaera japonica,Pontosphaera multipora,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi (>6 microns),Reticulofenestra cf. pseudoumbilica,Reticulofenestra daviesii,Reticulofenestra doronicoides,Reticulofenestra pseudoumbilicus (circular outline),Rhabdosphaera clavigera,Rhabdosphaera procera,Rhabdosphaera sp.,Rhabdosphaera tenuis,Schyphosphaera spp.,Syracosphaera pulchra,Small Gephyrocapsa spp.,Small Sphenolithus spp.,Sphenolithus abies/neoabies,Sphenolithus belemnos,Sphenolithus distentus/ciperoensis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus neoabies,reworked taxa,Comments,File Data
340-U1394A-1H-CC-PAL-NANNO,340,U1394,A,1,1-CC,H,CC,PAL,NANNO,0,0,4.8,4.8,M [P07],A [A45],,,,,,,,,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,C,,,,,,C,A,,,,,,F,A,,,,,,,,,,,,,,,,,,,,,,,
340-U1394A-2H-CC-PAL-NANNO,340,U1394,A,2,2-CC,H,CC,PAL,NANNO,0,0,14.55,14.55,G [P07],C [A45],,,,,,,R,,A,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,F,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,
340-U1394A-3H-CC-PAL-NANNO65,340,U1394,A,3,3-CC,H,CC,PAL,NANNO65,0,0,23.67,23.67,G [P07],F [A45],,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1394A-4H-CC-PAL-NANNO,340,U1394,A,4,4-CC,H,CC,PAL,NANNO,0,0,23.85,23.85,G [P07],F [A45],,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,
340-U1394A-7X-CC-PAL-NANNO,340,U1394,A,7,7-CC,X,CC,PAL,NANNO,0,0,43.47,43.47,G [P07],A [A45],,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,C,,,,,,C,C,,,,,,,A,,,,,,,C,,,,R,,,,,,,,,,,,
340-U1394A-9X-CC-W 0/0-NANNO59,340,U1394,A,9,9-CC,X,CC,W,0/0-NANNO59,0,0,62.77,62.77,G [P07],A [A45],,,,,,,,,C,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,C,,,,A,,,,,,,,,A,,,,,,C,C,,,,,,,A,,,,,,,C,,,,,,,,,,,,,,,,
340-U1394A-10X-CC-PAL-NANNO,340,U1394,A,10,10-CC,X,CC,PAL,NANNO,0,0,72.41,72.41,G [P07],A [A45],,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,C,,,,A,,,,,,,,,A,,,,,,C,A,,,,,,,A,,,,,,,C,,,,,,,,,,,,,,,,
340-U1394A-13X-CC-PAL-NANNO,340,U1394,A,13,13-CC,X,CC,PAL,NANNO,0,0,100.96,100.96,G [P07],C [A45],,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,C,,,,,,,C,,,,,,,A,,,,,,,C,,,,,,,,,,,,,,,,
340-U1394A-14X-CC-PAL-NANNO,340,U1394,A,14,14-CC,X,CC,PAL,NANNO,0,0,112.83,112.83,G [P07],C [A45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,F,,,,,,,,A,,,,,,,C,,,,,,,,,,,,,,,,
340-U1394A-15X-CC-PAL-NANNO15,340,U1394,A,15,15-CC,X,CC,PAL,NANNO15,0,0,120.78,120.78,G [P07],C [A45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,A,,,,,,,C,,,,,,,,,,,,,,,,
