Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data,Unnamed: 122,eodp_id
339-U1386C-2R-CC-PAL-NANNO,339,U1386,C,2,2-CC,R,CC,PAL,NANNO,0,5,168.76,168.81,G,VA,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,F,,F,,VA,,,F,,,,,,,,,,,,C,,,F,,,VA,,,,,,R,,,,,,,,,,,,F,,,,,,F,,,,1b9d0b3d9203e531683237da5b62b22a
339-U1386C-4R-CC-PAL-NANNO,339,U1386,C,4,4-CC,R,CC,PAL,NANNO,0,5,213.86,213.91,G,VA,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,VA,,,R,,,,,,,,,,,,C,,F,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,af23729ee171db0ba06f92ca5fd0b848
339-U1386C-6R-CC-PAL-NANNO,339,U1386,C,6,6-CC,R,CC,PAL,NANNO,0,5,406.38,406.43,G,VA,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,VA,,,,,,,,,,,,,,R,C,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,large Geph. 5.5,,,819add4dc82832aaeb111bf40d569363
339-U1386C-7R-CC-PAL-NANNO,339,U1386,C,7,7-CC,R,CC,PAL,NANNO,0,5,421.7,421.75,M-P,A,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,C,,,F,,,,,,F,,,,,,R,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,large Geph 5.5,,,0d5822843d23f65b246574b29420f63c
339-U1386C-8R-CC-PAL-NANNO,339,U1386,C,8,8-CC,R,CC,PAL,NANNO,0,5,426.03,426.08,M-P,A,,,,,,,,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,A,,,,,,,,,F,,,,,,C,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,large Geph 5.5,,,488f6cf456947660035373910d6ed542
339-U1386C-9R-CC-PAL-NANNO,339,U1386,C,9,9-CC,R,CC,PAL,NANNO,0,5,438.5,438.55,M-P,F,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3f9659cc4f54c63179396c0dd2e87361
339-U1386C-10R-CC-PAL-NANNO,339,U1386,C,10,10-CC,R,CC,PAL,NANNO,0,5,451.59,451.64,G,A,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,R,,,,,,F,,,,,,C,,,,,,A,,,,,,,,,,,,,,,,,,R,,,,,,,,,,8c3ce43a49e935043fc338d27ad4a576
339-U1386C-11R-CC-PAL-NANNO,339,U1386,C,11,11-CC,R,CC,PAL,NANNO,0,5,454.03,454.08,M-P,C,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,F,,,,,,F,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,ef028189e4401454536ed315ee4c56fd
339-U1386C-12R-CC-PAL-NANNO,339,U1386,C,12,12-CC,R,CC,PAL,NANNO,0,5,467.86,467.91,M-P,C,,,,,,,,R,R,,,,,,,,,,,R,,,R,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,F,,,,,,F,,,,R,,R,,,,,,R,,,P,,,,,R,,,,,,,,,,,,,,C,C,,,,,7b89a3814f27dbdcf4b9da61ad295413
339-U1386C-13R-CC-PAL-NANNO,339,U1386,C,13,13-CC,R,CC,PAL,NANNO,0,5,478.02,478.07,M-P,A,,,,,,,,R,,,,,,,R,,,,,R,,,F,,,,,F,,,,,,,,,,,,,,,,,,F,,,,,,,,R,R,,,,A,,,R,,,,,,R,,,,,R,R,,,,,,A,,,,,,,,P,,,,,,,,,,,,,,,,,,,,63ccc3cc637ee6512f005767e47d373c
