Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Amaurolithus amplificus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus sp.,Amaurolithus spp.,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calciosolenia murrayi,Catinaster calyculus,Catinaster coalitus,Ceratolithoides aculeus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Ceratolithus separatus,Ceratolithus simplex,Ceratolithus telesmus,Coccolithus pelagicus,Crenalithus doronicoides,Cyclicargolithus abisectus,Cyclicargolithus cf. floridanus,Dictyococcites bisectus,"Discoaster ""six-rayed""",Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster deflandrei (5-ray),Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster neohamatus,Discoaster neorectus,Discoaster nodifer,Discoaster perplexus,Discoaster prepentaradiatus,Discoaster quadramus,Discoaster quinqueramus,Discoaster saipanensis,Discoaster sp. (3-rayed),Discoaster sp. (5-rayed),Discoaster sp. (6-rayed),Discoaster sp. (9-rayed),Discoaster surculus,Discoaster tamalis,Discoaster tanii nodifer,Discoaster triradiatus,Discoaster variabilis (5-rays asymmetric),Discoaster variabilis,Discolithina japonica,Discosphaera tubifera,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa caribbeanica (>5.5 microns),Gephyrocapsa caribbeanica (>6 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa large,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gephyrocapsa oceanica (>5 microns),Gephyrocapsa oceanica (<5 microns),Gephyrocapsa oceanica (>5.5 microns),Gephyrocapsa oceanica (>6 microns),Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyrocapsa parallela,Gephyrocapsa sinuosa,Hayaster perplexus,Helicosphaera carteri,Helicosphaera carteri var. walichii,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera kamptneri,Helicosphaera sellii,Helicosphaera wallichii,Pontosphaera discopora,Pontosphaera indooceanica,Pontosphaera japonica,Pontosphaera multipora,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi (>6 microns),Reticulofenestra cf. pseudoumbilica,Reticulofenestra daviesii,Reticulofenestra doronicoides,Reticulofenestra pseudoumbilicus (circular outline),Rhabdosphaera clavigera,Rhabdosphaera procera,Rhabdosphaera sp.,Rhabdosphaera tenuis,Schyphosphaera spp.,Syracosphaera pulchra,small Gephyrocapsa spp.,Small Gephyrocapsa spp.,Small Sphenolithus spp.,Sphenolithus abies/neoabies,Sphenolithus belemnos,Sphenolithus distentus/ciperoensis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus neoabies,reworked taxa,Comments,File Data
340-U1394B-1H-CC-PAL-NANNO,340,U1394,B,1,1-CC,H,CC,PAL,NANNO,0,0,8.21,8.21,G [P07],A [A45],,,,,,,,,C [A45],,,,,,,C [A45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A45],,,,,,,A [A45],,,,,,,,,,,C [A45],,,,,,C [A45],C [A45],,,,,C [A45],C [A45],A [A45],,,,,,,C [A45],,,,,C [A45],,,,,,,,,,,,
340-U1394B-2H-CC-PAL-NANNO,340,U1394,B,2,2-CC,H,CC,PAL,NANNO,0,0,14.59,14.59,G [P07],A [A45],,,,,,,,,A [A45],,C [A45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A45],,,,,A [A45],C [A45],,,,,,,,,,,,C [A45],,,,,,C [A45],C [A45],,,,,,,A [A45],,,,,,,C [A45],,,,,C [A45],,,,,,,,,,,,
340-U1394B-3X-CC-PAL-NANNO,340,U1394,B,3,3-CC,X,CC,PAL,NANNO,0,0,15.38,15.38,G [P07],A [A45],,,,,,,F [A45],,C [A45],,F [A45],,,,,C [A45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A45],,,,,,,,,,,,,A [A45],,,,,,C [A45],C [A45],C [A45],,,,C [A45],C [A45],A [A45],,,,,,,C [A45],,,,,C [A45],,,,,,,,,,,,
340-U1394B-4X-CC-PAL-NANNO,340,U1394,B,4,4-CC,X,CC,PAL,NANNO,0,0,22.4,22.4,G [P07],C [A45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A45],,,,,,,,,,,,,C [A45],,,,,,F [A45],,,,,,,,A [A45],,,,,,,,,,,,,,,,,,,,,,,,
340-U1394B-5X-CC-PAL-NANNO,340,U1394,B,5,5-CC,X,CC,PAL,NANNO,0,0,31.25,31.25,G [P07],A [A45],,,,,,,,,,,,,,,,C [A45],,,,F [A45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A45],,,,,C [A45],,,,,,,,,,,,,,,,,,,C [A45],C [A45],F [A45],,,,C [A45],,A [A45],,,,,,,C [A45],,,,,C [A45],,,,,,,,,,,,
340-U1394B-6X-CC-PAL-NANNO,340,U1394,B,6,6-CC,X,CC,PAL,NANNO,0,0,40.68,40.68,G [P07],A [A45],,,,,,,,,F [A45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A45],,,,,,,,,,,,,C [A45],,,,,,F [A45],C [A45],C [A45],,,,C [A45],,A [A45],,,,,,,C [A45],,,,,C [A45],,,,,,,,,,,,
340-U1394B-7X-CC-PAL-NANNO,340,U1394,B,7,7-CC,X,CC,PAL,NANNO,0,0,51.2,51.2,G [P07],A [A45],,,,,,,,,,,C [A45],,,,,F [A45],,,,F [A45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A45],,,,,,,,,,,,,C [A45],,,,,,,F [A45],F [A45],,,,F [A45],F [A45],A [A45],,,,,,,A [A45],,,,C [A45],C [A45],,,,,,,,,,,,
340-U1394B-11H-CC-PAL-NANNO,340,U1394,B,11,11-CC,H,CC,PAL,NANNO,0,0,91.74,91.74,G [P07],A [A45],,,,,,,,,,,C [A45],,,,,F [A45],,,,F [A45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A45],,,,,,,,,,,,,,,,,,,,C [A45],C [A45],,,,F [A45],,A [A45],,,,,,,C [A45],,,,,C [A45],,,,,,,,,,,,
340-U1394B-14H-CC-PAL-NANNO-NANNO,340,U1394,B,14,14-CC,H,CC,PAL,NANNO-NANNO,0,0,118.98,118.98,G [P07],A [A45],,,,,,,,,,,C [A45],,,,,C [A45],,,,C [A45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A45],,,,,,,,,,,,,C [A45],,,,,,,C [A45],C [A45],,,,,,A [A45],,,,,,,C [A45],,,,,C [A45],,,,,,,,,,,,
340-U1394B-15H-CC-PAL-NANNO,340,U1394,B,15,15-CC,H,CC,PAL,NANNO,0,0,128.63,128.63,G [P07],A [A45],,,,,,,,,,,A [A45],,,,,A [A45],,,,C [A45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A45],,,,,,,,,,,,,,,,,,,,C [A45],C [A45],,,,,,A [A45],,,,,,,A [A45],,,,,A [A45],,,,,,,,,,,,
