Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],PF Preservation,% Planktic Foraminifera within whole sample,PF Zone,Comments,Beella digitata,Beella praedigitiata,Bolliella adamsi,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimillis,Catapsydrax parvulus,Catapsydrax stainforthi,Catapsydrax unicavus,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina altispira globosa,Dentoglobigerina baroemoensis,Dentoglobigerina larmeui,Dentoglobigerina tripartita s. str.,Dentoglobigerina spp.,Globigerina anguliofficinalis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina ciperoensis,Globigerina eamesi,Globigerina euapertura,Globigerina falconensis,Globigerina gnaucki,Globigerina officinalis,Globigerina praebulloides,Globigerina quinqueloba,Globigerina winkleri,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinella spp.,Globigerinita boweni,Globigerinita glutinata,Globigerinita naparimaensis,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides bisphericus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides mitra,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides quadrilobatus,Globigerinoides ruber,Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina cf. binaiensis,Globoquadrina conglomerata,Globoquadrina dehiscens,Globoquadrina sellii,Globoquadrina venezuelana,Globorotalia (Fohsella) fohsi,Globorotalia (Forsella) fohsi lobata,Globorotalia (Fohsella) fohsi robusta,Globorotalia (Fohsella) peripheroacuta,Globorotalia (Fohsella) peripheroronda,Globorotalia (Fohsella) praefohsi,Globorotalia (Globoconella) conoidea,Globorotalia (Globoconella) conomiozea,Globorotalia (Globoconella) inflata,Globorotalia (Globoconella) miozea,Globorotalia (Globoconella) puncticulata,Globorotalia (Globoconella) sphericomiozea,Globorotalia (Hirsutella) cibaoenisis,Globorotalia (Hirsutella) hirsuta,Globorotalia (Hirsutella) margaritae,Globorotalia (Hirsutella) praemargaritae,Globorotalia (Hirsutella) scitula,Globorotalia (Menardella) archeomenardii,Globorotalia (Menardella) cultrata,Globorotalia (Menardella) exilis,Globorotalia (Menardella) fimbriata,Globorotalia (Menardella) limbata,Globorotalia (Menardella) menardii,Globorotalia (Menardella) multicamerata,Globorotalia (Menardella) pertenuis,Globorotalia (Menardella) praemenardii,Globorotalia (Truncorotalia) tosaensis,Globorotalia (Truncorotalia) truncatulinoides,Globorotalia birnageae,Globorotalia crassaformis crassaformis,Globorotalia crassaformis hessi,Globorotalia crassaformis oceanica,Globorotalia crassaformis ronda,Globorotalia crassaformis viola,Globorotalia flexuosa,Globorotalia ichinosekiensis,Globorotalia iwaiensis,Globorotalia lenguaensis,Globorotalia merotumida,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita decoraperta,Globoturborotalita druryi,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Globoturborotalita woodi connecta,Hastigerina pelagica,Mutabella mirabilis,Neogloboquadrina acostaensis (D),Neogloboquadrina acostaensis (S),Neogloboquadrina asanoi,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma,Neogloboquadrina praeatlantica,Neogloboquadrina pseudopima,Orbulina suturalis,Orbulina universa,Paragloborotalia bella,Paragloborotalia continuosa,Paragloborotalia kugleri,Paragloborotalia mayeri (S),Paragloborotalia mayeri (D),Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia partimlabiata,Paragloborotalia pseudocontinuosa (S),Paragloborotalia pseudocontinuosa (D),Paragloborotalia pseudocontinuosa,Paraglobrotalia pseudokugleri,Paragloborotalia semivera (S),Paragloborotalia semivera (D),Paragloborotalia semivera,Paragloborotalia siakensis,Paragloborotalia siakensis (S),Paragloborotalia siakensis (D),Praeobulina glomerosa,Praeorbulina circularis,Praeorbulina curva,Praeorbulina sicana,Praeorbulina transitoria,Pulleniatina finalis,Pulleniatina obliquiloculata (D),Pulleniatina obliquiloculata (S),Pulleniatina praecursor,Pulleniatina praespectabilis,Pulleniatina primalis (D),Pulleniatina primalis (S),Pulleniatina spectabilis,Sphaeroidinella dehiscens s.l.,Sphaeroidinellopsis hancocki,Sphaeroidinellopsis multiloba,Sphaeroidinellopsis seminulina,Sphaeroidnellopsis disjuncta,Tenuitella angustiumbilicata,Tenuitella clemenciae,Tenuitella gemma,Tenuitella munda,Tenuitellinata praestainforthi,Turborotalita humilis,Zone,Zone group
321-U1338A-1H-1-W 89/91-FORAM66,321,U1338,A,1,1-1,H,1,W,89/91-FORAM66,0,0,0.89,0.89,G,95,PT1b,Dominant coiling direction of Pulleniatina is dextral,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,R,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,P,,,,,,,,A,,,,,,,,,,,,,,,,A,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,P,A,,,,,,,P,,,,,,,,,,,,
321-U1338A-1H-CC-PAL,321,U1338,A,1,1-CC,H,CC,PAL,,0,0,2.68,2.68,G,48,PT1b,acme of G. ruber (pink) : dominant coiling direction of Pulleniatina spp. is dextral,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,R,,,F,,,P,,,,,P,,,,,,,,,R,R,A,,,,,F,,,,,,,,,,,,,,,,,,,,P,,,,,,A,,,,,,,,,,,,P,,,,,,,,A,,,,,,,,,,,,,,,,F,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,P,A,,,,,,,,,,,,,,,,,,,
321-U1338A-2H-2-W 70/72-FORAM8,321,U1338,A,2,2-2,H,2,W,70/72-FORAM8,0,0,4.9,4.9,M,89,PT1b,Dominant coiling direction of Pulleniatina is dextral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,R,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,P,,,,,,,,D,,,,,,,,,,,,,,,,D,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,R,A,,,,,,,R,,,,,,,,,,,,
321-U1338A-2H-5-W 115/117-FORAM9,321,U1338,A,2,2-5,H,5,W,115/117-FORAM9,0,0,9.85,9.85,G,81,PT1a,Dominant coiling direction of Pulleniatina is sinistral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,R,,,,,,,R,,,,,,,,D,,,,,,,,,,,,,,,,A,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,R,A,,,,R,,R,,,,,,,,,,,,
321-U1338A-2H-CC-PAL,321,U1338,A,2,2-CC,H,CC,PAL,,0,0,12.6,12.6,M,86,PT1a,Dominant coiling direction of Pulleniatina is sinistral,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,P,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,F,,,,P,,,,,,,,P,,,,,,,,A,,,,,,,,,,,,,,,,D,,,,,P,F,,,,,,,,,,,,,,,,,,,,,,,,P,,A,,,P,,,P,,,,,,,,,,,,
321-U1338A-3H-2-W 70/72-CYL36,321,U1338,A,3,3-2,H,2,W,70/72-CYL36,0,0,14.4,14.4,G,99,PT1a,Dominant coiling direction of Pulleniatina is dextral,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,D,,,,,,,,,,,,,,,,A,F,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,P,F,,,,R,R,,P,,,,,,,,,,,,
321-U1338A-3H-CC-PAL,321,U1338,A,3,3-CC,H,CC,PAL,,0,0,22.12,22.12,M,32,PL6,Dominant coiling direction of Pulleniatina is sinistral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,D,,,,,,,,,,,,,R,,,R,F,,,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,R,R,,F,,,,,,,,,,,,
321-U1338A-4H-3-W 56/58-FORAM41,321,U1338,A,4,4-3,H,3,W,56/58-FORAM41,0,0,25.26,25.26,M,81,PL6,dissolution: Dominant coiling direction of Pulleniatina is sinistral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,P,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,F,,,,,,,,D,,,,,,,,,,,,,,,,R,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,A,,,,,,,,,,,,
321-U1338A-4H-5-W 56/58-FORAM46,321,U1338,A,4,4-5,H,5,W,56/58-FORAM46,0,0,28.26,28.26,G,91,PL5,Dominant coiling direction of Pulleniatina is dextral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,,,,,P,,,P,,A,,R,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,P,,,,,,,,,,,,R,A,,P,,,,,,,,,,,,,,,P,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,R,,,A,,,,,,,,,,,,
321-U1338A-4H-CC-PAL,321,U1338,A,4,4-CC,H,CC,PAL,,0,0,31.65,31.65,M,27,PL5,Dominant coiling direction of Pulleniatina is dextral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,P,R,,,R,,,F,,A,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,R,,,,,,P,,,,,R,,,,,R,,R,A,,,,,,,,,,,,,,,,,F,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,F,,,,,,,,,,,,
