Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Diatom abundance,Actinocyclus curvatulus,Actinocyclus ellipticus,Actynocyclus ellipticus fa. lanceolata,Actynocyclus ellipticus var. javanica,Actynocyclus elongatus,Actinocyclus endoi,Actinocyclus ingens,Actinocyclus ochotensis,Actinocyclus moronensis,Actinocyclus octonarius,Actinocyclus subtilis,Actinoptychus senarius,Alveus marinus,Asterolampra acutiloba,Asterolampra eximia,Asterolampra marylandica,Asteromphalus arachne,Asteromphalus cleveanus,Asteromphalus elegans,Asteromphalus flabellatus,Asteromphalus grevillei,Asteromphalus heptactis,Asteromphalus hookerii,Asteromphalus robustus,Azpeitia aeginensis,Azpeitia africana,Azpeitia apiculata,Azpeitia barronii,Azpeitia neocrenulata,Azpeitia nodulifera,Azpeitia nodulifera fa. cyclopa,Azpeitia praenodulifera,Azpeitia salisburyana,Azpeitia tabularis,Bogorovia lancettula,Bogorovia barronii,Cavitatus jouseanus,Cestodiscus peplum,Cestodiscus pulchellus,Coscinodiscus argus,Coscinodiscus lewisianus,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Coscinodiscus radiatus,Craspedodiscus coscinodiscus,Crucidenticula nicobarica,Denticulopsis hustedtii,Ethmodiscus sp.,Fragilariopsis doliolus,Haslea sp.,Hemidiscus cuneiformis,Hemidiscus simplicissimus,Lioloma spp. or Thalassiothrix spp.,Nitzschia bicapitata,Nitzschia cylindrica,Nitzschia fossilis,Nitzschia interruptestriata,Nitzschia jouseae,Nitzschia malinterpretaria,Nitzschia miocenica,Nitzschia pliocena,Nitzschia porteri,Nitzschia reinholdii,Nitzschia sicula,Planktoniella sol,Rhizosolenia bergonii,Rhizosolenia curvirostris,Rhizosolenia hebetata fa. hiemalis,Rhizosolenia praebergonii,Rhizosolenia stilyformis,Roperia tesselata,Rossiella elongata,Rossiella paleaceae,Rouxia californica,Rouxia peragalli,Synedra sp.1,Thalassionema bacillare,Thalassionema frauenfeldii,Thalassionema nitzschioides var. nitzschioides,Thalassionema nitzschioides var. capitulata,Thalassionema nitzschioides var. inflata,Thalassionema nitzschioides var. parva,Thalassiosira brunii,Thalassiosira burckliana,Thalassiosira convexa,Thalassiosira convexa var. aspinosa,Thalassiosira decipiens,Thalassiosira aff. eccentrica,Thalassiosira ferelineata,Thalassiosira fraga,Thalassiosira grunowii,Thalssiosira leptopus,Thalassiosira lineata,Thalassiosira miocenica,Thalassiosira nodulolineata,Thalassiosira oestrupii var. oestrupii,Thalassiosira oestrupii var. venrickae,Thalassiosira praeconvexa,Thalassiosira symbolophora,Thalassiosira tappanae,Thalassiosira yabei,Thalassiosira yabei var. elliptica,Thalassiosira sp. 1,Thalassiosira sp.6,Thalassiosira sp.8,Thalassiosira sp.9,Thalassiosira sp.10,Triceratium cinnamomeum,Triceratium cinnamomeum var. minor,Triceratium cinamomeum var. quadrangulata,File data,,eodp_id
321-U1338A-1H-1-W 98/100-DIAT67,321,U1338,A,1,1-1,H,1,W,98/100-DIAT67,0,0,0.98,0.98,M,C,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,F,R,,,,,,,,,,,,,F,C,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,R,,R,R,,,,,,,R,,,,,,,F,,,,,,,,,,,,R,,,,,13978536ee75854274e628a7bbf540cb
321-U1338A-1H-CC-PAL,321,U1338,A,1,1-CC,H,CC,PAL,,0,0,2.68,2.68,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,R,,,,,,,,,,,,,,F,F,,,,R,,,R,,,,,,,,,,R,,,,R,R,,,,,,,R,C,,R,F,,,,,,,R,,,,,,,F,,,,,,,,,,,,,,,,,e42dbc56d98a0b43c88291911234e398
321-U1338A-2H-2-W 65/66-DIAT4,321,U1338,A,2,2-2,H,2,W,65/66-DIAT4,0,0,4.85,4.85,M,C,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,F,,,,F,,,,,,R,,,,R,,,,F,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,R,R,,,,,,,,,,,,,,F,R,,,,,,,,,,,R,,,,,62eb9fa1f43df06ccd6fc3f6827a5b24
321-U1338A-2H-5-W 119/120-DIAT5,321,U1338,A,2,2-5,H,5,W,119/120-DIAT5,0,0,9.89,9.89,M,F,,,,,,,,,,,,,F,,,,,,,,,,,,,,,R,,F,,,,F,,,,,,,,,,R,,,,,F,,R,,F,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1efb1c29a83ca1e68c7938bd2fc69561
321-U1338A-2H-CC-PAL,321,U1338,A,2,2-CC,H,CC,PAL,,0,0,12.6,12.6,M,C,,,,,,,,,,,,,,,,R,,,,,,,,,,,,?,R,R,,,,,,,,,,R,,,,,,,,R,R,,R,,R,R,,R,,,,,,,,R,,R,,,,,R,,,,,R,R,R,F,R,R,R,,,R,,,,R,,,,,,,R,R,,,,,,,,,,,R,,,,,d467cbd8fcc077bfb148d0f7d55ec5af
321-U1338A-3H-1-W 90/90-SS27,321,U1338,A,3,3-1,H,1,W,90/90-SS27,0,0,13.1,13.1,M,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,R,,,,,F,,,R,R,,,,,,R,,,R,,,,,,,,,,R,,R,F,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,d14fbe0822090ad927fa8f4d4baa29af
321-U1338A-3H-2-W,321,U1338,A,3,3-2,H,2,W,,0,0,13.7,13.7,M-G,C,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,R,,,R,,,,,,,,,,,,,,,F,,,R,,F,,,R,,,,,,,,,,R,,,,,,,,,,,R,R,F,,,R,,,R,,,,,,,,,,,R,R,,,,,,,,,,,R,,,,,60a8b688712cdf7ae672fbf21670a4a4
321-U1338A-3H-3-W,321,U1338,A,3,3-3,H,3,W,,0,0,15.2,15.2,M,F,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,R,,C,,,R,R,,,,,,,,,F,,,,,,,,,,,R,,,,R,F,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,8020e2a2e4e3a9fc5476e635120ee934
321-U1338A-3H-5-W,321,U1338,A,3,3-5,H,5,W,,0,0,18.2,18.2,M-G,C,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,R,,,,,,R,,,,,,,,F,,,R,,,,,R,R,R,,,,,R,R,,R,,,,,R,,,,,,,,R,,R,R,,,,,,,R,,,R,,,,F,F,,R,,,,,,,,,R,,,,,084415e8c935ffc8949d1cff1fe80eb5
321-U1338A-3H-CC-PAL,321,U1338,A,3,3-CC,H,CC,PAL,,0,0,22.12,22.12,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,F,,,,,R,R,,,,,,,,,,,,R,,R,,,,,,,,C,,,R,,,,,,,,,,R,,,,C,,,,,,,,,,,,,,,,,54ff204cfe3a02d8060c977e2dc3ead2
