Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Circodiscus (Porodiscus) circularis,Cycladophora nakasekoi,Cycladophora sakaii,Lithelius barbatus,Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda,Dictyophimus bullatus,Dictyophimus hirundo,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai,Giraffospyris angulata,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis,Lamprocyclas junonis,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data
341-U1419A-1H-CC-PAL-RADS,0,5,7.38,7.43,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],C [A81],,,,,,,,F [A82],R [A82],,,,,,,,,A [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A82],,R [A82],,,,,,R [A82],,,,,,,,,,,,,,,,,R [A82],R [A82],R [A82],R [A82],,,,,,,,,,,,,,,,,,,
341-U1419A-2H-CC-PAL-RADS,0,5,17.15,17.2,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],R [A81],,,,,,,,,R [A82],,,,,,,,,R [A82],,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1419A-3H-CC-PAL-RADS,0,5,26.6,26.65,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],R [A81],,,,,,,,R [A82],,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,R [A82],,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1419A-5H-CC-PAL-RADS,0,1,35.91,35.92,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],R [A81],,,,,,,,R [A82],R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,
341-U1419A-6H-CC-PAL-RADS,0,5,48.04,48.09,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],R [A81],,,,,,,,,R [A82],,,,,,,,,F [A82],R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,R [A82],,,,,,,R [A82],,,,,,,,F [A82],,,,,,,,R [A82],,,,,,,,,R [A82],,R [A82],,,,,,,,,,,,,,,,,,,,
341-U1419A-8H-CC-PAL-RADS,0,5,68.16,68.21,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],R [A81],,,,,,,,R [A82],,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A82],,R [A82],,,,,,F [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1419A-9H-CC-PAL-RADS,0,5,75.02,75.07,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1419A-10H-CC-PAL-RADS,0,5,83.74,83.79,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,R [A82],F [A82],,,,R [A82],,,,,A [A82],F [A82],C [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,A [A82],,F [A82],,,,,,C [A82],,,,,,,,F [A82],,,,R [A82],,,,,R [A82],F [A82],,,,,,,,,,,,,,,,,C [A82],,,,
341-U1419A-11H-CC-PAL-RADS,0,5,88.24,88.29,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,R [A82],F [A82],,,,R [A82],,,,,A [A82],C [A82],R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,R [A82],,,,,,,A [A82],,,,,,,,C [A82],,,,,,,,,,,,R [A82],,,,,C [A82],,,,,,,,,,,,,,,,,,R [A82],,,,
341-U1419A-12H-CC-PAL-RADS,0,5,97.71,97.76,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,R [A82],F [A82],,,,,,,,,A [A82],R [A82],F [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,R [A82],,,,,,,A [A82],,R [A82],,,,,,A [A82],,,,,,,,R [A82],,,,,,,,,F [A82],,,,,,,,,,,,,,,,,,C [A82],,,,
