Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi,Globigerina euapertura,Globigerina gortanii,Globigerina falconensis,Globigerina ouachitaensis,Globigerina praebulloides,Globigerina pseudovenezuelana,Globigerina quinqueloba,Globigerina rubescens (white),Globigerina rubescens (pink),Globigerina tapuriensis,Globigerina tripartita,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia cibaoensis,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula,Globorotalia decoraperta,Globorotalia exilis,Globorotalia fimbriata,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miotumida,Globorotalia miozea,Globorotalia merotumida,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia plesiotumida,Globorotalia pertenuis,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia scitula,Globorotalia sp.,Globorotaloides suteri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globorotalia ungulata,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp.,Globorotaloides hexagona,Globorotaloides variabilis,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp.,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina eocaena s.l.,Subbotina linaperta s.l.,Subbotinal yeguaensis s.l.,Tenuitella gemma,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis,Turborotalia cocoaensis,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
367-U1499B-2R-CC-PAL-FORAM,0,5,659.76,659.81,,,,,,,,,,,,,,M,R,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,A,,,,A,,F,P,,,,,,,,,,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,CC,PAL
367-U1499B-3R-CC-PAL-FORAM,0,5,668.81,668.86,,,,,,,,,,,,,,G,C,,,,,,,,,F,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,P,,F,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,F,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,367,U1499,B,3,R,CC,PAL
367-U1499B-4R-CC-PAL-FORAM,0,5,674.5,674.55,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,4,R,CC,PAL
367-U1499B-5R-CC-PAL-FORAM,0,5,684.1,684.15,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,5,R,CC,PAL
367-U1499B-6R-CC-PAL-FORAM,0,2,693.8,693.82,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,6,R,CC,PAL
367-U1499B-7R-CC-PAL-FORAM,0,2,703.5,703.52,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,7,R,CC,PAL
367-U1499B-8R-CC-PAL-FORAM,0,5,713.2,713.25,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,8,R,CC,PAL
367-U1499B-9R-CC-PAL-FORAM,0,5,727.61,727.66,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,9,R,CC,PAL
367-U1499B-10R-CC-PAL-FORAM,0,5,735.62,735.67,,,,,,,,,,,,,,P,P,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,367,U1499,B,10,R,CC,PAL
367-U1499B-11R-CC-PAL-FORAM,0,5,742.3,742.35,,,,,,,,,,,,,,G,R,98,,,,,,,,F,R,,,P,,,,,,,,,,,,,,,,,,P,,,,,A,,,,,,,,R,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,367,U1499,B,11,R,CC,PAL
