Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Zone name (short),Zone name,Preservation,Group abundance,Oligocene to Holocene,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Clavatorella bermudezi (regular),Clemebciae,Dentoglobigerina altispira,Dentoglobigerina globularis,"Fohsella ""praefohsi""",Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella robusta,Globigeriantella insueta,Globigeriantella insueta sensu srticto,Globigerina angulisuturalis,Globigerina ciperoensis,Globigerina euapertura,Globigerinoides altiapertura,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus (regular),Globigerinoides primordius,Globigerinoides ruber (pink),Globigerinoides seiglei,Globigerinoides subquadratus,Globigerinoides trilobus sensu lato,Globogerinatella sp.,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina dehiscens forma spinosa,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis sensu lato,Globorotalia excelsa,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia incognita,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia miozea,Globorotalia multicamerata,Globorotalia panda,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia semivera,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia zealandica,Globoturborotalita angulisuturalis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita woodi,Minutissima,Neogloboquadrina acostaensis (dextral),Neogloboquadrina acostaensis (sinistral),Neogloboquadrina humerosa,Neogloboquadrina nympha,Neogloboquadrina pachyderma,Orbulina suturalis,Paragloborotalia kugleri,Paragloborotalia mayeri/siakensis,Paragloborotalia opima,Paragloborotalia pseudokugleri,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa sensu stricto,Praeorbulina sicana,Pseudoedita,Pseudohastigerina naguewichiensis,Pulleniatina coiling (dextral),Pulleniatina coiling (sinistral),Pulleniatina finalis,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dahiscens sensu lato,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina angiporoides,Tenuitella gemma,Tenuitella munda,Tenuitella selleyi,Tenuitellinata juvenilis,Turborotalia ampliapertura,Turborotalita humilis,Paleocene and Eocene,Acarinina acarinata,Acarinina bullbrooki,Acarinina coalingensis,Acarinina collactea,Acarinina cuneicamerata,Acarinina mcgowrani,Acarinina mckannai,Acarinina pentacamerata,Acarinina primitiva,Acarinina sibaiyaensis,Acarinina soldadoensis,Acarinina strabocella,Acarinina subsphaerica,Cribrohantkenina inflata,Globanomalina australiformis,Globanomalina compressa,Globanomalina pseudomenardii,Globigerinatheka kugleri,Globigerinatheka semiinvoluta,Guembelitrioides nuttalli,Hantkenina alabamensis,Hantkenina singanoae,Igorina albeari,Igorina broedermanni,Igorina pusilla,Morozovella acuta,Morozovella aequa,Morozovella angulata,Morozovella aragonensis,Morozovella conicotruncata,Morozovella formosa,Morozovella gracilis,Morozovella lensiformis,Morozovella marginodentata,Morozovella praeangulata,Morozovella subbotinae,Morozovella velascoensis,Morozovelloides crassatus,Morozovelloides lehneri,Orbulinoides beckmanni,Parasubbotina pseudobulloides,Parasubbotina varianta,Parasubbotina variospira,Parvularugoglobigerina eugubina,Parvularugoglobigerina extensa,Planorotalites palmerae,Praemurica inconstans,Praemurica uncinata,Pseudohastigerina micra,Pseudohastigerina wilcoxensis,Subbotina linaperta,Subbotina triloculinoides,Subbotina velascoensis,Turborotalia cerroazulensis,Turborotalia cunialensis,Turborotalia frontosa,Turborotalia pomeroli,Turborotalia possagnoensis,Upper Cretaceous,Abathomphalus intermedia,Abathomphalus mayaroensis,Contusotruncana fornicata,Contusotruncana patelliformis,Gansserina gansseri,Globotruncana bulloides,Globotruncana linneiana,Planoglobulina acervulinoides,Pseudoguembelina hariaensis,Pseudotextularia elegans,Rugoglobigerina pennyi,Sample comment,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
362-U1481A-12-1-PAL-FORAM_CHEN,0,2,734.1,734.12,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,12,,1,PAL,8204211bc67e13b9d9f20fbb48b6bd79
362-U1481A-13-1-PAL-FORAM_CHEN,0,2,1033.0,1033.02,,,,P [P43],VR,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,13,,1,PAL,ae054f9e349b11c08bccb7c34f6c7e4f
362-U1481A-2R-CC-PAL-FORAM_CHEN,0,5,1154.33,1154.38,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,2,R,CC,PAL,a19ee7aa2396bdd17d00ddf660951f90
362-U1481A-3R-CC-PAL-FORAM_CHEN,0,5,1168.43,1168.48,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,3,R,CC,PAL,8fe1b444599055853c46505f3dfc20db
362-U1481A-4R-CC-PAL-FORAM_CHEN,0,5,1174.37,1174.42,,,,P [P43],VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,4,R,CC,PAL,e22842e8511aa293dede43a9a500c38c
362-U1481A-5R-CC-PAL-FORAM_CHEN,0,5,1181.41,1181.46,"T Globorotalia lenguaensis (Gradstein et al., 2012)",M13b,"Globorotalia plesiotumida (Anthonissen and Ogg, 2012)",P [P43],R,,,,,,,,,,,,,,,,,,,,,,,,,R,,A,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,5,R,CC,PAL,78f72ede13f349e0a602ea45e90138f2
362-U1481A-6R-CC-PAL-FORAM_CHEN,0,5,1194.29,1194.34,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,6,R,CC,PAL,7890a039eb944c6399b6d64f89a8c12f
362-U1481A-7R-CC-PAL-FORAM_CHEN,0,5,1202.73,1202.78,,,,P [P43],VR,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,7,R,CC,PAL,349146db0e52819eb48af561dae97cde
362-U1481A-8R-CC-PAL-FORAM_CHEN,0,3,1208.47,1208.5,,,,P [P43],VR,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,8,R,CC,PAL,715d563ae5e98950694e0a45ce47267d
362-U1481A-9R-CC-PAL-FORAM_CHEN,0,5,1222.53,1222.58,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,9,R,CC,PAL,40106c6f6e8eba560f02df3963171e19
