Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Acrobotrys tritubus,Acrosphaera lappacea,Acrosphaera murrayana,Acrosphaera muse,Acrosphaera spinosa,Acrospyris lingi,Actinomma antarcticum,Actinomma boreale,Actinomma delicatulum,Actinomma haysi,Actinomma leptodermum,Actinomma medianum,Actinomma popofskii,Amphimelissa setosa,Amphirhopalum ypsilon,Amphisphaera nigriniae,Anthocyrtidium angulare,Anthocyrtidium jenghisi,Artobotrys  borealis,Artostrobus annulatus,Artostrobus jorgenseni,Axoprunum acquilonium,Axoprunum angelinum,Axoprunum bispiculum,Axoprunum stauraxonium,Botryostrobus aquilonaris,Botryostrobus auritus/australis,Buccinosphaera invaginata,Calocyclas motoyamai,Calocycletta costata,Calocycletta virginis,Carpocanarium papillosum,Cenosphaera coronata,Cenosphaera coronataformis,Ceratocyrtis galeus,Ceratocyrtis histricosa,Ceratospyris borealis,Circodiscus (?) circularis,Collonosphaera murrayana,Collosphaera huxleyi,Collosphaera macropora,Collosphaera mars,Collosphaera reynoldsi,Collosphaera tuberosa,Cornutella profunda,Cycladophora bicornis,Cycladophora cabrilloensis subhumerus,Cycladophora cornutoides,Cycladophora cosma cosma,Cycladophora davisiana,Cycladophora funakawai,Cycladophora nakasekoi,Cycladophora pliocenica,Cycladophora robusta,Cycladophora sakaii,Cycladophora teocalli,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Cyrtopera languncula,Dendrospyris ? sakaii,Dendrospyris eurus,Dendrospyris futaba,Dendrospyris uruyaensis,Desmospyris stabilis,Diartus hughesi,Diartus pettersoni,Dictyocorine profunda,Dictyocoryne truncatum,Dictyophimus bullatus,Dictyophimus crisiae,Dictyophimus hirundo,Dictyophimus inflatus,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis penultima,Didymocyrtis tetrathalamus tetrathalamus,Didymocyrtis violina,Druppatractus irregularis,Drymyomma elegans,Eucecryphalus cervus,Eucecryphalus gegenbaueri,Euchitonia elegans,Euchitonia furcata,Euchitonia sp.,Eucyrtidium acuminatum,Eucyrtidium anomalum,Eucyrtidium calvertense,Eucyrtidium hexagonatum,Eucyrtidium hexasticum,Eucyrtidium inflatum,Eucyrtidium matuyamai,Eucyrtidium teuscheri group,Excentrodiscus japonisus,Heliodiscus asteriscus,Hexacontium akitaensis,Hexacontium arachnoidale,Hexacontium dionysus,Hexacontium enthacanthum,Hexacontium laevigatum,Hexacontium minerva,Hexacontium parviakitaensis,Hymeniastrum euclidis,Joergensenium apollo,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle butschlii,Larcopyle polyacantha group,Larcopyle pylomaticus,Larcopyle weddelium,Lipmanella dictyoceras,Lipmanella redondoensis,Liriospyris reticulata,Lithelius barbatus Motoyama,Lithelius klingi,Lithelius minor,Lithocampe subligata,Lithomelissa setosa,Lithomelissa stigi,Lithopera bacca,Lithopera renzae,Lophophaena clevei,Lophophaena cylindrica,Lophospyris pentagona hyperborea,Lophospyris pentagona pentagona,Lychnocanoma kamtschatica,Lychnocanoma magnacornuta,Lychnocanoma nipponica nipponica,Lychnocanoma parallelipes,Lychnocanoma sakaii Morley and Nigrini,Lychnodictyum audax,Octopyle stenozona,Octopyle/Tetrapyle Group,Peripyramis circumtexta,Peripyramis woodringi,Phormospyris scaphipes,Phormospyris stabilis stabilis,Phormostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Phormostichoartus platycephala,Phorticium pylonium group,Plectacantha cremastoplegma,Plectacantha oikiskos,Porodiscus spp.,Pseudocubus obeliscus,Pseudodictyophimus gracilipes,Pterocanium grandiporus,Pterocanium korotnevi,Pterocanium praetextum,Pterocanium prismatium,Pterocanium trilobum,Pterocorys campanula,Pterocorys clausus,Pterocorys hertwigii,Pterocorys minythorax,Pterocorys zancleus,Saccospyris conithorax,Saturnalis circularis,Siphocampe arachnea group,Sphaeropyle antarctica,Sphaeropyle langii,Sphaeropyle robusta,Spirocyrtis scalaris,Spongaster pentas,Spongaster tetras irregularis,Spongaster tetras tetras,Spongocore puella,Spongodiscus cauleti,Spongodiscus resurgens,Spongodiscus sp.,Spongodiscus spp.,Spongopyle osculosa,Spongotrochus glacialis,Stichocorys delmontensis,Stichocorys peregrina,Stichocorys seriata,Stichocorys spp. group,Stichocorys wolffii,Stylacontarium bispiculum,Stylatractus universus,Stylochlamidium  venustum,Stylochlamydium bensoni,Stylodictya aculeata,Stylodictya multispina,Stylodictya tenuispina,Stylosphaera magnaporulosa,Thecosphaera akitaensis,Thecosphaera japonica,Thecosphaera miocenica,Thecosphaera pseudojaponica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Theocotyle conica,Zygospyris productus,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
346-U1425D-57H-CC-PAL,0,5,375.56,375.61,L. magnacornuta ,Lychnocanoma magnacornuta,"B Lychnocanoma magnacornuta  (Gradstein et al., 2012)",P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,346,U1425,D,57,H,CC,PAL
346-U1425D-58H-CC-PAL,0,5,379.63,379.68,,,,P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,P ,,,,,,,,,,,,,,R ,,,,,,,,,346,U1425,D,58,H,CC,PAL
346-U1425D-59H-CC-PAL,0,5,384.77,384.82,E. inflatum ,Eucyrtidium inflatum,"T Eucyrtidium inflatum (Gradstein et al., 2012)",P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,346,U1425,D,59,H,CC,PAL
346-U1425D-60H-CC-PAL,0,5,389.23,389.28,E. inflatum ,Eucyrtidium inflatum,,P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,346,U1425,D,60,H,CC,PAL
346-U1425D-61H-CC-PAL,0,5,390.67,390.72,E. inflatum ,Eucyrtidium inflatum,"RD Cyrtocapsella tetrapera (Gradstein et al., 2012)",P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,346,U1425,D,61,H,CC,PAL
346-U1425D-62H-CC-PAL,0,5,393.51,393.56,E. inflatum ,Eucyrtidium inflatum,,P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,346,U1425,D,62,H,CC,PAL
346-U1425D-63H-CC-PAL,0,5,397.66,397.71,E. inflatum ,Eucyrtidium inflatum,,P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,F ,,,C ,,,,,,,,,,,,,,,,,,,,,,,346,U1425,D,63,H,CC,PAL
346-U1425D-64H-CC-PAL,0,5,401.28,401.33,E. inflatum ,Eucyrtidium inflatum,,P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,346,U1425,D,64,H,CC,PAL
346-U1425D-65H-CC-PAL,0,5,404.42,404.47,E. inflatum ,Eucyrtidium inflatum,,P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,D,65,H,CC,PAL
346-U1425D-66H-CC-PAL,0,5,408.02,408.07,,,,P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,D,66,H,CC,PAL
346-U1425D-67H-CC-PAL,0,5,408.86,408.91,,,,P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,346,U1425,D,67,H,CC,PAL
346-U1425D-69H-CC-PAL,0,5,414.11,414.16,,,,P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,D,69,H,CC,PAL
346-U1425D-70H-CC-PAL,0,1,415.1,415.11,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,D,70,H,CC,PAL
