Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Acrobotrys tritubus,Acrosphaera murrayana,Acrosphaera spinosa,Actinomma delicatulum,Actinomma leptodermum,Amphirhopalum ypsilon,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ehrenbergi,Anthocyrtidium euryclathrum,Anthocyrtidium jenghisi,Anthocyrtidium michelinae,Anthocyrtidium nosicae,Anthocyrtidium ophirense,Anthocyrtidium pliocenica,Artophormis gracilis,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Buccinosphaera invaginata,Calocyclas bandyca,Calocycletta caepa,Calocycletta cladara,Calocycletta costata,Calocycletta robusta,Calocycletta serrata,Calocycletta virginis,Carpocanopsis bramlettei,Carpocanopsis cingulata,Carpocanopsis cristata,Cenosphaera cristata,Centrobotrys gravida,Centrobotrys petrushevskayae,Centrobotrys thermophila,Ceratospyris borealis,Circodiscus (Porodiscus) circularis,Collosphaera huxleyi,Collosphaera macropora,Collosphaera spinosa,Collosphaera tuberosa,Cryptamphorella sp.,Cryptocarpium azyx,Cryptocarpium ornatum,Cycladophora bicornis,Cycladophora davisiana,Cycladophora nakasekoi,Cycladophora sakaii,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda,Dictyophimus bullatus,Dictyophimus hirundo,Dictyoprora armadillo,Dictyoprora mongolfieri,Dictyoprora pirum,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris papilio,Dorcadospyris pseudopapilio,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai,Giraffospyris angulata,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis,Lamprocyclas junonis,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris parkerae,Liriospyris reticulata,Liriospyris stauropora,Lithelius barbatus,Lithelius minor,Lithelius nautiloides,Lithocyclia angusta,Lithocyclia aristotelis group,Lithocyclia crux,Lithopera bacca,Lithopera neotera,Lithopera renzae,Lithopera thornbergi,Lophocyrtis jacchia,Lychnocanoma amphitrite,Lychnocanoma elongata,Lychnocanoma nipponica magnacornuta,Lychnocanoma parallelipes,Lychnocanoma sakaii,Lychnodictyum audax,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys campanula,Pterocorys group,Pterocorys minythorax,Pterocorys zancleus,Siphostichartus corona,Solenosphaera omnitubus omnitubus,Solenosphaera omnitubus procera,Sphaeropyle langii,Sphaeropyle robusta,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongaster tetras tetras,Spongatractus balbis,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wolffii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus,Stylodictya validispina,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium trachelium trachelium,Theocorythium vetulum,Theocyrtis annosa,Theocyrtis tuberosa,Tholospyris scaphipes,Thyrsocyrtis  tetracantha,Tristylospyris triceros,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
355-U1456C-1H-CC-PAL-RADS,0,5,7.33,7.38,RN16,RN16 - Collosphaera tuberosa,,G,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,355,U1456,C,1,H,CC,PAL
355-U1456C-3H-CC-PAL-RADS,0,5,17.7,17.75,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,3,H,CC,PAL
355-U1456C-5H-CC-PAL-RADS,0,5,35.84,35.89,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,5,H,CC,PAL
355-U1456C-10H-CC-PAL-RADS,0,5,76.22,76.27,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,10,H,CC,PAL
355-U1456C-12H-CC-PAL-RADS,0,5,86.62,86.67,RN16,RN16 - Collosphaera tuberosa,,G,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,12,H,CC,PAL
355-U1456C-13H-CC-PAL-RADS,0,5,95.64,95.69,RN16,RN16 - Collosphaera tuberosa,,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,13,H,CC,PAL
355-U1456C-14H-CC-PAL-RADS,0,5,105.27,105.32,RN16,RN16 - Collosphaera tuberosa,,G,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,14,H,CC,PAL
355-U1456C-16H-CC-PAL-RADS,0,5,122.19,122.24,RN16,RN16 - Collosphaera tuberosa,,G,R,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,16,H,CC,PAL
355-U1456C-17H-CC-PAL-RADS,0,5,133.77,133.82,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,17,H,CC,PAL
355-U1456C-20F-CC-PAL-RADS,0,5,144.89,144.94,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,20,F,CC,PAL
