Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name,Preservation,Group abundance,General comment,Agglutinated Taxa,Adercotryma glomerata,Ammobaculites coprolithoformis,Ammobaculites expansus,Ammodiscus glabratus,Ammoscalaria pseudospiralis,Arenodosaria antipoda,Bathysiphon alba,Bathysiphon cylindrica,Bathysiphon sp.,Cribrostomoides arenaceous,Cribrostomoides crassimargo,Cyclammina incisa,Cyclammina rotundata,Eggerella bradyi nitens,Gaudryina reussi,Haplophragmoides sp.,Hyperammina cylindrica,Martinottiella communis,Miliammina arenacea,Protobotellina cylindrica,Psammosphaera fusca,Reophax cushmani,Reophax difflugiformis,Reophax  nodulosus,Reophax scorpiurus,Reophax sp.,Rhabdammina linearis,Rhizammina algaeformis,Siphotextularia awamoana,Textularia earlandi,Textularia plummerae,Trochammina antarctica,Trochammina multiloculata,Trochammina rossensis,Trochammina wiesneri,Trochammina sp.,Nodosariids,Astacolus crepidulus,Astacolus sp.,Dentalina advena,Fissurina agassizi,Fissurina annectens,Fissurina bisulcata,Fissurina danica,Fissurina fimbriata,Fissurina kerguelenensis,Fissurina laevigata,Fissurina lucida,Fissurina marginata,Fissurina sp.,Islandiella norcrossi,Islandiella teretis,Lagena laevigata,Lagena laevis,Lagena nebulosa,Lagena sequeziana,Lagena sp.,Lagena striata,Lagena sulcata,Lenticulina callifera,Lenticulina lenticula,Lenticulina sp.,Marginulina tumida,Marginulinopsis pedum,Margulina cocoaensis,Margulina tumida,Nodosaria calomorpha,Nodosariid taxa,Nodosaria sp.,Oolina apiculata,Oolina apiopleura,Oolina globosa,Oolina sp.,Parafissurina curta,Parafissurina lateralis,Parafissurina subcarinata,Parafissurina tasmanica,Pseudonodosaria symmetrica,Saracenaria kellumi,Saracenaria sp.,Vaginulina awamoana,Miliolids,Articulina sp.,Cruciloculina triangularis,Flintina droogeri,Miliolinella circularis,Miliolinella antarctica,Miliolinella subrotunda,Miliolids indeterminate,Planispirinoides bucculentus,Pyrgo fornasini,Pyrgo vespertilio,Pyrgo williamsoni,Pyrgo sp.,Pyrulinoides sp.,Quinqueloculina seminulina,Quinqueloculina triangularis,Quinqueloculina sp.,Sigmoilina obesa,Triloculina rotundata,Triloculina brongniartiana,Other calcareous taxa,Ammoelphidiella pustulosa,Ammoelphidiella uniforamina,Ammoelphidiella sp.,Angulogerina earlandi,Angulogerina fluens,Angulogerina aff. fueguina,Angulogerina pauperata,Anomalina bassensis,Anomalinoides fasciatus,Anomalinoides globulosus,Anomalinoides macraglabra,Anomalinoides pinguiglabra,Anomalinoides sp.,Astrononion antarcticus,Astrononion echolsi,Baggina brevior,Bolivina sp.,Bucella sp.,Bulimina aculeata,Bulimina sp.,Cancris laevinflatus,Cassidulina neocarinata,Cassidulinoides aequilatera,Cassidulinoides bradyi,Cassidulinoides braziliensis,Cassidulinoides chapmani,Cassidulinoides parkerianus,Cassidulinoides porrectus,Cibicides grossepunctatus,Cibicides lobatulus,Cibicides mckannai,Cibicides mediocris,Cibicides pseudoungerianus,Cibicides refulgens,Cibicides sp.,Cibicides subhaidingeri,Cibicides temperatus,Cibicides thiara,Cibicides vortex,Cribroelphidium sp.,Discorbis australis,Ehrenbergina glabra,Elphidium bartletti,Elphidium ex. gr. excavatum,Elphidium magellanicum,Elphidium nitidum,Elphidium sp.,Epistominella exigua,Epistominella vitrea,Eponides bradyi,Eponides sp.,Eponides tumidulus,Eponides weddellensis,Euuvigerina paeniteries,Fursenkoina fusiformis,Fursenkoina schreibersiana,Gavelinopsis lobatulus,Globocassidulina biora,Globocassidulina crassa,Globocassidulina subglobosa,Globocassidulina sp.,Gyroidina neosoldani,Gyroidina obicularis,Gyroidina parva,Gyroidina zelandica,Hanzawaia sp.,Heronallenia kempii,Melonis affinis,Melonis barleeanus,Melonis graniferum,Nonion germanicus,Nonionella auris,Nonionella bradii,Nonionella iridea,Nonionella magnalingua,Notorotalia serrata,Oridorsalis tenera,Nuttalides umbonifera,Patellina antarctica,Planispirillina dimidiata,Pseudobolivina antarctica,Pullenia bulloides,Pullenia subcarinata,Robertina tasmanica,Robertina wiesneri,Rosalina globularis,Sphaeroidina bulloides,Stainforthina sp.,Uvigerina bifurcata,Uvigerina sp.,Planktics,Antarcticella antarctica,Chiloguembelina cubensis,Ciperoella ouachitaensis,Globoquadrina dehiscens,Globigerina bulloides,Globigerina falconensis,Globigerina megastoma,Globigerinita glutinata,Globoconella inflata,Globorotalia sp.,Globoturborotalita connecta,Globoturborotalita woodi,Globorotaloides suteri,Neogloboquadrina incompta,Neogloboquadrina nympha,Neogloboquadrina pachyderma,Paragloborotalia incognita,Paragloborotalia semivera,Paragloborotalia siakensis,Tenuitella gemma,Turborotalita quinqueloba,COMMENTS,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
374-U1522A-1R-CC-PAL-FORAM,0,5,2.78,2.83,,,,No forams observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abundant quartz, lithics, pink feldspar; F glauconite, R spicules, R echinoderms, R diatoms",,,,374,U1522,A,1,R,CC,PAL
374-U1522A-2R-CC-PAL-FORAM,0,8,9.6,9.68,,MG,P,4 specimens; MG to G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,"Abundant quartz, lithics, pink k-spar, biotite, glauconite sandstone, glauconite grains",,,,374,U1522,A,2,R,CC,PAL
374-U1522A-3R-CC-PAL-FORAM,0,2,19.44,19.46,,MG,P,1 specimen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abundant quartz, lithics, pink k-spar, granite, biotite",,,,374,U1522,A,3,R,CC,PAL
374-U1522A-4R-CC-PAL-FORAM,0,2,29.4,29.42,,,,No forams observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1522,A,4,R,CC,PAL
374-U1522A-5R-CC-PAL(20-22)-FORAM,0,2,38.7,38.72,,,,No forams observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1522,A,5,R,CC,PAL
374-U1522A-6R-CC-PAL(0-4)-FORAM,0,4,48.2,48.24,,G,P,1 specimen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,As in 3R-CC; R spicules,,,,374,U1522,A,6,R,CC,PAL
374-U1522A-7R-CC-PAL-FORAM,0,5,58.27,58.32,,MG,P,1 specimen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As in previous cores; R spicules, echinoderm spine",,,,374,U1522,A,7,R,CC,PAL
374-U1522A-14R-CC-PAL-FORAM,0,6,125.97,126.03,,M,F,M to G preservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,F,,,,,,,R,R,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,F,,,,,R,"Abundant quartz,lithics, incl. chert, metamorphics (schist, phyllite), biotite; F Nonion germanicus",,,,374,U1522,A,14,R,CC,PAL
374-U1522A-22R-3-PAL-FORAM,0,5,207.66,207.71,,MP,P,2 specimens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,"Abundant quartz, lithics including mica schist and chert, but lacking the common felsic grains and Kspar seen higher in the core; R spicules, R diatoms, R rads",,,,374,U1522,A,22,R,3,PAL
374-U1522A-23R-CC-PAL-FORAM,0,5,218.12,218.17,,M,P,sparse 3 specimens; MP to MG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clastics as in 22R-CC; R spicules, R diatoms, R rads",,,,374,U1522,A,23,R,CC,PAL
