Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,General comment,Percentage of nannos in total assemblage [%],Diatoms and siliceous plankton comment,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Bramletteius serraculoides,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus pacificanus,Calcidiscus premacintyrei,Calcidiscus tropicus,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus cristatus,Ceratolithus larrymayeri,Ceratolithus rugosus,Ceratolithus telesmus,Chiasmolithus altus,Chiasmolithus consuetus,Chiasmolithus eograndis,Chiasmolithus gigas,Chiasmolithus nitidus,Chiasmolithus oamaruensis,Chiasmolithus solitus,Chiasmolithus spp.,Clausicoccus obrutus,Clausicoccus subdistichus,Coccolithus eopelagicus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cryptococcolithus mediaperforatus,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Dictyococcites bisectus,Dictyococcites bisectus (>10µm),Dictyococcites haqii,Dictyococcites hesslandii,Dictyococcites perplexus,Dictyococcites scrippsae,Dictyococcites spp. (<6 microns),Discoaster anartios,Discoaster asymmetricus,Discoaster aulakos,Discoaster barbadiensis,Discoaster bellus,Discoaster bergenii,Discoaster berggrenii,Discoaster binodosus,Discoaster blackstockae,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster deflandrei,Discoaster diastypus,Discoaster druggii,Discoaster elegans,Discoaster exilis,Discoaster hamatus,Discoaster kuepperi,Discoaster kugleri,Discoaster lenticularis,Discoaster lodoensis,Discoaster loeblichii,Discoaster mediosus,Discoaster musicus,Discoaster neohamatus,Discoaster neorectus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster salisburgensis,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster tanii nodifer,Discoaster tanii ornatus,Discoaster triradiatus,Discoaster tristellifer,Discoaster variabilis,Ellipsolithus macellus,Emiliania huxleyi,Ericsonia formosa,Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa (small <4 microns),Gephyrocapsa aperta,Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Girgisia gammation,Hayaster perplexus,Hayella situliformis,Helicopontosphaera hyalina,Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera carteri,Helicosphaera compacta,Helicosphaera euphratis,Helicosphaera granulata,Helicosphaera inversa,Helicosphaera recta,Helicosphaera sellii,Helicosphaera wallichii,Hughesius gizoensis,Isthmolithus recurvus,Markalius inversus,Minylitha convallis,Nannotetrina alata,Nannotetrina fulgens,Nannotetrina spp.,Neocrepidolithus spp.,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra dictyoda,Reticulofenestra gelida,Reticulofenestra hillae,Reticulofenestra lockeri,Reticulofenestra minuta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra rotaria,Reticulofenestra samodurovii,Reticulofenestra spp. small,Reticulofenestra umbilicus (>14um),Rhabdosphaera clavigera,Rhabdosphaera gladius,Rhabdosphaera inflata,Rhomboaster cuspis,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conspicuus,Sphenolithus delphix,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus editus,Sphenolithus furcatolithoides,Sphenolithus heteromorphus,Sphenolithus intercalaris,Sphenolithus moriformis,Sphenolithus predistentus,Sphenolithus pseudoradians,Sphenolithus radians,Sphenolithus spiniger,Sphenolithus spp.,Syracosphaera pulchra,Tetralithoides symeonidesii,Thoracosphaera spp.,Toweius callosus,Toweius crassus,Toweius pertusus,Toweius spp.,Tranolithus orionatus,Tribrachiatus bramlettei,Tribrachiatus contortus,Tribrachiatus digitalis,Tribrachiatus orthostylus,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbellosphaera tenuis,Umbilicosphaera hulburtiana,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Zygrhablithus bijugatus,Shore File Links,File Data,eodp_id
350-U1437B-1H-CC-PAL-NANNO,350,U1437,B,1,1-CC,H,CC,PAL,NANNO,0,5,5.23,5.28,,,,,CN15,Emiliania huxleyi,,,,,,,,G,A,,,F,,,,,,,,VF,,,,,R,,,,,R,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,A,R,F,C,F,,,C,F,C,,,,,R,,,F,,,,,,R,R,,,,,,,,,,,R,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,F,,,,,ffc77876095969adeb068f6b12578b7a
350-U1437B-2H-CC-PAL-NANNO,350,U1437,B,2,2-CC,H,CC,PAL,NANNO,0,5,14.53,14.58,,,,,CN15,Emiliania huxleyi,X G caribb-E huxleyi,0.09,,,,,,G,A,,,F,,,,,,,,F,,,,,R,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,F,F,C,F,VF,VF,C,VF,C,,,,,R,,,F,,,,,,R,R,,,,,,,,,,,,R,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,VF,,VF,,,,,,,,,,,,R,,,F,R,,,,4bf3d8f69dfae50a6c4d2e0b14d2b6c6
350-U1437B-3H-CC-PAL-NANNO,350,U1437,B,3,3-CC,H,CC,PAL,NANNO,0,5,24.39,24.44,,,,,CN14b,Ceratolithus cristatus,LO E huxleyi,0.29,,,,,,G,A,,,F,,,,,,,,F,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,C,A,C,VF,F,,F,F,,,,,,,,VF,,,,,,,,,,,,,,,,,,R,,,*,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,VF,,,,,b6ad29e5c970cc5a08f7d3765acdd025
350-U1437B-4H-CC-PAL-NANNO,350,U1437,B,4,4-CC,H,CC,PAL,NANNO,0,5,32.99,33.04,,,,,CN14b,Ceratolithus cristatus,,,,,,,,G,A,,,F,,,,,,,,VF,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,A,VF,,C,C,VF,,,,,R,,,VF,,,,R,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,VF,,R,,,,,,,,,,,,,,,VF,R,,,,af047bc8c56edcc47aae89484b1c5273
350-U1437B-5H-CC-PAL-NANNO,350,U1437,B,5,5-CC,H,CC,PAL,NANNO,0,5,42.4,42.45,,,,,CN14b,Ceratolithus cristatus,,,,,,,,G,A,,,R,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,A,,,C,C,,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,f08bc652c9a4b65b718c4256dfd27b33
350-U1437B-6H-5-W 75/75-NANNO,350,U1437,B,6,6-5,H,5,W,75/75-NANNO,0,0,49.95,49.95,,,,,CN14b,Ceratolithus cristatus,,,,,,,,G,A,,,C,,,,,,,,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,VA,,,C,,,,,,,VF,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,VF,,,,,ff990edaf81dc9e6962d247afcb22dd9
350-U1437B-6H-CC-PAL-NANNO,350,U1437,B,6,6-CC,H,CC,PAL,NANNO,0,5,52.96,53.01,,,,,CN14a,Emiliania ovata,LO P lacunosa,0.44,,,,,,G,A,,,F,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,F,A,,,VF,C,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,C,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VF,VF,,,,7dd6f3ba2732f364344fd1e755f13716
350-U1437B-7H-CC-PAL-NANNO,350,U1437,B,7,7-CC,H,CC,PAL,NANNO,0,5,62.36,62.41,,,,,CN14a,Emiliania ovata,,,,,,,,G,A,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,A,VF,,F,C,R,,,,,,,,F,,,,,,,,,,,,,,,,,,R,,,C,*,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,VF,VF,,,,9e7763d7e7c2ca0378cd9483d0cf7f71
350-U1437B-8H-CC-PAL-NANNO,350,U1437,B,8,8-CC,H,CC,PAL,NANNO,0,5,71.7,71.75,,,,,CN14a,Emiliania ovata,,,,,,,,G,A,,,C,,,,,,,,C,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,C,C,F,,,C,VF,,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,C,*,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,VF,,R,,,,,,,,,,,,,,,VF,VF,,,,b93bdadfc2d8514865bc5e2c5cd142f1
350-U1437B-9H-CC-PAL-NANNO,350,U1437,B,9,9-CC,H,CC,PAL,NANNO,0,5,79.62,79.67,,,,,CN14a,Emiliania ovata,,,,,,,,M,C,,,C,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VF,C,F,,,F,F,,,,,,,,VF,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a28fcbe93f97b4a5df0501c500a3357a
