Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name,Preservation,Group Abundance,Stylatractus universus,Antarctissa cylindrica,Pterocanium charybdeum trilobum,Cycladophora pliocenica,Triceraspyris antarctica,Eucyrtidium calvertense,Helotholus vema,Desmospyris spongiosa,Cycladophora davisiana,Prunopyle titan,Lampromitra coronata,Lychnocanium grande,Amphymenium challengerae,Acrosphaera? labrata,Cycladophora spongothorax,Stichocorys peregrina,Lithomelissa stigi,Acrosphaera australis,Acrosphaera murrayana,Cycladophora humerus,Eucyrtidium pseudoinflatum,Actinomma golownini,Dendrospyris megalocephalis,Antarctissa deflandrei,Antarctissa robusta,Lychnocanoma sp. B Abelmann,Eucyrtidium punctatum,Gondwanaria deflandrei,Cycladophora golli regipileus,Cyrtocapsella longithorax,Stylosphaera radiosa,Cycladophora antiqua,Cyrtocapsella tetrapera,Ceratocyrtis cucullaris,Ceratocyrtis mashae,Cornutella clathrata,Corythospyris fiscella,Cycladophora golli golli,Cyrtocapsella robusta,Cystophormis brevispina,Desmospyris rhodospyroides,Didymocyrtis sp.,Gondwanaria japonica,Haliommetta miocenica,Helotholus? haysi,Lithatractus timmsi?,Lychnocanoma sp. A Abelmann,Lychnocanoma conica,Lamprocyclas aegles,Prunopyle hayesi,Siphonosphaera vesuvius,Spongomelissa dilli,Stylatractus santaeannae,Velicucullus sp. cf. oddgurneri,Acanthodesmia spp.,Actinomma popofskii,Acrosphaera? mercurius,Acrosphaera spinosa echinoides,Actinomma antarcticum,Actinomma boreale,Actinomma delicatulum,Actinomma leptodermum,Actinomma leptodernum longispinum,Amphistylus angelinus,Antarctissa denticulata,Antarctissa strelkovi,Anthocyrtella (?) callopisma,Botryostrobus auritus/australis,Carposphaera annikae,Cenosphaera cristata,Ceratocyrtis spp.,Ceratocyrtis histricosa,Cladoscenium ancoratum,Cornutella profunda,Cycladophora bicornis,Cycladophora conica,Cystophormis ob,Dendrospyris ? sakaii,Dictyophimus crisiae,Druppatractus hastatus,Enneaphormis rotula,Eucyrtidium annulatum,Eucyrtidium cienkowskii,Eucyrtidium inflatum,Hexacontium melpomene,Hexacontium pachydermum,Hexastylus spp.,Larcopyle nebulum,Larcopyle pylomaticus,Larcopyle weddellium,Lithelius minor,Lithelius nautiloides,Lithelius sp. A,Lithocampe platycephala,Lithomelissa ehrenbergii,Lithomelissa sp. A Petrushevskaya,Lithomelissa tricornis,Lychnocanoma sp. C Abelmann,Mitrocalpis araneafera,Octodendron spp. spines,Peripyramis circumtexta,Phaeodaria,Phormacantha hystrix/Plectacantha oikiskos group,Phormostichoartus corbula,Phorticium polycladum,Pseudodictyophimus gracilipes,Rhizoplegma boreale,Saccospyris antarctica,Saccospyris conithorax,Saccospyris praeantarctica,Saturnalis circularis,Siphocampe arachnea,Spongoplegma sp.,Spongopyle osculosa,Spongotrochus glacialis,Spongotrochus sp. A Abelmann,Sphaeropyle robusta,Prunopyle tetrapila,Stylacontarium bispiculum,Stylatractus neptunus,Stylochlamidium  venustum,Stylodictya spp.,Stylosphaera coronata laevis,Tessarastrum straussi,Theocorys redondoensis,Triceraspyris coronata,Tripildium (?) clavipes,Trisulcus nana,Comments,ADDITIONAL SPECIES,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
374-U1521A-1R-CC-PAL-RADS-RADS,0,5,4.23,4.28,Omega (Late Pleistocene),M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,Late Pleistocene,,,,,374,U1521,A,1,R,CC,PAL,0a920516e431947082814f82725e9d7d
374-U1521A-2R-CC-PAL-RADS-RADS,0,5,8.51,8.56,"Psi or older (>0.64 Ma, with reworking of older forms)",M,R,,R,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,"Older than 0.64 Ma (LAD A. cylindrica), but with additional reworked (older) species",,,,,374,U1521,A,2,R,CC,PAL,a0909f914e388828b2fe9203fc5c0f3e
374-U1521A-3R-CC-PAL-RADS,0,5,19.36,19.41,upper Upsilon (2.6-2.4 Ma),G,A,,C,,R,,Freq,Freq,C,Freq,,,,,,X,,X,,,,,,,R,,,,,X,,,,,,X,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,R,,,,,,Freq,,,,,,,,2.4-2.6 Ma,,,,,374,U1521,A,3,R,CC,PAL,1660d2f3918db9b9955408417470e735
374-U1521A-4R-CC-PAL-RADS,0,5,31.17,31.22,???,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,"No age diagnostic, very clayey",,,,,374,U1521,A,4,R,CC,PAL,79e9ba01940d444bd802d3939d25785a
374-U1521A-5R-CC-PAL-RADS,0,5,40.15,40.2,???,P,Tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No markers,,,,,374,U1521,A,5,R,CC,PAL,be91d57c0c0e9c8d9b1d0230bae1942e
374-U1521A-6R-CC-PAL-RADS,0,1,45.89,45.9,???,P,Tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Very indurated sample, difficult to break down, resulting in minimal amount of residue",,,,,374,U1521,A,6,R,CC,PAL,d7ea8490d96ebbf0d90a4167edbec735
374-U1521A-8R-CC-PAL-RADS,0,5,67.75,67.8,???,P,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No radiolarians observed,,,,,374,U1521,A,8,R,CC,PAL,f68e13d7277f7c98f2e4a6fed486ea88
374-U1521A-9R-CC-PAL-RADS,0,5,77.69,77.74,???,P,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,9,R,CC,PAL,ae87bc6a7564b373be974b30303ca51c
374-U1521A-10R-CC-PAL-RADS,0,5,85.67,85.72,???,P,Tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Almost exclusively diatoms in residue, with some rather large fragments as well (Large radiolarians?)",,,,,374,U1521,A,10,R,CC,PAL,bde5510948ab63bd8662aef1e37b0373
374-U1521A-11R-CC-PAL-RADS,0,5,95.48,95.53,???,P,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clayey look, no rads",,,,,374,U1521,A,11,R,CC,PAL,f6e175b815c7576fe860626b5cc79d76
