Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum region,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Fragmentation,Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Beella digitata,Beella praedigitata,Candeina nitida,Dentoglobigerina altispira,Dentoglobigerina globosa,Globigerina bulloides,Globigerina conglomerata,Globigerina eamesi,Globigerina falconensis,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella pseudobesa,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miocenica,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta (dextral),Neogloboquadrina pachyderma (sin.),Orbulina suturalis,Orbulina universa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Turborotalita humilis,Turborotalita quinqueloba,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
353-U1444A-1H-CC-PAL-FORAMP,0,5,7.05,7.1,,,,,,,,,,,0.07,G,F,,,,,,,C,,A,,,C,C,,,C,C,,,A,,C,,,,,,,,A,,,,C,,,,,,,,,,,,,C,,,,,,,,C,,,C,C,,,,,,C,,,D,,,,,,,,,C,,,,,,,,,,,353,U1444,A,1,H,CC,PAL,ae1549af38bc6a3353158766efafcc46
353-U1444A-2H-CC-PAL-FORAMP,0,5,15.69,15.74,,,,,,,,,,,,,,,,,,,BARREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1444,A,2,H,CC,PAL,3d96463bbd45d76830269195f5cb42ea
353-U1444A-3H-CC-PAL-FORAMP,0,5,26.02,26.07,,,,,,,,,,,0.07,G,C,,,,,,,,,,,,F,R,,,R,R,,,C,,R,,,,,,,,C,R,,,F,,,,,,,,,,,,,C,,,,,,,,R,,,,,R,,,,,R,,,A,,R,,,F,,,,C,,,R,,,,,,,,353,U1444,A,3,H,CC,PAL,1f29c68f6a1444991cceeb6bc2dc0f49
353-U1444A-4H-CC-PAL-FORAMP,0,5,35.8,35.85,,,,,,,,,,0.12,,G,F,,,,,,,,,,,,C,R,,,R,,,,C,,R,,,,,,,R,C,R,,,F,,,,,,,,,,,,,F,,,,,,,,R,,,,,,,,,,,,,A,,,,,F,,,,F,,,,,,,,,,,353,U1444,A,4,H,CC,PAL,df1b0b706edcaa9793af459df4114603
353-U1444A-5H-CC-PAL-FORAMP,0,5,45.23,45.28,,,,,,,,,,,,G,R,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,353,U1444,A,5,H,CC,PAL,cd3ec8ef9f6cebc2f673a8bd6621ad4b
353-U1444A-6H-CC-PAL-FORAMP,0,5,54.88,54.93,,,,,,,,,,,,G,F,,,,,,,,,,,,,F,,,C,F,,,A,,F,,,,,,,,C,,,F,,,,,,,,,,,,,,,,,,,,,,F,,,C,,F,,,,,,,,A,,,,,C,,,,,,,,,,,,,,,353,U1444,A,6,H,CC,PAL,4e8fc2741018b870e1bb76ef3ede1430
353-U1444A-7H-CC-PAL-FORAMP,0,5,64.32,64.37,,,,,,,,,,,,,,,,,,,BARREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1444,A,7,H,CC,PAL,e522ed85f957cb516d8e08cc8767bf38
353-U1444A-8H-CC-PAL-FORAMP,0,5,72.52,72.57,,,,,,,,,,,,,,,,,,,BARREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1444,A,8,H,CC,PAL,68d6506ed4d6db684fb9c61f96d3d987
353-U1444A-9H-CC-PAL-FORAMP,0,5,81.28,81.33,,,,,,,,,,,,,,,,,,,BARREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1444,A,9,H,CC,PAL,7889a3da87413540ca16c8064e20dfbd
353-U1444A-10H-CC-PAL-FORAMP,0,5,86.24,86.29,,,,,,,,,,,,G,F,,,,,,,,,F,,,C,,,,C,F,,,A,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,C,,F,,,D,,,,,,,,,,,,,,,353,U1444,A,10,H,CC,PAL,a567a1fcf98253b40812a1e069f09cc6
