Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1462A-1X-CC-PAL-NANNO_bottom,0,4,0.21,0.25,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bottom of CC, white lithology",,,,356,U1462,A,1,X,CC,PAL,5216fe1c374e1f11b425e8495df07ff3
356-U1462A-1X-CC-PAL-NANNO_top,0,5,0.15,0.2,,,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,C,,F,,,,,,,,,,,,,,,,,,,R,F,,,,,,,C,F,F,,,,,,,,,F,,,R,R,,top of CC (greenish brown mud),,,,356,U1462,A,1,X,CC,PAL,306c1e051fd1a7af4a5e73b5333f5c86
356-U1462A-6X-CC-PAL-NANNO,0,5,48.5,48.55,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,R,R,R,R,P,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,6,X,CC,PAL,52bb453145feffa781355cbad1a3ee93
356-U1462A-7F-CC-PAL-NANNO,0,5,58.2,58.25,,,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,,,R,,,,,,,,,P,,R,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,356,U1462,A,7,F,CC,PAL,abecbe899ec5bce7a190fb424b102d64
356-U1462A-8X-CC-PAL-NANNO,0,5,58.4,58.45,,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,8,X,CC,PAL,90a372cde3dc03394e915d2c8e0c4f20
356-U1462A-10X-CC-PAL-NANNO,0,10,77.8,77.9,,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,10,X,CC,PAL,ee4135b92ae4b796049cf64c6e2994a2
356-U1462A-11X-CC-PAL-NANNO,0,10,87.63,87.73,,,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,11,X,CC,PAL,4bff6eb08eb20e6546b0cc06799c0bcb
356-U1462A-13X-CC-PAL-NANNO,0,11,106.9,107.01,,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,356,U1462,A,13,X,CC,PAL,55398c673d06e62173c680f795e177d6
356-U1462A-14X-CC-PAL-NANNO,0,10,117.45,117.55,,,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,14,X,CC,PAL,7d57a4bac657423a4a2dd587043e49cc
356-U1462A-15X-CC-PAL-NANNO,0,10,126.67,126.77,,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,15,X,CC,PAL,8c72453b8bac8e98b24ee97395844019
