Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Algirosphaera robusta,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus spp.,Amaurolithus tricorniculatus,Blackites sp.,Braarudosphaera bigelowii,Calcidiscus carlae,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia murrayi,Catinaster calyculus,Catinaster coalitus,Catinaster mexicanus,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus atlanticus,Ceratolithus cristatus,Ceratolithus rugosus,Ceratolithus spp.,Clausicoccus obrutus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pliopelagicus,Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Dictyococcites productus,Dictyococcites spp.,Discoaster adamanteus,Discoaster asymmetricus,Discoaster aulakos,Discoaster bellus,Discoaster bergenii,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster decorus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis (small),Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster musicus,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster pseudovariabilis,Discoaster quinqueramus,Discoaster sanmiguelensis,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster tristellifer,Discoaster variabilis,Discosphaera tubifera,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa lumina,Gephyrocapsa margerelii,Gephyrocapsa margerelii/muellerae,Gephyrocapsa muellerae,Gephyrocapsa oceanica ss,Gephyrocapsa omega,Gephyrocapsa parallela,Gephyrocapsa spp. (>4 microns),Gephyrocapsa spp. (large >5.5 microns),Gephyrocapsa spp. small (<4 microns),Hayaster perplexus,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera elongata,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera scissura,Helicosphaera sellii,Helicosphaera spp.,Helicosphaera wallichii,Minylitha convallis,Nicklithus amplificus,Oolithotus fragilis,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra gelida,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilica,Reticulofenestra rotaria,"Reticulofenestra ""small""",Reticulofenestra spp.,Rhabdosphaera clavigera,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus compactus,Sphenolithus grandis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus neoabies,Sphenolithus quadrispinatus,Sphenolithus spp.,Sphenolithus verensis,Syracosphaera pulchra,Syracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus extensus,Triquetrorhabdulus rugosus,Triquetrorhabdulus sp.,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera sibogae,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
346-U1428B-1H-CC-PAL,0,10,2.39,2.49,M,A,,,,,,,,,,,F,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,R,,,,,A,,,C,F,A,,,F,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,F,Helicosphaera pavimentum,,,,346,U1428,B,1,H,CC,PAL,79bc247260af45ce6012e1a89afd1554
346-U1428B-2H-CC-PAL,0,5,12.25,12.3,M,A,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,F,,,,,A,,,C,F,C,,,C,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,F,Helicosphaera pavimentum,,,,346,U1428,B,2,H,CC,PAL,c7d6a8cd3166e4b678fb4775d16fde58
346-U1428B-3H-CC-PAL,0,5,21.68,21.73,G,A,,,,,,,,,F,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,A,,,,,,A,,,C,C,C,,,C,,,,,,,R,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,F,,,,,R,,,F,,,,,346,U1428,B,3,H,CC,PAL,4efc59859d2a6ce46ac09925a4a794a2
346-U1428B-4H-CC-PAL,0,5,31.23,31.28,G,A,,,,,,,,,,,R,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,,,F,,A,,,C,F,A,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,346,U1428,B,4,H,CC,PAL,ba74287c6af92030f2d0e847043f80fe
346-U1428B-5H-CC-PAL,0,6,40.62,40.68,G,F,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,C,,,,,F,,,R,,,,,,,,R,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,R,,,,,346,U1428,B,5,H,CC,PAL,aa9ca8d09311177159935ab242fe132f
346-U1428B-6H-CC-PAL,0,5,50.09,50.14,G,D,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,F,,,,,C,,,,,C,,,F,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,346,U1428,B,6,H,CC,PAL,d8e1171a8b81ad1195f0167772e538b0
346-U1428B-7H-CC-PAL,0,5,59.82,59.87,G,C,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,,C,,C,,,,,C,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,346,U1428,B,7,H,CC,PAL,59bd82fdefbd6c89ae36dbe808f1e529
346-U1428B-8H-CC-PAL,0,5,69.49,69.54,G,A,,,,,,,,,R,,F,,,R,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,C,,,C,,A,,,F,,,,,,,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,346,U1428,B,8,H,CC,PAL,120aa5f722ed9a2bb6ae7786bf33b70a
346-U1428B-9H-CC-PAL,0,5,78.81,78.86,G,A,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,R,,,,,C,,,F,,C,,,R,,,,,,,R,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,F,,,,,,,R,,,,,,346,U1428,B,9,H,CC,PAL,caf4df9f58e58eef561d895bd5c70df7
346-U1428B-10H-CC-PAL,0,5,87.73,87.78,M,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,R,,,,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,346,U1428,B,10,H,CC,PAL,a97d7de18311f9dc1998b1707f90eb19
