Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Acrobotrys tritubus,Acrosphaera murrayana,Acrosphaera spinosa,Actinomma delicatulum,Actinomma leptodermum,Amphirhopalum ypsilon,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ehrenbergi,Anthocyrtidium euryclathrum,Anthocyrtidium jenghisi,Anthocyrtidium michelinae,Anthocyrtidium nosicae,Anthocyrtidium ophirense,Anthocyrtidium pliocenica,Artophormis gracilis,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Buccinosphaera invaginata,Calocyclas bandyca,Calocycletta caepa,Calocycletta cladara,Calocycletta costata,Calocycletta robusta,Calocycletta serrata,Calocycletta virginis,Carpocanopsis bramlettei,Carpocanopsis cingulata,Carpocanopsis cristata,Cenosphaera cristata,Centrobotrys gravida,Centrobotrys petrushevskayae,Centrobotrys thermophila,Ceratospyris borealis,Circodiscus (Porodiscus) circularis,Collosphaera huxleyi,Collosphaera macropora,Collosphaera spinosa,Collosphaera tuberosa,Cryptamphorella sp.,Cryptocarpium azyx,Cryptocarpium ornatum,Cycladophora bicornis,Cycladophora davisiana,Cycladophora nakasekoi,Cycladophora sakaii,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda,Dictyophimus bullatus,Dictyophimus hirundo,Dictyoprora armadillo,Dictyoprora mongolfieri,Dictyoprora pirum,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris papilio,Dorcadospyris pseudopapilio,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai,Giraffospyris angulata,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis,Lamprocyclas junonis,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris parkerae,Liriospyris reticulata,Liriospyris stauropora,Lithelius barbatus,Lithelius minor,Lithelius nautiloides,Lithocyclia angusta,Lithocyclia aristotelis group,Lithocyclia crux,Lithopera bacca,Lithopera neotera,Lithopera renzae,Lithopera thornbergi,Lophocyrtis jacchia,Lychnocanoma amphitrite,Lychnocanoma elongata,Lychnocanoma nipponica magnacornuta,Lychnocanoma parallelipes,Lychnocanoma sakaii,Lychnodictyum audax,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys campanula,Pterocorys group,Pterocorys minythorax,Pterocorys zancleus,Siphostichartus corona,Solenosphaera omnitubus omnitubus,Solenosphaera omnitubus procera,Sphaeropyle langii,Sphaeropyle robusta,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongaster tetras tetras,Spongatractus balbis,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wolffii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus,Stylodictya validispina,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium trachelium trachelium,Theocorythium vetulum,Theocyrtis annosa,Theocyrtis tuberosa,Tholospyris scaphipes,Thyrsocyrtis  tetracantha,Tristylospyris triceros,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
355-U1457C-2R-1-PAL-RADS,0,5,191.9,191.95,,,,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,C,2,R,1,PAL,2eac14fdb1fbb159bf27397e1e096a58
355-U1457C-10R-2-PAL-RADS,0,5,271.12,271.17,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,C,10,R,2,PAL,4d861791dab93596be5a0916c8a8e17c
355-U1457C-14R-1-PAL-RADS,0,5,309,309.05,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,C,14,R,1,PAL,0c13dfbb809461e7707d9780384e0615
355-U1457C-15R-1-PAL-RADS,0,5,318.02,318.07,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,C,15,R,1,PAL,374173abbcb5c413fd00dd00b5adefa9
355-U1457C-18R-CC-PAL-RADS,0,5,356.6,356.65,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,C,18,R,CC,PAL,44cd9029e3c8daa35e3e5b662abe5fd0
355-U1457C-25R-CC-PAL-RADS,0,5,422.14,422.19,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,C,25,R,CC,PAL,36ac7372ceccf745c8537741af199323
355-U1457C-30R-1-PAL-RADS,0,5,464.02,464.07,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,C,30,R,1,PAL,67707dc297303f05621b07e4a6e1bcb4
355-U1457C-35R-CC-PAL-RADS,0,5,521.49,521.54,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,C,35,R,CC,PAL,9f3749b0ded3b4b4e8512278a8ccb082
355-U1457C-40R-CC-PAL-RADS,0,5,563.73,563.78,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,C,40,R,CC,PAL,87c274766c46f5c4f918db1d284c32a3
355-U1457C-45R-CC-PAL-RADS,0,5,616.21,616.26,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,C,45,R,CC,PAL,049d7b921a9c9a096fbcce25d882456a
