Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis ,Clavatorella bermudezi ,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi ,Globigerina euapertura,Globigerina gortanii ,Globigerina falconensis,Globigerina ouachitaensis ,Globigerina praebulloides,Globigerina pseudovenezuelana ,Globigerina quinqueloba,Globigerina rubescens (white),Globigerina rubescens (pink),Globigerina tapuriensis ,Globigerina tripartita,Globigerinatella insueta ,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus ,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius ,Globigerinoides ruber (pink),Globigerinoides ruber (white) ,Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus ,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii ,Globorotalia cibaoensis ,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula ,Globorotalia decoraperta ,Globorotalia exilis ,Globorotalia fimbriata,Globorotalia flexuosa ,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai ,Globorotalia lenguaensis,Globorotalia limbata ,Globorotalia margaritae ,Globorotalia menardii ,Globorotalia miotumida,Globorotalia miozea ,Globorotalia merotumida,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta ,Globorotalia peripheroronda,Globorotalia plesiotumida ,Globorotalia pertenuis,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica ,Globorotalia scitula,Globorotalia sp. ,Globorotaloides suteri,Globorotalia tosaensis ,Globorotalia truncatulinoides ,Globorotalia tumida ,Globoturborotalita apertura,Globoturborotalita decoraperta ,Globoturborotalita nepenthes ,Globorotalia ungulata,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp. ,Globorotaloides hexagona,Globorotaloides variabilis,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma (dextral) ,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. ,Orbulina sp. ,Orbulina suturalis ,Orbulina universa ,Paragloborotalia mayeri ,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp. ,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra ,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis ,Sphaeroidinella dehiscens ,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides ,Subbotina eocaena s.l.,Subbotina linaperta s.l. ,Subbotinal yeguaensis s.l.,Tenuitella gemma ,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis ,Turborotalia cocoaensis ,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli ,Turborotalita humilis,Comment,Shore File Links,File Data
349-U1433A-1H-CC-PAL-FORAMP,0,5,8.85,8.9,,,,,,,,,,,,,,P [P32],R [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,R [A88],,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,"abundant radiolarian, many broken specimens. Apparently affected by dissolution.",,
349-U1433A-2H-CC-PAL-FORAMP,0,5,16.21,16.26,,,,,,,,,,,,,,P [P32],R [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apparently affected by dissolution; abundant radiolarian .,,
349-U1433A-3H-CC-PAL-FORAMP,0,10,27.47,27.57,,,,,,,,,,,,,,G [P32],R [A87],,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,R [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],"Only small forms (juvenile?), some small benthic forams (Discorbis, Florilus, Bolivina, Quinqueloculina etc.), abundant mica.",,
349-U1433A-4H-CC-PAL-FORAMP,0,6,37.19,37.25,,,,,,,,,,,,,,G [P32],R [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apparently affected by dissolution; a few small forms, wood fragments, some mineralized (Fe) worm tubes, some limonite aggregates",,
349-U1433A-5H-CC-PAL-FORAMP,0,2,37.4,37.42,,,,,,,,,,,,,,G [P32],R [A87],,,,,,,,,,,,,R [A88],,,,,,,,,R [A88],,,,,,,,,R [A88],,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some small forms,,
349-U1433A-6H-CC-PAL-FORAMP,0,7,56.33,56.4,,,,,,,,,,,,,,G [P32],R [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only small forms (juvenile),,
349-U1433A-7H-CC-PAL-FORAMP,0,5,66.35,66.4,,,,,,,,,,,,,,G [P32],C [A87],,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,F [A88],,,,,,,F [A88],F [A88],F [A88],,,,F [A88],,,,,,R [A88],,,,,,,,R [A88],,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate-good. Abundant mica and worm tubes.,,
349-U1433A-8H-7-PAL-FORAMP,0,5,75.25,75.3,,,,,,,,,,,,,,G [P32],A [A87],,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,R [A88],,,F [A88],,,A [A88],A [A88],,,,F [A88],,,,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,R [A88],R [A88],,,,,,,,,,,,,R [A88],R [A88],,,,,,,,R [A88],,,,,,,,,,R [A88],,,,F [A88],,,,,,,,,,,,,,,,,,,,
349-U1433A-8H-7-PAL-FORAMP,0,5,75.25,75.3,,,,,,,,,,,,,,G [P32],R [A87],,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],R [A88],,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mineralized worm tubes present,,
349-U1433A-9H-CC-PAL-FORAMP,0,5,79.55,79.6,,,,,,,,,,,,,,M [P32],R [A87],,,,,,,,,,,,,,,,,,R [A88],,,,,,R [A88],,,,,,R [A88],,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,R [A88],,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,"some small formas; abundante worm tubes; benthic forms (i.e., Globobulimina and Bolivina).",,
349-U1433A-10H-CC-PAL-FORAMP,0,5,93.15,93.2,,,,,,,,,,,,,,G [P32],R [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,R [A88],,,,,,,P [A88],F [A88],,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,P [A88],,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,Some spicules & radiolarians,,
349-U1433A-11H-6-PAL-FORAMP,0,5,102.49,102.54,,,,,,,,,,,,,,,B [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mica. ~10 radiolarians, One calida, fraction of conglobatus.",,
