Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1464C-2R-CC-PAL-NANNO,0,5,313.42,313.47,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,A,,,R,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,356,U1464,C,2,R,CC,PAL,7487ca1ec93ad388afc3490294aeba84
356-U1464C-3R-CC-PAL-NANNO,0,5,318.87,318.92,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,3,R,CC,PAL,87ef53f36ae101aee1a68a13fa4547e1
356-U1464C-4R-CC-PAL-NANNO,0,2,327.4,327.42,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,,,,,,,,,F,,,,,,R,,F,,,F,,,,,,,,,,,,,,,,,,,,,A,R,,VA,C,,A,,,,,C,,F,,,,F,,,F,F,R,F,,,R,,,,,,,Triquetrorhabdulus carinatus?,,,,356,U1464,C,4,R,CC,PAL,6087b859c0b9f795dad2d12cc897309b
356-U1464C-6R-1-PAL-NANNO,0,5,347.08,347.13,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,6,R,1,PAL,4117c3b0afddaa51b044b798411198da
356-U1464C-8R-1-PAL-NANNO,0,5,367.08,367.13,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,8,R,1,PAL,02cdd0f47c5ed3511595b6397c8200ef
356-U1464C-10R-1-PAL-NANNO,0,5,386.35,386.4,,,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,10,R,1,PAL,e5e37c0a5d423c487e26a04991071c47
356-U1464C-12R-CC-PAL-NANNO,0,5,405.16,405.21,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,12,R,CC,PAL,e9c150b613f74c0561b32a06145c5118
356-U1464C-14R-1-PAL-NANNO,0,5,425.08,425.13,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,14,R,1,PAL,354e5b65a42a9ccff3af15711e855b1d
356-U1464C-16R-2-PAL-NANNO,0,5,445.38,445.43,,,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,16,R,2,PAL,d6c3650f5f291063385b83378fbea94a
356-U1464C-17R-CC-PAL-NANNO,0,5,453.5,453.55,,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,C,17,R,CC,PAL,be0efcb8eceeb99b1b70efa73353de51
