leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
31,299,,1,1,2.0,3.0,0.00,0.03,17,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DACIN0100,Actinoptychus undulatus,RARE,  ,1
31,299,,1,1,2.0,3.0,0.00,0.03,17,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DACTI0140,Actinocyclus ingens,RARE,  ,1
31,299,,1,1,2.0,3.0,0.00,0.03,17,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DACTI0160,Actinocyclus ochotensis,RARE,  ,1
31,299,,1,1,2.0,3.0,0.00,0.03,17,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DARAC0005,Arachnoidiscus ehrenbergi,RARE,  ,1
31,299,,1,1,2.0,3.0,0.00,0.03,17,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DCOSC0490,Coscinodiscus marginatus,RARE,  ,1
31,299,,1,1,2.0,3.0,0.00,0.03,17,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DDENT0150,Denticula seminae,RARE,  ,1
31,299,,1,1,2.0,3.0,0.00,0.03,17,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DGOMP0080,Gomphonema parvulum,RARE,  ,1
31,299,,1,1,2.0,3.0,0.00,0.03,17,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DGRAM0010,Grammatophora sp.,RARE,  ,1
31,299,,1,1,2.0,3.0,0.00,0.03,17,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DMELO0160,Melosira sulcata,RARE,  ,1
31,299,,1,1,2.0,3.0,0.00,0.03,17,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DPSED0010,Pseudoeunotia doliolus,RARE,  ,1
31,299,,1,1,2.0,3.0,0.00,0.03,17,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DRHIZ0090,Rhizosolenia curvirostris,RARE,  ,2
31,299,,1,1,2.0,3.0,0.00,0.03,17,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DRHIZ0120,Rhizosolenia hebetata,RARE,  ,2
31,299,,1,1,2.0,3.0,0.00,0.03,17,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DRHOP0010,Rhopalodia gibba,RARE,  ,2
31,299,,1,1,2.0,3.0,0.00,0.03,17,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DTHAA0030,Thalassiosira antiqua,RARE,  ,2
31,299,,1,1,2.0,3.0,0.00,0.03,17,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DTHAA0050,Thalassiosira convexa,RARE,  ,2
31,299,,1,1,2.0,3.0,0.00,0.03,17,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DTHAL0060,Thalassionema nitzschioides,RARE,  ,2
31,299,,1,1,2.0,3.0,0.00,0.03,17,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DTHAL0065,Thalassionema nitzschioides (q),RARE,  ,2
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DACIN0130,Actinoptychus vulgaris (q),RARE,  ,1
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DACTI0140,Actinocyclus ingens,RARE,  ,1
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DACTI0160,Actinocyclus ochotensis,RARE,  ,1
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DCOCC0260,Cocconeis scutellum,RARE,  ,1
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DCOSC0280,Coscinodiscus excentricus,RARE,  ,1
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DCOSC0310,Coscinodiscus excentricus leasareolatus,RARE,  ,1
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DCOSC0490,Coscinodiscus marginatus,RARE,  ,1
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DCOSC0640,Coscinodiscus occulus-iridis,RARE,  ,1
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DCYCL0045,Cyclotella striata,RARE,  ,1
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DDENT0150,Denticula seminae,RARE,  ,1
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DDIPL0020,Diploneis bombus,RARE,  ,2
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DDIPL0040,Diploneis coffaeiformis,RARE,  ,2
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DDIPL0160,Diploneis smithii,RARE,  ,2
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DDIPL0190,Diploneis weissflogii,RARE,  ,2
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DMELO0160,Melosira sulcata,RARE,  ,2
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DRHAP0190,Rhaphoneis surirella,RARE,  ,2
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DRHIZ0120,Rhizosolenia hebetata,FEW,  ,2
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DSTEA0060,Stephanopyxis dimorpha,RARE,  ,2
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DSTEA0290,Stephanopyxis turris,RARE,  ,2
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DTHAA0070,Thalassiosira decipiens,RARE,  ,2
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DTHAA0150,Thalassiosira gravida,RARE,  ,3
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DTHAA0290,Thalassiosira oestrupii plana,RARE,  ,3
31,299,,1,3,10.0,11.0,0.00,3.11,23,"KOIZUMI,I.",,31,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,786,DTHAL0060,Thalassionema nitzschioides,RARE,  ,3
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DACIN0100,Actinoptychus undulatus,RARE,  ,1
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DACTI0030,Actinocyclus curvatulus,RARE,  ,1
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DACTI0050,Actinocyclus ehrenbergii,RARE,  ,1
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DACTI0210,Actinocyclus oculatus,RARE,  ,1
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DASTR0180,Asteromphalus robustus,RARE,  ,1
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DCOCC0060,Cocconeis costata,RARE,  ,1
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DCOSC0310,Coscinodiscus excentricus leasareolatus,RARE,  ,1
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DCOSC0490,Coscinodiscus marginatus,RARE,  ,1
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DCOSC0880,Coscinodiscus tabularis,RARE,  ,1
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DCYCL0045,Cyclotella striata,RARE,  ,1
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DDENT0060,Denticula hyalina,RARE,  ,2
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DDENT0070,Denticula kamtschatica,RARE,  ,2
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DDENT0150,Denticula seminae,RARE,  ,2
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DDENT0160,Denticula seminae fossilis,RARE,  ,2
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DDIPL0190,Diploneis weissflogii,RARE,  ,2
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DGRAM0010,Grammatophora sp.,RARE,  ,2
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DMELO0070,Melosira granulata,RARE,  ,2
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DMELO0160,Melosira sulcata,RARE,  ,2
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DNITZ0148,Nitzschia extincta,RARE,  ,2
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DNITZ0380,Nitzschia marina,RARE,  ,2
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DPSED0010,Pseudoeunotia doliolus,RARE,  ,3
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DPSEO0030,Pseudopodosira elegans,RARE,  ,3
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DRHAP0190,Rhaphoneis surirella,RARE,  ,3
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DRHIZ0010,Rhizosolenia sp.,RARE,  ,3
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DRHIZ0050,Rhizosolenia bergonii,RARE,  ,3
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DRHIZ0120,Rhizosolenia hebetata,RARE,  ,3
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DRHIZ0300,Rhizosolenia styliformis,RARE,  ,3
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DROUX0090,Rouxia naviculoides,RARE,  ,3
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DTHAA0150,Thalassiosira gravida,RARE,  ,3
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DTHAA0290,Thalassiosira oestrupii plana,RARE,  ,3
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DTHAL0060,Thalassionema nitzschioides,RARE,  ,4
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DTHAL0065,Thalassionema nitzschioides (q),RARE,  ,4
31,299,,1,5,80.0,81.0,0.00,6.81,33,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DTRIC0140,Triceratium condecorum,RARE,  ,4
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DACHN0030,Achnanthes lanceolata,RARE,  ,1
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DACTI0030,Actinocyclus curvatulus,RARE,  ,1
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DACTI0090,Actinocyclus ellipticus,RARE,  ,1
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DACTI0140,Actinocyclus ingens,RARE,  ,1
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DACTI0160,Actinocyclus ochotensis,RARE,  ,1
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DAMPH0050,Amphora holsatica,RARE,  ,1
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DCOCC0060,Cocconeis costata,RARE,  ,1
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DCOCC0260,Cocconeis scutellum,RARE,  ,1
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DCOSC0280,Coscinodiscus excentricus,RARE,  ,1
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DCOSC0310,Coscinodiscus excentricus leasareolatus,RARE,  ,1
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DCOSC0470,Coscinodiscus lineatus,RARE,  ,2
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DCOSC0490,Coscinodiscus marginatus,RARE,  ,2
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DCOSC0690,Coscinodiscus plicatus,RARE,  ,2
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DCOSC0775,Coscinodiscus radiatus var.,RARE,  ,2
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DCOSC0880,Coscinodiscus tabularis,RARE,  ,2
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DCYCL0020,Cyclotella comta,RARE,  ,2
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DDENT0070,Denticula kamtschatica,RARE,  ,2
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DDENT0080,Denticula lauta,RARE,  ,2
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DDENT0150,Denticula seminae,RARE,  ,2
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DDENT0160,Denticula seminae fossilis,RARE,  ,2
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DEUNO0010,Eunotia sp.,RARE,  ,3
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DGOMP0020,Gomphonema abbreviatum,RARE,  ,3
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DGRAM0010,Grammatophora sp.,RARE,  ,3
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DMELO0090,Melosira islandica,RARE,  ,3
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DMELO0160,Melosira sulcata,RARE,  ,3
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DRHAP0160,Rhaphoneis psammicola,RARE,  ,3
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DRHIZ0010,Rhizosolenia sp.,RARE,  ,3
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DRHIZ0020,Rhizosolenia alata,RARE,  ,3
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DRHIZ0120,Rhizosolenia hebetata,RARE,  ,3
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DSTEA0060,Stephanopyxis dimorpha,RARE,  ,3
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DSTEP0010,Stephanodiscus astraea,RARE,  ,4
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DTHAA0290,Thalassiosira oestrupii plana,RARE,  ,4
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DTHAL0060,Thalassionema nitzschioides,RARE,  ,4
31,299,,1,CC,0.0,0.0,0.00,9.10,34,"KOIZUMI,I.",,31,DIATOMS,FEW,,,POOL,NO AGE GIVEN,786,DTHAL0065,Thalassionema nitzschioides (q),RARE,  ,4
31,299,,2,2,59.0,60.0,9.50,11.60,14,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DACTI0090,Actinocyclus ellipticus,RARE,  ,1
31,299,,2,2,59.0,60.0,9.50,11.60,14,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DACTI0160,Actinocyclus ochotensis,RARE,  ,1
31,299,,2,2,59.0,60.0,9.50,11.60,14,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DCOSC0280,Coscinodiscus excentricus,RARE,  ,1
31,299,,2,2,59.0,60.0,9.50,11.60,14,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DCOSC0490,Coscinodiscus marginatus,RARE,  ,1
31,299,,2,2,59.0,60.0,9.50,11.60,14,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DCOSC0860,Coscinodiscus symbolophorus,RARE,  ,1
31,299,,2,2,59.0,60.0,9.50,11.60,14,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DDENT0070,Denticula kamtschatica,RARE,  ,1
31,299,,2,2,59.0,60.0,9.50,11.60,14,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DDENT0150,Denticula seminae,RARE,  ,1
31,299,,2,2,59.0,60.0,9.50,11.60,14,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DDENT0160,Denticula seminae fossilis,RARE,  ,1
31,299,,2,2,59.0,60.0,9.50,11.60,14,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DMELO0160,Melosira sulcata,RARE,  ,1
31,299,,2,2,59.0,60.0,9.50,11.60,14,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DRHIZ0010,Rhizosolenia sp.,RARE,  ,1
31,299,,2,2,59.0,60.0,9.50,11.60,14,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DRHIZ0090,Rhizosolenia curvirostris,RARE,  ,2
31,299,,2,2,59.0,60.0,9.50,11.60,14,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DSTEA0290,Stephanopyxis turris,RARE,  ,2
31,299,,2,2,59.0,60.0,9.50,11.60,14,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DTHAL0060,Thalassionema nitzschioides,RARE,  ,2
31,299,,2,2,59.0,60.0,9.50,11.60,14,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DTHAL0065,Thalassionema nitzschioides (q),RARE,  ,2
31,299,,2,4,10.0,11.0,9.50,14.11, 9,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DACTI0140,Actinocyclus ingens,RARE,  ,1
31,299,,2,4,10.0,11.0,9.50,14.11, 9,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DCOSC0690,Coscinodiscus plicatus,RARE,  ,1
31,299,,2,4,10.0,11.0,9.50,14.11, 9,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DDENT0070,Denticula kamtschatica,RARE,  ,1
31,299,,2,4,10.0,11.0,9.50,14.11, 9,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DDENT0080,Denticula lauta,RARE,  ,1
31,299,,2,4,10.0,11.0,9.50,14.11, 9,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DDENT0150,Denticula seminae,RARE,  ,1
31,299,,2,4,10.0,11.0,9.50,14.11, 9,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DMELO0070,Melosira granulata,RARE,  ,1
31,299,,2,4,10.0,11.0,9.50,14.11, 9,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DMELO0160,Melosira sulcata,RARE,  ,1
31,299,,2,4,10.0,11.0,9.50,14.11, 9,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DSTEA0290,Stephanopyxis turris,RARE,  ,1
31,299,,2,4,10.0,11.0,9.50,14.11, 9,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DTHAL0060,Thalassionema nitzschioides,RARE,  ,1
31,299,,2,CC,0.0,0.0,9.50,17.10,21,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DACIN0100,Actinoptychus undulatus,RARE,  ,1
31,299,,2,CC,0.0,0.0,9.50,17.10,21,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DACTI0040,Actinocyclus divisus,RARE,  ,1
31,299,,2,CC,0.0,0.0,9.50,17.10,21,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DACTI0140,Actinocyclus ingens,RARE,  ,1
31,299,,2,CC,0.0,0.0,9.50,17.10,21,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DAMPH0070,Amphora ovalis,RARE,  ,1
31,299,,2,CC,0.0,0.0,9.50,17.10,21,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DCOSC0280,Coscinodiscus excentricus,RARE,  ,1
31,299,,2,CC,0.0,0.0,9.50,17.10,21,"KOIZUMI,I.",,31,DIATOMS,RARE,,,POOL,NO AGE GIVEN,786,DCOSC0490,Coscinodiscus marginatus,RARE,  ,1
